,num_dol,num_dfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_dfep,atoms_tfsi,atoms_ps,atoms_li,count,%
1001,7,1,1,1,2,::1O:1O:2O:2O:2O,,2O,,1L:1L,1,0.03000300030003
1002,7,1,1,1,2,:::1O:1O:1O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1003,7,1,1,1,2,::::1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1004,7,1,0,1,1,:1O:1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1005,7,0,3,1,2,::1O:1O:1O:1O:2O,,::1O,,1L:1L,1,0.03000300030003
1006,7,1,1,2,2,::1O:1O:1O:1O:1O,,1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1007,7,0,2,1,2,:::1O:1O:1O:2O,,1O:2O,,1L:1L,1,0.03000300030003
1008,7,0,2,1,2,::1O:1O:1O:1O:2O,,1N2O1S:2O1S,,1L:1L,1,0.03000300030003
1009,7,0,2,1,2,::1O:1O:1O:1O:2O,,:1O1S,,1L:1L,1,0.03000300030003
1010,7,0,2,1,2,::1O:1O:1O:2O:2O,,1N2O2S:2O1S,,1L:1L,1,0.03000300030003
1011,7,0,2,1,2,::1O:1O:1O:2O:2O,,1O1S:2O1S,,1L:1L,1,0.03000300030003
1012,7,0,2,1,2,::1O:1O:1O:2O:2O,,1O:1O,,1L:1L,1,0.03000300030003
1013,7,0,2,1,2,::1O:1O:1O:2O:2O,,:1O,,1L:1L,1,0.03000300030003
1014,7,0,2,1,2,::1O:1O:2O:2O:2O,,:1N3O2S,,1L:1L,1,0.03000300030003
1015,7,0,2,1,2,:::1O:1O:1O:2O,,2O1S:2O1S,,1L:1L,1,0.03000300030003
1016,7,0,2,2,2,::::1O:1O:1O,,1O1S:2O1S,3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1017,7,0,2,1,2,::::1O:1O:1O,,1O1S:2O1S,,1L:1L,1,0.03000300030003
1018,7,0,2,2,2,::1O:1O:1O:1O:1O,,:1N2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1019,7,0,2,2,2,::1O:1O:1O:1O:2O,,1N1O1S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1020,7,0,2,2,2,::1O:1O:1O:1O:2O,,:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1021,7,0,2,2,2,::1O:1O:1O:1O:2O,,:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1022,7,0,2,2,2,:::1O:1O:1O:1O,,1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1023,7,0,2,2,2,::::1O:1O:1O,,1N2O1S:3O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1024,7,1,1,2,1,::1O:1O:1O:1O:2O,,1O,1S:1S:1S:1S:1S:2S:2S:2S,1L,1,0.03000300030003
1025,7,1,1,2,2,::1O:1O:1O:1O:2O,,1O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1026,7,0,0,2,2,::1O:1O:1O:1O:2O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1027,8,0,1,2,2,:::1O:1O:1O:1O:2O,,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1028,8,0,1,1,2,::1O:1O:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
1029,8,0,1,1,2,::1O:1O:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1030,8,0,1,1,2,::1O:1O:1O:1O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1031,8,0,1,1,2,::1O:1O:1O:1O:2O:2O,,2O1S,,1L:1L,1,0.03000300030003
1032,8,0,1,1,2,:::1O:1O:1O:1O:1O,,2O,,1L:1L,1,0.03000300030003
1033,8,0,1,1,2,:::1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1034,8,0,1,2,1,:::::1O:2O:2O,,1N1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1035,8,0,2,1,1,:::::1O:1O:1O,,:1O,,1L,1,0.03000300030003
1036,8,0,1,1,2,::1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1037,8,0,2,1,2,:::1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,1,0.03000300030003
1038,8,0,2,1,2,:::1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,1,0.03000300030003
1039,8,1,0,1,1,::1O:1O:1O:1O:1O:1O,1O,,,1L,1,0.03000300030003
1040,8,1,0,1,1,::1O:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1041,8,1,1,1,1,::::1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
1042,8,1,1,1,2,::1O:1O:1O:1O:1O:1O,,2O,,1L:1L,1,0.03000300030003
1043,9,0,0,1,1,::::1O:1O:2O:2O:2O,,,,1L,1,0.03000300030003
1044,8,0,1,1,2,::1O:1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1045,8,0,1,1,2,:1O:1O:1O:1O:1O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1046,7,1,1,2,2,::1O:1O:1O:2O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1047,8,0,0,1,1,:::::1O:1O:2O,,,,1L,1,0.03000300030003
1048,7,1,1,2,3,:1O:1O:1O:1O:2O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1049,7,1,2,1,2,::1O:1O:1O:1O:2O,,:2O1S,,1L:1L,1,0.03000300030003
1050,7,2,1,1,1,::::1O:2O:2O,:,1O1S,,1L,1,0.03000300030003
1051,7,2,1,1,1,::::1O:2O:2O,:1O,1O,,1L,1,0.03000300030003
1052,8,0,0,1,1,::1O:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1053,8,0,0,1,1,:::1O:1O:2O:2O:2O,,,,1L,1,0.03000300030003
1054,8,0,0,1,1,::::1O:1O:1O:2O,,,,1L,1,0.03000300030003
1055,8,0,0,2,2,:::1O:1O:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1056,8,0,1,1,2,:1O:1O:1O:1O:1O:1O:1O,,1O,,1L:1L,1,0.03000300030003
1057,8,0,0,2,2,:::1O:1O:1O:2O:2O,,,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1058,8,0,1,1,1,::1O:1O:1O:1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1059,8,0,1,1,1,:::1O:1O:1O:1O:2O,,2O1S,,1L,1,0.03000300030003
1060,8,0,1,1,1,::::1O:1O:1O:1O,,,,1L,1,0.03000300030003
1061,8,0,1,1,1,::::1O:1O:1O:2O,,,,1L,1,0.03000300030003
1062,8,0,1,1,1,::::1O:1O:2O:2O,,2O1S,,1L,1,0.03000300030003
1063,8,0,1,1,1,:::::1O:1O:2O,,1O,,1L,1,0.03000300030003
1064,7,0,2,1,2,::1O:1O:1O:1O:1O,,:3O1S,,1L:1L,1,0.03000300030003
1065,7,0,2,1,2,::1O:1O:1O:1O:1O,,:1O1S,,1L:1L,1,0.03000300030003
1066,7,0,2,1,2,::1O:1O:1O:1O:1O,,1O1S:3O1S,,1L:1L,1,0.03000300030003
1067,7,0,1,1,2,:1O:1O:1O:1O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1068,7,0,1,1,2,1O:1O:1O:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1069,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1070,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,2O2S,,1L:1L,1,0.03000300030003
1071,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1072,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O2S,,1L:1L,1,0.03000300030003
1073,7,0,1,1,2,:1O:1O:1O:1O:2O:2O,,1N1O,,1L:1L,1,0.03000300030003
1074,7,0,1,1,2,:1O:1O:1O:1O:2O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1075,7,0,1,1,2,:1O:1O:1O:2O:2O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1076,7,0,1,1,2,1O:1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1077,7,0,1,1,2,:1O:1O:1O:2O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1078,7,0,1,1,2,::1O:1O:1O:1O:1O,,1O1S,,1L:1L,1,0.03000300030003
1079,7,0,1,1,2,::1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1080,7,0,1,1,2,::1O:1O:1O:1O:1O,,3O2S,,1L:1L,1,0.03000300030003
1081,7,0,1,1,2,::1O:1O:1O:1O:2O,,1N2O1S,,1L:1L,1,0.03000300030003
1082,7,0,1,1,2,::1O:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
1083,7,0,1,1,2,::1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1084,7,0,1,1,2,1O:1O:1O:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
1085,7,0,1,1,2,1O:1O:1O:1O:1O:1O:1O,,1O1S,,1L:1L,1,0.03000300030003
1086,7,0,2,1,2,:1O:1O:1O:1O:2O:2O,,:2O1S,,1L:1L,1,0.03000300030003
1087,7,0,1,1,1,::1O:1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
1088,7,0,0,2,2,:::1O:1O:1O:2O,,,3S:3S:4S:4S:5S:5S:6S:6S,1L:1L,1,0.03000300030003
1089,7,0,0,3,1,:::1O:1O:1O:1O,,,1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1090,7,0,0,3,2,::::1O:1O:1O,,,1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1091,7,0,1,1,1,:1O:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1092,7,0,1,1,1,:1O:1O:1O:1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1093,7,0,1,1,1,::1O:1O:1O:1O:1O,,,,1L,1,0.03000300030003
1094,7,0,1,1,1,::1O:1O:1O:1O:1O,,1N2O,,1L,1,0.03000300030003
1095,7,0,1,1,1,::1O:1O:1O:1O:1O,,1O1S,,1L,1,0.03000300030003
1096,7,0,1,1,2,1O:1O:1O:1O:1O:1O:1O,,1N2O1S,,1L:1L,1,0.03000300030003
1097,7,0,1,1,1,::1O:1O:1O:2O:2O,,2O2S,,1L,1,0.03000300030003
1098,7,0,1,1,1,:::1O:1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1099,7,0,1,1,1,:::1O:1O:2O:2O,,2O,,1L,1,0.03000300030003
