,num_dol,num_tfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfep,atoms_tfsi,atoms_ps,atoms_li,count,%
1901,3,0,3,1,2,1O:1O:1O,,:1N1O1S:3O1S,,1L:1L,1,0.03000300030003
1902,3,0,3,1,2,1O:1O:1O,,:1N2O2S:2O,,1L:1L,1,0.03000300030003
1903,3,0,3,1,2,1O:1O:1O,,:1O1S:3O1S,,1L:1L,1,0.03000300030003
1904,3,0,3,1,2,:1O:1O,,1O:1O:3O1S,,1L:1L,1,0.03000300030003
1905,3,0,3,1,3,:1O:1O,,1N3O2S:1O:2O1S,,1L:1L:1L,1,0.03000300030003
1906,3,0,3,1,2,1O:1O:1O,,1N1O1S:1O:2O1S,,1L:1L,1,0.03000300030003
1907,3,0,3,2,2,:1O:1O,,:1O1S:2O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1908,3,0,3,2,2,:1O:2O,,1N1O1S:1O:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1909,3,0,3,2,2,:1O:2O,,1O:1O1S:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1910,3,0,3,2,2,::1O,,1N1O1S:1O1S:1O1S,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1911,3,0,3,2,2,::1O,,1O:1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1912,3,0,3,2,2,::1O,,1O:1O1S:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1913,3,0,3,3,2,:1O:1O,,::1O,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1914,3,0,3,3,2,:1O:1O,,::1O,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1915,3,0,3,3,2,:1O:1O,,::1O1S,1S:1S:1S:1S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1916,3,0,4,1,2,1O:1O:1O,,1N2O1S:1O:1O:2O1S,,1L:1L,1,0.03000300030003
1917,3,0,4,1,2,1O:1O:1O,,1N2O2S:1O:1O:2O,,1L:1L,1,0.03000300030003
1918,3,0,4,1,2,1O:1O:1O,,1N3O2S:1O:1O:1O,,1L:1L,1,0.03000300030003
1919,3,0,4,1,2,1O:1O:1O,,1O:1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1920,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:2O,,1L:1L,1,0.03000300030003
1921,3,0,4,1,2,1O:1O:1O,,1O:1O:2O:2O1S,,1L:1L,1,0.03000300030003
1922,3,0,4,1,2,1O:1O:1O,,:1N1O1S:1O:2O,,1L:1L,1,0.03000300030003
1923,3,0,3,2,2,:1O:2O,,1N1O1S:1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1924,3,0,3,2,2,:1O:1O,,1O:2O1S:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1925,3,0,3,2,2,1O:1O:1O,,1O:1O:2O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1926,3,0,3,2,2,:1O:1O,,1O:1O:3O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1927,3,0,3,2,2,1O:1O:2O,,1N2O1S:1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1928,3,0,3,2,2,1O:1O:2O,,1O:1O:2O1S,:::1S:1S:2S:3S:3S,1L:1L,1,0.03000300030003
1929,3,0,3,2,2,1O:1O:2O,,:1O:1O1S,3S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1930,3,0,3,2,2,1O:2O:2O,,1O:1O:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1931,3,0,3,2,2,:1O:1O,,1N1O1S:1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
