,num_dol,num_tfepe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfepe,atoms_tfsi,atoms_ps,atoms_li,count,%
2237,4,0,1,2,2,::1O:1O,,2O1S,1S:1S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
2238,4,0,1,2,2,::1O:1O,,2O,2S:2S:2S:2S:2S:2S:3S:4S,1L:1L,1,0.03000300030003
2239,4,0,1,2,2,::1O:1O,,2O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2240,4,0,1,2,2,::1O:1O,,2O,1S:2S:3S:3S:4S:4S:5S:6S,1L:1L,1,0.03000300030003
2241,4,0,1,2,2,::1O:1O,,1O,1S:2S:3S:3S:4S:5S:5S:5S,1L:1L,1,0.03000300030003
2242,4,0,1,2,2,::1O:1O,,1O,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
2243,4,0,1,2,2,::1O:1O,,1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
2244,4,0,1,2,2,::1O:1O,,1N3O2S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2245,4,0,1,3,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2246,4,0,1,3,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2247,4,0,1,3,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2248,4,0,1,3,2,:1O:1O:1O,,1O,2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2249,4,0,1,3,2,::1O:1O,,1N3O2S,:::1S:1S:1S:1S:1S:2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2250,4,0,1,3,2,:1O:1O:2O,,1O,::::1S:1S:1S:1S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2251,4,0,1,3,2,:1O:1O:2O,,1O,::1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
2252,4,0,1,3,2,:1O:1O:2O,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2253,4,0,1,3,2,:1O:1O:2O,,1N3O2S,::::1S:1S:1S:1S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2254,4,0,1,3,2,:1O:1O:1O,,3O2S,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2255,4,0,1,3,2,:1O:1O:1O,,2O1S,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2256,4,0,1,3,2,:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2257,4,0,1,3,2,:1O:1O:1O,,2O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2258,4,0,1,3,2,:1O:1O:1O,,2O,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2259,4,0,1,3,2,:1O:1O:1O,,1O1S,:::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2260,4,0,1,3,2,:1O:1O:1O,,1O1S,1S:2S:2S:2S:2S:2S:3S:3S:3S:3S:4S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
2261,4,0,1,3,2,:1O:1O:1O,,1O,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2262,4,0,1,3,2,:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2263,4,0,1,3,2,:1O:1O:1O,,1O,1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2264,4,0,1,3,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2265,4,0,1,3,2,:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
2266,4,0,1,3,2,:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2267,4,0,1,3,2,:1O:1O:1O,,1N2O2S,1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2268,4,0,1,3,2,:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2269,4,0,1,3,2,1O:1O:1O:2O,,2O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2270,4,0,1,3,2,1O:1O:1O:2O,,1O,::::1S:1S:1S:1S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2271,4,0,1,3,2,1O:1O:1O:2O,,,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
