,num_dol,num_dipe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dipe,atoms_tfsi,atoms_ps,atoms_li,count,%
1859,4,1,1,2,2,1O:1O:1O:1O,,1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1860,4,1,1,2,2,1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1861,4,1,1,2,2,1O:1O:1O:1O,,1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1862,4,1,1,2,2,1O:1O:1O:1O,,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1863,4,1,1,2,2,1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1864,4,1,1,2,1,::1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1865,4,1,1,1,2,::1O:1O,1O,3O2S,,1L:1L,1,0.03000300030003
1866,4,1,1,2,2,:1O:1O:2O,,1O,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1867,4,1,1,2,2,:1O:1O:2O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1868,4,1,1,1,2,::1O:1O,1O,1O1S,,1L:1L,1,0.03000300030003
1869,4,1,1,2,2,:1O:1O:2O,1O,1N,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1870,4,1,2,1,2,1O:1O:1O:2O,,1O1S:2O,,1L:1L,1,0.03000300030003
1871,4,1,2,1,2,1O:1O:1O:2O,,1N3O1S:1O,,1L:1L,1,0.03000300030003
1872,4,1,2,1,2,1O:1O:1O:2O,,1N2O2S:1O,,1L:1L,1,0.03000300030003
1873,4,1,2,1,2,1O:1O:1O:1O,1O,:3O,,1L:1L,1,0.03000300030003
1874,4,1,2,1,2,1O:1O:1O:1O,1O,1O:1O1S,,1L:1L,1,0.03000300030003
1875,4,1,2,1,2,1O:1O:1O:1O,,2O:3O1S,,1L:1L,1,0.03000300030003
1876,4,1,2,1,2,1O:1O:1O:1O,,1O1S:2O2S,,1L:1L,1,0.03000300030003
1877,4,1,2,1,2,1O:1O:1O:1O,,1N3O2S:2O1S,,1L:1L,1,0.03000300030003
1878,4,1,2,1,2,1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,1,0.03000300030003
