,num_dol,num_toluene,num_tfsi,num_ps,num_li,atoms_dol,atoms_toluene,atoms_tfsi,atoms_ps,atoms_li,count,%
1915,4,2,1,2,2,1O:1O:1O:1O,:,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1916,4,2,1,2,2,1O:1O:1O:1O,:,1N2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1917,4,2,1,2,1,::1O:1O,:,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
1918,4,2,1,1,2,:1O:1O:1O,:,1N4O2S,,1L:1L,1,0.03000300030003
1919,4,2,1,1,2,:1O:1O:1O,:,1N3O2S,,1L:1L,1,0.03000300030003
1920,4,2,1,1,2,1O:1O:1O:2O,:,2O1S,,1L:1L,1,0.03000300030003
1921,4,2,2,2,3,:1O:1O:1O,:,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1922,4,2,1,1,2,1O:1O:1O:2O,:,1O1S,,1L:1L,1,0.03000300030003
1923,4,2,1,1,2,1O:1O:1O:1O,:,3O2S,,1L:1L,1,0.03000300030003
1924,4,2,1,1,2,1O:1O:1O:1O,:,3O1S,,1L:1L,1,0.03000300030003
1925,4,2,1,1,2,1O:1O:1O:1O,:,1O1S,,1L:1L,1,0.03000300030003
1926,4,2,1,1,2,1O:1O:1O:1O,:,1N2O2S,,1L:1L,1,0.03000300030003
1927,4,2,1,1,1,::1O:2O,:,2O1S,,1L,1,0.03000300030003
1928,4,2,1,1,1,::1O:2O,:,2O,,1L,1,0.03000300030003
1929,4,2,1,1,1,::1O:1O,:,1O,,1L,1,0.03000300030003
1930,4,2,1,1,1,::1O:1O,:,1N2O1S,,1L,1,0.03000300030003
1931,4,2,1,1,1,::1O:1O,:,1N1O1S,,1L,1,0.03000300030003
1932,4,2,1,1,1,:1O:2O:2O,:,1O1S,,1L,1,0.03000300030003
1933,4,2,1,1,1,:1O:2O:2O,:,1O,,1L,1,0.03000300030003
1934,4,2,1,1,1,:1O:1O:2O,:,3O1S,,1L,1,0.03000300030003
1935,4,2,1,1,1,:1O:1O:2O,:,,,1L,1,0.03000300030003
1936,4,2,1,2,2,1O:1O:1O:1O,:,2O1S,1S:1S:1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1937,4,2,1,2,2,1O:1O:1O:1O,:,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1938,4,2,1,2,2,1O:1O:1O:1O,:,2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1939,4,2,1,2,2,1O:1O:1O:1O,:,2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1940,4,2,2,2,2,:1O:1O:2O,:,1O:3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1941,4,2,2,1,2,:1O:1O:2O,:,1O:3O2S,,1L:1L,1,0.03000300030003
1942,4,2,2,1,2,:1O:1O:1O,:,1N4O2S:1O,,1L:1L,1,0.03000300030003
1943,4,2,2,1,2,:1O:1O:1O,:,1N2O1S:1O,,1L:1L,1,0.03000300030003
1944,4,2,2,1,2,1O:1O:1O:2O,:,1O1S:2O1S,,1L:1L,1,0.03000300030003
1945,4,2,2,1,2,1O:1O:1O:2O,:,1O1S:2O,,1L:1L,1,0.03000300030003
1946,4,2,2,1,2,1O:1O:1O:1O,:,:2O,,1L:1L,1,0.03000300030003
1947,4,2,2,1,2,1O:1O:1O:1O,:,2O:2O1S,,1L:1L,1,0.03000300030003
1948,4,2,2,1,2,1O:1O:1O:1O,:,1O:3O1S,,1L:1L,1,0.03000300030003
1949,4,2,2,1,2,1O:1O:1O:1O,:,1O:1O,,1L:1L,1,0.03000300030003
1950,4,2,2,1,2,1O:1O:1O:1O,:,1N3O2S:1O,,1L:1L,1,0.03000300030003
1951,4,2,2,1,2,1O:1O:1O:1O,:,1N1O1S:2O,,1L:1L,1,0.03000300030003
1952,4,2,2,1,1,:1O:1O:1O,:,:2O,,1L,1,0.03000300030003
1953,4,2,1,3,2,:1O:1O:1O,:,1O,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1954,4,2,1,3,2,1O:1O:2O:2O,:,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1955,4,2,1,3,2,1O:1O:1O:1O,:,1O,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1956,4,2,1,2,3,1O:1O:1O:1O,:,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1957,4,2,1,2,2,:1O:1O:1O,:,3O2S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1958,4,2,1,2,2,:1O:1O:1O,:,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1959,4,2,1,2,2,:1O:1O:1O,:,1O,3S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1960,4,2,1,2,2,:1O:1O:1O,:,1O,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1961,4,2,1,2,2,:1O:1O:1O,:,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1962,4,2,1,2,2,:1O:1O:1O,:,1N3O2S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1963,4,2,1,2,2,1O:1O:1O:2O,:,3O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1964,4,2,1,2,2,1O:1O:1O:2O,:,2O2S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1965,4,2,1,2,2,1O:1O:1O:2O,:,1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1966,4,2,1,2,2,1O:1O:1O:2O,:,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1967,4,2,1,2,2,1O:1O:1O:2O,:,1N2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1968,4,2,1,2,2,1O:1O:1O:1O,:,2O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1969,5,0,1,1,2,1O:1O:1O:2O:2O,,3O2S,,1L:1L,1,0.03000300030003
1970,5,0,1,1,2,1O:1O:2O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1971,5,0,1,1,2,:1O:1O:1O:1O,,1N1O1S,,1L:1L,1,0.03000300030003
1972,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1973,5,0,1,2,2,:1O:1O:1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
