,num_dol,num_dps,num_tfsi,num_ps,num_li,atoms_dol,atoms_dps,atoms_tfsi,atoms_ps,atoms_li,count,%
1264,0,4,1,1,1,,:1O:1O1S:1O1S,,,1L,1,0.03000300030003
1265,0,4,1,1,1,,1O:1O:2O1S:2O1S,,,1L,1,0.03000300030003
1266,0,4,1,1,1,,1O:1O1S:1O1S:1S,,,1L,1,0.03000300030003
1267,0,4,0,2,2,,1O:1O:1O:2O1S,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1268,0,4,0,2,2,,1O:1O:1O1S:2O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1269,0,4,0,2,2,,1O:1O1S:1O1S:2O1S,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1270,0,4,0,2,2,,1O:1O1S:1O1S:2O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1271,0,4,0,2,2,,1O:1O1S:1O1S:2O1S,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1272,0,4,0,2,1,,::1O:1O1S,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1273,0,4,0,1,1,,::1O1S:2O1S,,,1L,1,0.03000300030003
1274,0,4,0,1,1,,::1O1S:1O1S,,,1L,1,0.03000300030003
1275,0,4,0,1,1,,:1O:1O:1O,,,1L,1,0.03000300030003
1276,0,4,0,1,1,,1O:1O:1O:1O1S,,,1L,1,0.03000300030003
1277,0,4,0,1,1,,1O:1O1S:1O1S:1S,,,1L,1,0.03000300030003
1278,0,3,1,2,2,,1O:2O1S:2O1S,,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1279,0,3,1,1,1,,:1O:2O1S,2O1S,,1L,1,0.03000300030003
1280,0,3,1,1,1,,1O:1O1S:2O1S,2O,,1L,1,0.03000300030003
1281,0,4,1,1,1,,::1O:1O,1O,,1L,1,0.03000300030003
1282,0,4,1,1,2,,1O:1O1S:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
1283,0,5,0,2,1,,:::1O:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1284,0,4,1,1,2,,1O:1O:1O1S:1O1S,2O,,1L:1L,1,0.03000300030003
