,num_dol,num_hfme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hfme,atoms_tfsi,atoms_ps,atoms_li,count,%
774,5,0,1,1,2,:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
775,5,0,1,1,2,:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
776,6,0,3,1,2,:1O:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
777,6,0,2,2,2,:::1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
778,6,0,2,1,2,::1O:1O:1O:2O,,2O:2O1S,,1L:1L,1,0.03000300030003
779,6,0,2,1,2,::1O:1O:2O:2O,,1O:1O,,1L:1L,1,0.03000300030003
780,6,0,2,1,2,::1O:1O:1O:2O,,:2O,,1L:1L,1,0.03000300030003
781,5,0,1,2,2,1O:1O:1O:1O:1O,,2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
782,5,0,1,2,2,1O:1O:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
783,5,0,1,2,2,1O:1O:1O:1O:1O,,2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
784,5,0,1,2,2,1O:1O:1O:1O:1O,,1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
785,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,3S:3S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
786,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,2S:2S:2S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
787,6,0,2,2,2,:::1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
788,6,0,2,2,2,::1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
789,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,1S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
790,6,0,2,2,2,::1O:1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
791,6,0,2,2,2,::1O:1O:1O:1O,,:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
792,6,0,2,2,2,:::1O:1O:1O,,1N1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
793,5,0,1,2,2,1O:1O:1O:1O:1O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
794,5,0,1,2,2,:1O:1O:1O:1O,,1N1O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
795,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
796,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1N2O1S,,1L:1L,1,0.03000300030003
797,5,0,0,4,2,::1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
798,5,1,0,1,1,:1O:1O:1O:2O,,,,1L,1,0.03000300030003
799,5,0,3,2,2,::1O:1O:1O,,:1O:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
800,5,0,3,2,2,::1O:1O:1O,,:1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
801,5,0,3,1,2,::1O:1O:2O,,1O:1O:2O,,1L:1L,1,0.03000300030003
802,7,0,1,1,1,:::1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
803,5,2,1,1,1,::1O:1O:1O,:,2O1S,,1L,1,0.03000300030003
804,5,2,1,1,1,:::1O:1O,:,1O,,1L,1,0.03000300030003
805,7,0,1,1,1,:::1O:1O:1O:1O,,3O1S,,1L,1,0.03000300030003
806,5,0,3,1,2,::1O:1O:2O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
807,5,0,3,1,2,::1O:1O:2O,,1O:1O1S:2O,,1L:1L,1,0.03000300030003
808,5,0,3,1,2,::1O:1O:2O,,1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
809,5,2,1,1,1,::::1O,:,1O1S,,1L,1,0.03000300030003
810,5,0,3,1,2,::1O:1O:1O,,1O:2O:3O1S,,1L:1L,1,0.03000300030003
811,5,2,1,1,2,1O:1O:1O:1O:1O,:,1N2O2S,,1L:1L,1,0.03000300030003
812,5,2,1,1,2,1O:1O:1O:1O:1O,:,1O,,1L:1L,1,0.03000300030003
813,5,1,0,1,1,:1O:1O:1O:2O,1O,,,1L,1,0.03000300030003
