,num_dol,num_tfeibe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeibe,atoms_tfsi,atoms_ps,atoms_li,count,%
2435,4,0,2,2,2,:1O:1O:1O,,1N3O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2436,4,0,2,2,2,:1O:1O:1O,,1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2437,4,0,2,2,2,:1O:1O:1O,,1O1S:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2438,4,0,2,2,2,:1O:1O:1O,,1O1S:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2439,4,0,2,2,2,:1O:1O:1O,,1O1S:2O,2S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
2440,4,0,2,2,2,:1O:1O:1O,,1O1S:2O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2441,4,0,2,2,2,:1O:1O:1O,,1O1S:2O,::1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2442,4,0,2,2,2,:1O:1O:1O,,1O1S:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2443,4,0,2,2,2,:1O:1O:1O,,1O1S:2O1S,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2444,4,0,2,2,2,:1O:1O:1O,,1O1S:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2445,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2446,4,0,2,2,2,:1O:1O:1O,,1O:2O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2447,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2448,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2449,4,0,2,2,2,:1O:1O:2O,,1O:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2450,4,0,2,2,2,:1O:1O:2O,,1O:1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2451,4,0,2,2,2,:1O:1O:2O,,1O:1O1S,2S:2S:3S:4S:4S:5S:5S:5S,1L:1L,1,0.03000300030003
2452,4,0,2,2,2,:1O:1O:2O,,:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2453,4,0,2,2,2,:1O:1O:2O,,:2O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2454,4,0,2,2,2,:1O:2O:2O,,1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
