,num_dol,num_tpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tpe,atoms_tfsi,atoms_ps,atoms_li,count,%
1857,4,0,2,1,2,:1O:1O:1O,,1N1O1S:1O,,1L:1L,1,0.03000300030003
1858,4,0,2,1,2,1O:1O:2O:2O,,2O:3O1S,,1L:1L,1,0.03000300030003
1859,4,0,2,1,2,1O:1O:2O:2O,,1O:2O1S,,1L:1L,1,0.03000300030003
1860,4,0,2,1,2,1O:1O:1O:2O,,:2O1S,,1L:1L,1,0.03000300030003
1861,4,0,2,1,2,1O:1O:1O:2O,,:1O,,1L:1L,1,0.03000300030003
1862,4,0,2,1,2,1O:1O:1O:2O,,3O1S:3O1S,,1L:1L,1,0.03000300030003
1863,4,0,2,1,2,:1O:1O:2O,,1N2O1S:1O,,1L:1L,1,0.03000300030003
1864,4,0,2,1,2,:1O:1O:2O,,1N2O2S:2O1S,,1L:1L,1,0.03000300030003
1865,4,0,2,2,2,1O:1O:1O:1O,,1O:2O,1S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1866,4,0,2,1,2,:1O:1O:2O,,1N3O2S:1O,,1L:1L,1,0.03000300030003
1867,4,0,2,2,2,1O:1O:1O:1O,,1O:1O1S,:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1868,4,0,2,2,2,1O:1O:1O:1O,,1O:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1869,4,0,2,2,2,1O:1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1870,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1871,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1872,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1873,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1874,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1875,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1876,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1877,4,0,2,2,2,1O:1O:1O:1O,,1N2O2S:1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1878,4,0,2,2,2,1O:1O:1O:1O,,1N1O1S:1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1879,4,0,2,2,2,1O:1O:1O:1O,,1N1O1S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1880,4,0,2,2,2,1O:1O:1O:1O,,1N1O1S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1881,4,0,2,2,1,::1O:1O,,:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1882,4,0,2,2,1,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1883,4,0,2,1,2,::1O:1O,,1O:2O1S,,1L:1L,1,0.03000300030003
1884,4,0,2,1,2,:1O:1O:2O,,2O:2O1S,,1L:1L,1,0.03000300030003
1885,4,0,2,1,2,:1O:1O:2O,,2O:2O,,1L:1L,1,0.03000300030003
1886,4,0,2,1,2,:1O:1O:2O,,1O:1O1S,,1L:1L,1,0.03000300030003
1887,4,0,2,1,2,:1O:1O:2O,,1O1S:3O2S,,1L:1L,1,0.03000300030003
1888,9,0,0,1,2,:1O:1O:1O:1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
