,num_dol,num_eips,num_tfsi,num_ps,num_li,atoms_dol,atoms_eips,atoms_tfsi,atoms_ps,atoms_li,count,%
796,0,6,0,1,1,,::1O:1O:1O:1O1S,,,1L,1,0.03000300030003
797,0,6,0,2,2,,::1O:1O:1O:2O,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
798,0,6,1,1,1,,:::1O:1O:1O,,,1L,1,0.03000300030003
799,0,6,1,1,2,,:1O:1O:1O:1O1S:2O1S,2O1S,,1L:1L,1,0.03000300030003
800,0,6,1,1,2,,:1O:1O:1O:1O:1O,3O1S,,1L:1L,1,0.03000300030003
801,0,6,1,1,2,,:1O:1O:1O:1O:1O1S,1O,,1L:1L,1,0.03000300030003
802,0,7,0,1,1,,::::1O:1O1S:2O1S,,,1L,1,0.03000300030003
803,1,3,0,1,1,,1O:1O:1O1S,,,1L,1,0.03000300030003
804,0,5,1,1,2,,:1O:1O:1O:2O1S,2O,,1L:1L,1,0.03000300030003
805,1,3,0,1,1,,1O:1O:2O1S,,,1L,1,0.03000300030003
806,1,3,0,1,1,1O,::1O,,,1L,1,0.03000300030003
807,1,3,0,1,2,,1O:2O1S:2O1S,,,1L:1L,1,0.03000300030003
808,1,3,0,2,1,,:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
809,1,3,0,2,1,,:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
810,1,3,0,2,1,,:1O:1O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
811,1,3,0,2,1,,:2O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
812,1,3,0,2,2,1O,1O:1O:1O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
813,1,3,0,2,2,1O,1O:1O:1O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
814,1,3,0,2,2,1O,1O:1O:1O1S,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
815,0,5,1,2,2,,:1O:1O:1O1S:1O1S,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
816,0,5,1,1,2,,:1O:1O:1O:1O1S,1O,,1L:1L,1,0.03000300030003
817,0,5,0,2,3,,:1O:1O:2O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
818,0,5,1,1,2,,1O:1O:1O:1O1S:2O1S,1N1O1S,,1L:1L,1,0.03000300030003
819,0,5,0,2,3,,:1O:1O:2O:2O1S,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
820,0,5,0,2,4,,1O:1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L:1L,1,0.03000300030003
821,0,5,1,1,1,,:1O:1O:1O:1O,1O,,1L,1,0.03000300030003
