,num_dol,num_tte,num_tfsi,num_ps,num_li,atoms_dol,atoms_tte,atoms_tfsi,atoms_ps,atoms_li,count,%
1018,5,0,2,1,2,:1O:1O:1O:1O,,1N4O2S:1O,,1L:1L,1,0.03000300030003
1019,5,0,2,1,2,:1O:1O:1O:2O,,1N3O1S:1O,,1L:1L,1,0.03000300030003
1020,5,0,2,1,2,:1O:1O:1O:2O,,1N2O1S:2O,,1L:1L,1,0.03000300030003
1021,5,0,2,1,2,:1O:1O:1O:2O,,1N2O1S:1O,,1L:1L,1,0.03000300030003
1022,5,0,2,1,2,:1O:1O:1O:2O,,1N1O1S:2O,,1L:1L,1,0.03000300030003
1023,5,0,2,1,2,:1O:1O:1O:2O,,1N1O1S:1O1S,,1L:1L,1,0.03000300030003
1024,5,0,2,1,2,:1O:1O:1O:1O,,:3O2S,,1L:1L,1,0.03000300030003
1025,5,0,2,1,2,:1O:1O:1O:1O,,:1N2O2S,,1L:1L,1,0.03000300030003
1026,5,0,2,1,2,:1O:1O:1O:1O,,2O:2O,,1L:1L,1,0.03000300030003
1027,5,0,2,1,2,:1O:1O:1O:1O,,2O1S:3O2S,,1L:1L,1,0.03000300030003
1028,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:3O2S,,1L:1L,1,0.03000300030003
1029,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:2O2S,,1L:1L,1,0.03000300030003
1030,5,0,2,1,2,:1O:1O:1O:1O,,1N3O1S:2O,,1L:1L,1,0.03000300030003
1031,5,0,2,2,2,1O:1O:1O:1O:1O,,1O:1O1S,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1032,5,0,2,1,2,:1O:1O:1O:1O,,1N2O1S:2O1S,,1L:1L,1,0.03000300030003
1033,5,0,2,1,2,:1O:1O:1O:1O,,1N1O:2O1S,,1L:1L,1,0.03000300030003
1034,5,0,2,1,2,:1O:1O:1O:1O,,1N1O:1N3O2S,,1L:1L,1,0.03000300030003
1035,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:2O1S,,1L:1L,1,0.03000300030003
1036,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1O1S,,1L:1L,1,0.03000300030003
1037,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1N2O2S,,1L:1L,1,0.03000300030003
1038,5,0,2,1,2,1O:1O:1O:2O:2O,,2O1S:2O1S,,1L:1L,1,0.03000300030003
1039,5,0,2,1,2,1O:1O:1O:2O:2O,,1N1O1S:1O,,1L:1L,1,0.03000300030003
1040,5,0,2,1,2,1O:1O:1O:1O:2O,,:3O1S,,1L:1L,1,0.03000300030003
1041,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O,,1L:1L,1,0.03000300030003
1042,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O1S,,1L:1L,1,0.03000300030003
1043,5,0,2,1,2,:1O:1O:1O:2O,,1N3O2S:2O1S,,1L:1L,1,0.03000300030003
1044,5,0,2,1,2,:1O:1O:1O:2O,,1O1S:1O1S,,1L:1L,1,0.03000300030003
1045,5,0,2,1,2,:1O:1O:1O:2O,,1O1S:2O2S,,1L:1L,1,0.03000300030003
1046,5,0,2,1,2,:1O:1O:1O:2O,,1O:3O2S,,1L:1L,1,0.03000300030003
1047,5,0,2,2,2,1O:1O:1O:1O:1O,,1N2O1S:1O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1048,5,0,2,1,3,:1O:1O:1O:1O,,2O1S:3O2S,,1L:1L:1L,1,0.03000300030003
1049,5,0,2,1,3,:1O:1O:1O:1O,,1N3O2S:1O,,1L:1L:1L,1,0.03000300030003
1050,5,0,2,1,2,::1O:1O:2O,,1O:2O,,1L:1L,1,0.03000300030003
1051,5,0,2,1,2,::1O:1O:2O,,1O:1O,,1L:1L,1,0.03000300030003
1052,5,0,2,1,2,::1O:1O:2O,,1O1S:2O1S,,1L:1L,1,0.03000300030003
1053,5,0,2,1,2,::1O:1O:2O,,1O1S:1O1S,,1L:1L,1,0.03000300030003
1054,5,0,2,1,2,::1O:1O:1O,,:1O,,1L:1L,1,0.03000300030003
1055,5,0,2,1,2,::1O:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
1056,5,0,2,1,2,::1O:1O:1O,,1O1S:3O2S,,1L:1L,1,0.03000300030003
1057,5,0,2,1,2,::1O:1O:1O,,1O1S:2O2S,,1L:1L,1,0.03000300030003
1058,5,0,2,1,2,::1O:1O:1O,,1O1S:2O1S,,1L:1L,1,0.03000300030003
1059,5,0,2,1,2,::1O:1O:1O,,1O1S:1O1S,,1L:1L,1,0.03000300030003
1060,5,0,2,1,2,::1O:1O:1O,,1N3O2S:3O1S,,1L:1L,1,0.03000300030003
1061,5,0,2,1,2,::1O:1O:1O,,1N1O1S:1N3O2S,,1L:1L,1,0.03000300030003
1062,5,0,2,1,2,:1O:1O:2O:2O,,1O:3O1S,,1L:1L,1,0.03000300030003
1063,5,0,2,1,2,:1O:1O:2O:2O,,1O:2O,,1L:1L,1,0.03000300030003
1064,5,0,2,1,2,:1O:1O:2O:2O,,1O:1O,,1L:1L,1,0.03000300030003
1065,5,0,2,1,2,:1O:1O:2O:2O,,1O1S:2O,,1L:1L,1,0.03000300030003
1066,5,0,2,1,2,:1O:1O:1O:2O,,:3O1S,,1L:1L,1,0.03000300030003
1067,5,0,2,1,2,:1O:1O:1O:2O,,:2O2S,,1L:1L,1,0.03000300030003
1068,5,0,2,1,2,:1O:1O:1O:2O,,:2O1S,,1L:1L,1,0.03000300030003
1069,5,0,2,1,2,:1O:1O:1O:2O,,:1O,,1L:1L,1,0.03000300030003
1070,5,0,3,1,2,1O:1O:1O:1O:1O,,::2O1S,,1L:1L,1,0.03000300030003
1071,5,0,3,1,2,1O:1O:1O:1O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1072,5,1,3,1,2,:1O:1O:2O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
1073,5,1,1,1,2,:1O:1O:1O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1074,5,1,1,2,2,:1O:1O:1O:1O,,1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1075,5,1,1,2,2,:1O:1O:1O:1O,,1O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1076,5,1,1,2,2,:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1077,5,1,1,2,2,:1O:1O:1O:1O,,1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1078,5,1,1,2,2,:1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1079,5,1,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1080,5,1,1,2,2,1O:1O:1O:1O:1O,,1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1081,5,1,1,2,2,1O:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1082,5,1,1,1,2,:1O:1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1083,5,1,1,1,2,:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1084,5,1,1,1,2,:1O:1O:1O:2O,,1N3O1S,,1L:1L,1,0.03000300030003
1085,5,1,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1086,5,1,1,2,2,:1O:1O:1O:1O,1O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1087,5,1,1,1,2,1O:1O:1O:1O:2O,,2O2S,,1L:1L,1,0.03000300030003
1088,5,1,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1089,5,1,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1090,5,1,1,1,2,1O:1O:1O:1O:2O,,1N2O2S,,1L:1L,1,0.03000300030003
1091,5,1,1,1,2,1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1092,5,1,1,1,2,1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1093,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1094,5,1,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,1,0.03000300030003
1095,5,1,1,1,2,1O:1O:1O:1O:1O,,1N1O,,1L:1L,1,0.03000300030003
1096,5,1,1,1,1,::::1O,,1N2O1S,,1L,1,0.03000300030003
1097,5,1,1,1,1,::1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1098,5,1,1,2,2,:1O:1O:1O:1O,,3O2S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1099,5,1,1,2,2,:1O:1O:1O:2O,,1O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1100,5,0,3,1,2,1O:1O:1O:1O:2O,,:1N1O1S:1O,,1L:1L,1,0.03000300030003
1101,5,1,2,1,2,1O:1O:1O:2O:2O,,:2O,,1L:1L,1,0.03000300030003
1102,5,1,3,1,2,:1O:1O:1O:1O,,:1O:1O,,1L:1L,1,0.03000300030003
1103,5,1,3,1,2,:1O:1O:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1104,5,1,3,1,2,:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,1,0.03000300030003
1105,5,1,3,1,2,1O:1O:1O:1O:1O,,:1O:1O,,1L:1L,1,0.03000300030003
1106,5,1,2,2,2,1O:1O:1O:1O:1O,,1O:1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1107,5,1,2,1,2,::1O:1O:2O,,1O:2O1S,,1L:1L,1,0.03000300030003
1108,5,1,2,1,2,::1O:1O:2O,,1N3O2S:1O,,1L:1L,1,0.03000300030003
1109,5,1,2,1,2,:1O:1O:1O:2O,,2O:2O,,1L:1L,1,0.03000300030003
1110,5,1,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,1,0.03000300030003
1111,5,1,2,1,2,:1O:1O:1O:2O,,1O:2O,,1L:1L,1,0.03000300030003
1112,5,1,2,1,2,:1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,1,0.03000300030003
1113,5,1,2,1,2,1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,1,0.03000300030003
1114,5,1,1,2,2,:1O:1O:1O:2O,,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1115,5,1,2,1,2,1O:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,1,0.03000300030003
1116,5,1,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,1,0.03000300030003
1117,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:3O1S,,1L:1L,1,0.03000300030003
