,num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%
113,5,1,1,1,2,1O:1O:1O:2O:2O,,2O1S,,1L:1L,3,0.09000900090009
114,5,0,1,1,2,1O:1O:1O:1O:2O,,2O2S,,1L:1L,3,0.09000900090009
115,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
116,5,0,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
117,6,1,2,1,2,:1O:1O:1O:1O:2O,,1O:1O,,1L:1L,3,0.09000900090009
118,4,0,3,1,2,1O:1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,3,0.09000900090009
119,5,0,1,1,2,:1O:1O:1O:2O,,1N2O2S,,1L:1L,3,0.09000900090009
120,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
121,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,3,0.09000900090009
122,5,0,2,1,2,1O:1O:1O:1O:1O,,2O:2O1S,,1L:1L,3,0.09000900090009
123,3,0,4,1,2,:1O:1O,,1O:1O:1O1S:1O1S,,1L:1L,3,0.09000900090009
124,5,0,3,1,2,:1O:1O:1O:1O,,:2O1S:2O1S,,1L:1L,3,0.09000900090009
125,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,:2O,,1L:1L,3,0.09000900090009
126,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,:,,1L:1L,3,0.09000900090009
127,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O1S,,1L:1L,3,0.09000900090009
128,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,3,0.09000900090009
129,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
130,5,0,3,1,2,:1O:1O:1O:1O,,:1O:2O,,1L:1L,3,0.09000900090009
131,5,0,3,1,2,:1O:1O:1O:1O,,:1O:2O1S,,1L:1L,3,0.09000900090009
132,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
133,4,1,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,3,0.09000900090009
134,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,3,0.09000900090009
135,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1O,,1L:1L,3,0.09000900090009
