,num_dol,num_ma,num_tfsi,num_ps,num_li,atoms_dol,atoms_ma,atoms_tfsi,atoms_ps,atoms_li,count,%
679,3,3,2,1,2,:1O:1O,:1O:1O,1N3O2S:1O,,1L:1L,1,0.03000300030003
680,3,3,0,2,2,1O:1O:1O,1O:1O:1O,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
681,3,3,1,1,1,::1O,::1O,2O,,1L,1,0.03000300030003
682,3,3,1,1,2,1O:1O:1O,1O:1O:1O,2O,,1L:1L,1,0.03000300030003
683,3,3,1,1,2,1O:1O:1O,1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
684,3,3,1,1,2,1O:1O:1O,1O:1O:1O,3O1S,,1L:1L,1,0.03000300030003
685,3,3,1,1,2,1O:1O:2O,1O:1O:2O,1O,,1L:1L,1,0.03000300030003
686,3,3,1,1,2,:1O:2O,:1O:2O,1O,,1L:1L,1,0.03000300030003
687,3,3,1,2,1,:1O:1O,:1O:1O,,:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
688,3,3,1,2,2,1O:1O:1O,1O:1O:1O,1N4O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
689,3,3,1,2,2,1O:1O:1O,1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
690,3,3,1,2,2,1O:1O:1O,1O:1O:1O,1O,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
691,3,3,1,2,2,1O:1O:1O,1O:1O:1O,1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
692,3,3,1,2,2,:1O:1O,:1O:1O,1O,2S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
693,3,3,1,2,2,:1O:1O,:1O:1O,1O,3S:4S:5S:5S:5S:5S:6S:7S,1L:1L,1,0.03000300030003
694,3,3,2,1,2,1O:1O:1O,1O:1O:1O,1O:3O1S,,1L:1L,1,0.03000300030003
695,3,3,2,1,2,1O:1O:1O,1O:1O:1O,1O:3O2S,,1L:1L,1,0.03000300030003
696,3,3,2,1,2,1O:1O:1O,1O:1O:1O,2O:2O,,1L:1L,1,0.03000300030003
697,3,3,2,1,2,1O:1O:1O,1O:1O:1O,:1O,,1L:1L,1,0.03000300030003
698,3,3,2,1,2,:1O:1O,:1O:1O,1N2O2S:2O,,1L:1L,1,0.03000300030003
