,num_dol,num_ettfpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ettfpe,atoms_tfsi,atoms_ps,atoms_li,count,%
940,3,0,2,3,2,:1O:1O,,1O:2O1S,:::1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
941,3,0,2,3,2,:1O:1O,,1O:2O,:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
942,3,0,2,3,2,:1O:1O,,1O:1O,:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
943,3,0,2,3,2,:1O:1O,,1O:1O,:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
944,3,0,2,3,2,1O:1O:1O,,:2O1S,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
945,3,0,2,3,2,1O:1O:1O,,:2O1S,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
946,3,0,2,3,2,1O:1O:1O,,:1O,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
947,3,0,2,3,2,1O:1O:1O,,1O:2O,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
948,3,0,2,3,2,1O:1O:1O,,1O:1O,:::1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
949,3,0,3,2,2,:1O:1O,,1O:2O:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
950,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:1O1S,,1L:1L,1,0.03000300030003
951,3,0,2,2,2,1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
952,3,1,1,2,2,:1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
953,3,1,2,1,1,::1O,,1O:2O1S,,1L,1,0.03000300030003
954,3,1,2,1,1,::1O,,1O:1O,,1L,1,0.03000300030003
955,3,1,2,1,1,::1O,,1N1O:1O,,1L,1,0.03000300030003
956,3,1,2,1,1,:1O:1O,,1O:1O,,1L,1,0.03000300030003
957,3,1,1,3,2,:1O:1O,,2O1S,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
958,3,1,1,3,2,:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
959,3,1,1,2,2,:1O:1O,,3O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
960,3,1,1,2,2,:1O:1O,,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
961,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:2O1S,,1L:1L,1,0.03000300030003
962,3,1,1,2,2,1O:1O:2O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
963,3,1,1,2,2,1O:1O:1O,1O,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
964,3,1,1,2,2,1O:1O:1O,1O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
