,num_dol,num_prn,num_tfsi,num_ps,num_li,atoms_dol,atoms_prn,atoms_tfsi,atoms_ps,atoms_li,count,%
1736,2,6,1,1,2,:1O,::1N:1N:1N:1N,1O,,1L:1L,1,0.03000300030003
1737,2,6,1,1,2,:1O,:1N:1N:1N:1N:1N,2O,,1L:1L,1,0.03000300030003
1738,2,6,1,1,2,:1O,:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1739,2,6,1,1,2,:1O,1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1740,2,6,1,1,2,1O:1O,:1N:1N:1N:1N:1N,1O,,1L:1L,1,0.03000300030003
1741,2,6,1,1,2,1O:1O,:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1742,2,6,1,1,1,:1O,::::1N:1N,1O1S,,1L,1,0.03000300030003
1743,2,6,1,1,1,:1O,::::1N:1N,1O,,1L,1,0.03000300030003
1744,2,6,1,1,1,:1O,:::1N:1N:1N,1O,,1L,1,0.03000300030003
1745,2,6,1,1,1,:1O,::1N:1N:1N:1N,1O1S,,1L,1,0.03000300030003
1746,2,6,1,1,1,:,::::1N:1N,1O,,1L,1,0.03000300030003
1747,2,6,1,1,1,:,:::1N:1N:1N,1O1S,,1L,1,0.03000300030003
1748,8,1,0,1,0,:::::::,,,,,1,0.03000300030003
