,num_dol,num_acn,num_tfsi,num_ps,num_li,atoms_dol,atoms_acn,atoms_tfsi,atoms_ps,atoms_li,count,%
809,2,6,0,2,2,:,:1N:1N:1N:1N:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
810,2,6,0,2,2,:,::1N:1N:1N:1N,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
811,2,6,0,2,2,:1O,::1N:1N:1N:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
812,2,6,0,2,2,:1O,::1N:1N:1N:1N,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
813,2,6,0,2,2,:1O,::::1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
814,2,8,0,1,2,:1O,::1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
815,2,6,1,1,1,:,::1N:1N:1N:1N,,,1L,1,0.03000300030003
816,2,6,1,1,1,:1O,:::1N:1N:1N,,,1L,1,0.03000300030003
817,2,6,1,1,1,:1O,::::1N:1N,,,1L,1,0.03000300030003
818,2,6,1,1,2,:,:1N:1N:1N:1N:1N,1O,,1L:1L,1,0.03000300030003
819,2,6,2,1,1,:,:::1N:1N:1N,:,,1L,1,0.03000300030003
820,2,7,0,1,1,:,:::1N:1N:1N:1N,,,1L,1,0.03000300030003
821,2,7,0,1,1,:1O,:::1N:1N:1N:1N,,,1L,1,0.03000300030003
822,2,7,0,1,2,:1O,:1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
823,2,4,0,2,2,:1O,1N:1N:1N:1N,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
824,2,4,0,2,2,:,1N:1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
825,2,4,0,2,2,1O:1O,:1N:1N:1N,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
826,2,3,0,2,1,:,::1N,,:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
827,2,3,0,1,1,1O:1O,::1N,,,1L,1,0.03000300030003
828,2,3,0,1,1,:2O,::,,,1L,1,0.03000300030003
829,2,3,0,1,2,:1O,1N:1N:1N,,,1L:1L,1,0.03000300030003
830,2,3,0,2,1,1O:1O,:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
831,2,3,0,2,1,1O:1O,::,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
832,2,3,0,2,1,1O:1O,::1N,,1S:1S:1S:2S:2S:3S:3S:3S,1L,1,0.03000300030003
833,2,3,0,2,1,1O:1O,::1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
834,2,3,0,2,1,:,:1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
835,2,3,0,2,1,:1O,:1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
836,2,3,0,1,0,1O:1O,::,,,,1,0.03000300030003
837,2,3,0,2,1,:1O,::1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
838,2,3,0,2,1,:1O,::1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
839,2,3,0,2,1,:1O,::1N,,2S:2S:2S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
840,2,3,0,2,1,:1O,::1N,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
841,2,3,0,2,1,:1O,::1N,,:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
842,2,3,0,2,1,:1O,::1N,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
843,2,3,0,2,2,1O:1O,1N:1N:1N,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
844,2,3,0,2,2,1O:1O,:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
845,2,3,0,1,1,1O:1O,1N:1N:1N,,,1L,1,0.03000300030003
846,2,2,2,1,1,:1O,:1N,:,,1L,1,0.03000300030003
847,2,3,0,2,2,:1O,:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
848,2,2,0,2,1,:,:1N,,:1S:1S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
849,1,8,0,1,2,1O,:::1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
850,2,1,0,2,1,:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
851,2,1,0,2,1,:1O,1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
852,2,2,0,1,0,:,1N:1N,,,,1,0.03000300030003
853,2,2,0,1,0,:,:,,,,1,0.03000300030003
854,2,2,0,1,0,:1O,:1N,,,,1,0.03000300030003
855,2,2,0,1,1,:,:1N,,,1L,1,0.03000300030003
856,2,2,0,2,1,:,1N:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
857,2,2,0,2,1,:,:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
858,2,2,2,1,1,:,1N:1N,:,,1L,1,0.03000300030003
859,2,2,0,2,1,:1O,:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
