,num_dol,num_tfetfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfetfe,atoms_tfsi,atoms_ps,atoms_li,count,%
1130,5,1,1,2,2,::1O:1O:1O,,2O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1131,5,1,1,2,2,::1O:1O:1O,,1O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1132,5,1,1,2,2,:1O:1O:1O:2O,,3O2S,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1133,5,1,1,2,2,:1O:1O:1O:2O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1134,5,1,1,2,2,:1O:1O:1O:2O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1135,5,1,1,2,2,:1O:1O:1O:1O,,1O1S,2S:2S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1136,5,1,1,2,2,:1O:1O:1O:1O,,1N3O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1137,5,1,1,2,2,:1O:1O:1O:1O,,1N2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1138,5,1,1,2,2,1O:1O:1O:1O:2O,,1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1139,5,1,1,2,2,1O:1O:1O:1O:2O,,1N2O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1140,5,1,1,2,2,1O:1O:1O:1O:1O,,1O,3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1141,5,1,1,2,1,::1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1142,5,1,1,2,1,:1O:1O:1O:2O,,2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1143,5,1,1,1,3,:1O:1O:1O:2O,,2O1S,,1L:1L:1L,1,0.03000300030003
1144,5,1,1,1,3,1O:1O:1O:1O:2O,,2O1S,,1L:1L:1L,1,0.03000300030003
1145,5,1,1,1,2,::1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1146,5,1,1,1,2,::1O:1O:2O,,,,1L:1L,1,0.03000300030003
1147,5,1,1,1,2,:1O:1O:2O:2O,,2O2S,,1L:1L,1,0.03000300030003
1148,5,1,0,3,2,::1O:1O:2O,,,:::1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1149,5,1,0,2,2,:1O:1O:2O:2O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1150,5,1,2,1,2,1O:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,1,0.03000300030003
1151,5,0,3,1,2,::1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
1152,5,0,3,1,2,::1O:1O:2O,,1N2O1S:2O1S:3O1S,,1L:1L,1,0.03000300030003
1153,5,0,3,1,2,::1O:1O:1O,,::1O,,1L:1L,1,0.03000300030003
1154,5,0,3,1,2,::1O:1O:1O,,:1O:2O1S,,1L:1L,1,0.03000300030003
1155,5,0,3,1,2,::1O:1O:1O,,2O:2O:2O1S,,1L:1L,1,0.03000300030003
1156,5,0,3,1,2,::1O:1O:1O,,1O:2O:2O,,1L:1L,1,0.03000300030003
1157,5,0,3,1,2,::1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
1158,5,0,3,1,2,::1O:1O:1O,,1O:1O:2O2S,,1L:1L,1,0.03000300030003
1159,5,0,3,1,2,::1O:1O:1O,,1O:1O1S:3O1S,,1L:1L,1,0.03000300030003
1160,5,0,3,1,2,::1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1161,5,0,3,1,2,::1O:1O:1O,,1N3O2S:1O:2O1S,,1L:1L,1,0.03000300030003
1162,5,0,3,1,2,::1O:1O:1O,,1N3O2S:1O:1O1S,,1L:1L,1,0.03000300030003
1163,5,0,3,1,2,::1O:1O:1O,,1N2O2S:1O:2O1S,,1L:1L,1,0.03000300030003
1164,5,0,3,1,2,::1O:1O:1O,,1N2O2S:1O1S:2O1S,,1L:1L,1,0.03000300030003
1165,5,0,3,1,2,::1O:1O:1O,,1N1O1S:1O:2O1S,,1L:1L,1,0.03000300030003
1166,5,0,3,1,2,:1O:1O:2O:2O,,1N1O1S:1O:3O2S,,1L:1L,1,0.03000300030003
1167,5,1,0,2,2,:1O:1O:1O:2O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1168,5,0,3,1,2,:1O:1O:1O:2O,,:1O:2O,,1L:1L,1,0.03000300030003
1169,5,0,3,1,2,:1O:1O:1O:2O,,:1O1S:2O1S,,1L:1L,1,0.03000300030003
1170,5,0,3,1,2,:1O:1O:1O:2O,,:1N1O1S:2O1S,,1L:1L,1,0.03000300030003
1171,5,0,3,1,2,:1O:1O:1O:2O,,1O:1O:3O1S,,1L:1L,1,0.03000300030003
1172,5,0,3,1,2,:1O:1O:1O:2O,,1O:1O1S:2O,,1L:1L,1,0.03000300030003
1173,5,0,3,1,2,:1O:1O:1O:2O,,1O1S:2O:2O,,1L:1L,1,0.03000300030003
1174,5,0,3,1,2,:1O:1O:1O:2O,,1N3O2S:1O:2O,,1L:1L,1,0.03000300030003
1175,5,0,3,1,2,:1O:1O:1O:2O,,1N2O2S:1O:1O1S,,1L:1L,1,0.03000300030003
1176,5,0,3,1,2,:1O:1O:1O:1O,,:1O:2O2S,,1L:1L,1,0.03000300030003
1177,5,0,3,1,2,:1O:1O:1O:1O,,:1O:2O1S,,1L:1L,1,0.03000300030003
1178,5,0,3,1,2,:1O:1O:1O:1O,,:1O:1O1S,,1L:1L,1,0.03000300030003
1179,5,0,3,1,2,:1O:1O:1O:1O,,:1O1S:3O1S,,1L:1L,1,0.03000300030003
1180,5,0,3,1,2,:1O:1O:1O:1O,,:1N2O2S:1O,,1L:1L,1,0.03000300030003
1181,5,0,3,1,2,:1O:1O:1O:1O,,1O:2O:2O,,1L:1L,1,0.03000300030003
1182,5,0,3,1,2,::1O:1O:2O,,1N2O2S:1O:2O1S,,1L:1L,1,0.03000300030003
1183,5,0,3,1,2,::1O:1O:2O,,1N3O1S:1O:2O,,1L:1L,1,0.03000300030003
1184,5,0,3,1,2,::1O:1O:2O,,1O:1O1S:2O,,1L:1L,1,0.03000300030003
1185,5,0,3,1,2,::1O:1O:2O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1186,5,1,0,1,2,:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
1187,5,1,0,1,2,:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1188,5,1,0,1,1,::1O:1O:1O,,,,1L,1,0.03000300030003
1189,5,1,0,1,1,:1O:1O:2O:2O,1O,,,1L,1,0.03000300030003
1190,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,1,0.03000300030003
1191,5,1,0,1,1,1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1192,5,0,4,1,2,::1O:1O:2O,,:1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
1193,5,0,4,1,2,::1O:1O:1O,,1O:1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
1194,5,0,4,1,2,::1O:1O:1O,,1O:1O1S:1O1S:2O1S,,1L:1L,1,0.03000300030003
1195,5,0,4,1,2,:1O:1O:1O:2O,,1O:1O:1O:1O1S,,1L:1L,1,0.03000300030003
1196,5,0,4,1,2,:1O:1O:1O:1O,,:::1O1S,,1L:1L,1,0.03000300030003
1197,5,0,4,1,2,:1O:1O:1O:1O,,:1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1198,5,0,4,1,2,:1O:1O:1O:1O,,1O:1O:1O:1O1S,,1L:1L,1,0.03000300030003
1199,5,0,4,1,2,:1O:1O:1O:1O,,1O:1O:1O1S:2O,,1L:1L,1,0.03000300030003
1200,5,0,4,1,2,1O:1O:1O:1O:1O,,:1O:1O:1O,,1L:1L,1,0.03000300030003
1201,5,0,3,4,2,:::1O:1O,,:1O:2O1S,:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1202,5,0,3,4,2,:::1O:1O,,1O:1O1S:2O1S,:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1203,5,0,3,3,2,:::1O:1O,,1O:1O:2O1S,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1204,5,0,3,2,2,::1O:1O:1O,,:1N1O1S:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1205,5,0,3,2,2,::1O:1O:1O,,1O:1O:2O,2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1206,5,0,3,2,2,:1O:1O:1O:1O,,::1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1207,5,0,3,1,2,:::1O:2O,,1N3O2S:1O:1O1S,,1L:1L,1,0.03000300030003
1208,5,0,3,1,2,:::1O:1O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
1209,5,0,3,1,2,:::1O:1O,,1O1S:2O1S:2O2S,,1L:1L,1,0.03000300030003
1210,5,0,3,1,2,::1O:2O:2O,,1O1S:2O:2O,,1L:1L,1,0.03000300030003
1211,5,0,3,1,2,::1O:1O:2O,,:2O1S:2O2S,,1L:1L,1,0.03000300030003
1212,5,0,3,1,2,::1O:1O:2O,,:1O:2O1S,,1L:1L,1,0.03000300030003
1213,5,0,3,1,2,::1O:1O:2O,,:1O1S:2O2S,,1L:1L,1,0.03000300030003
1214,5,0,3,1,2,::1O:1O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1215,5,1,2,1,2,1O:1O:1O:1O:1O,,:3O2S,,1L:1L,1,0.03000300030003
1216,5,1,2,1,2,1O:1O:1O:1O:2O,,1N1O1S:2O1S,,1L:1L,1,0.03000300030003
1217,6,0,1,2,2,:1O:1O:1O:1O:1O,,1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1218,6,0,1,1,1,::1O:1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1219,6,0,1,1,2,1O:1O:1O:2O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1220,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1221,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1222,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1223,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1224,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O,,1L:1L,1,0.03000300030003
1225,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1N2O1S,,1L:1L,1,0.03000300030003
1226,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
1227,6,0,1,1,1,::::1O:2O,,1O,,1L,1,0.03000300030003
1228,6,0,1,1,1,:::1O:1O:2O,,2O1S,,1L,1,0.03000300030003
1229,6,0,1,1,1,:::1O:1O:2O,,,,1L,1,0.03000300030003
1230,6,0,1,1,1,:::1O:1O:1O,,1O,,1L,1,0.03000300030003
1231,6,0,1,1,1,::1O:1O:2O:2O,,1O1S,,1L,1,0.03000300030003
