,num_dol,num_thf,num_tfsi,num_ps,num_li,atoms_dol,atoms_thf,atoms_tfsi,atoms_ps,atoms_li,count,%
685,4,2,0,2,2,:1O:1O:1O,:1O,,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
686,4,2,0,2,2,:1O:1O:1O,:1O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
687,4,2,0,2,2,:1O:1O:1O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
688,4,2,0,2,1,:1O:1O:2O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
689,4,2,0,2,1,:1O:1O:1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
690,4,2,0,1,2,::1O:1O,1O:1O,,,1L:1L,1,0.03000300030003
691,4,1,2,1,2,:1O:1O:1O,1O,1O1S:2O2S,,1L:1L,1,0.03000300030003
692,4,1,2,1,2,:1O:1O:1O,,1N2O2S:2O1S,,1L:1L,1,0.03000300030003
693,4,1,2,1,2,1O:1O:1O:2O,1O,:1O,,1L:1L,1,0.03000300030003
694,4,1,2,1,2,1O:1O:1O:2O,1O,1O:2O,,1L:1L,1,0.03000300030003
695,4,1,2,1,2,1O:1O:1O:1O,1O,:2O,,1L:1L,1,0.03000300030003
696,4,1,2,1,2,1O:1O:1O:1O,1O,:1O,,1L:1L,1,0.03000300030003
697,4,1,2,1,2,1O:1O:1O:1O,1O,1O:2O2S,,1L:1L,1,0.03000300030003
698,4,1,2,1,2,1O:1O:1O:1O,1O,1O:2O1S,,1L:1L,1,0.03000300030003
699,4,1,2,1,2,1O:1O:1O:1O,1O,1O:2O,,1L:1L,1,0.03000300030003
700,4,1,2,1,2,1O:1O:1O:1O,1O,1O:1O1S,,1L:1L,1,0.03000300030003
701,4,1,2,1,2,1O:1O:1O:1O,1O,1N1O:1O1S,,1L:1L,1,0.03000300030003
702,4,1,2,1,1,:::1O,,2O1S:2O1S,,1L,1,0.03000300030003
703,4,1,2,1,1,:::1O,,1O:1O,,1L,1,0.03000300030003
704,4,1,2,1,1,:::1O,,1N3O1S:1O,,1L,1,0.03000300030003
705,4,1,2,1,1,::1O:2O,1O,1O:1O,,1L,1,0.03000300030003
706,4,1,2,1,1,:1O:1O:1O,1O,:1O,,1L,1,0.03000300030003
707,4,1,2,1,1,:1O:1O:1O,,:1O1S,,1L,1,0.03000300030003
708,4,1,2,1,1,:1O:1O:1O,,1O:1O1S,,1L,1,0.03000300030003
709,4,1,2,1,2,:1O:1O:1O,1O,1O1S:2O1S,,1L:1L,1,0.03000300030003
710,4,1,2,1,2,:1O:1O:1O,1O,1O:1O,,1L:1L,1,0.03000300030003
711,4,2,0,1,2,:1O:2O:2O,1O:1O,,,1L:1L,1,0.03000300030003
712,4,1,2,1,2,:1O:1O:1O,1O,1O:2O,,1L:1L,1,0.03000300030003
713,4,2,0,1,2,1O:1O:1O:2O,:1O,,,1L:1L,1,0.03000300030003
714,4,2,0,1,1,:::1O,:1O,,,1L,1,0.03000300030003
715,4,2,0,1,1,::1O:1O,:,,,1L,1,0.03000300030003
716,4,2,0,1,1,:1O:1O:2O,:1O,,,1L,1,0.03000300030003
717,4,2,2,1,1,1O:1O:1O:1O,:,:2O,,1L,1,0.03000300030003
718,4,2,0,1,1,1O:1O:1O:2O,:,,,1L,1,0.03000300030003
719,4,2,0,1,1,1O:1O:1O:1O,:,,,1L,1,0.03000300030003
720,4,1,2,2,2,::1O:2O,,1O:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
721,4,1,2,2,2,::1O:1O,1O,1O:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
722,4,1,2,2,2,::1O:1O,1O,1O:1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
723,4,1,2,2,2,:1O:1O:1O,1O,:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
724,4,1,2,2,2,1O:1O:1O:2O,,1N1O1S:1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
725,4,1,2,1,2,::1O:1O,1O,:1O,,1L:1L,1,0.03000300030003
726,4,1,2,1,2,:1O:2O:2O,1O,:1O1S,,1L:1L,1,0.03000300030003
727,4,1,2,1,2,:1O:1O:2O,1O,1O:2O2S,,1L:1L,1,0.03000300030003
728,4,1,2,1,2,:1O:1O:2O,1O,1O1S:2O1S,,1L:1L,1,0.03000300030003
729,4,1,2,1,2,:1O:1O:1O,1O,2O:2O1S,,1L:1L,1,0.03000300030003
730,4,2,1,4,2,:1O:1O:1O,:1O,,:::1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
731,0,4,1,1,1,,::1O:1O,1O,,1L,1,0.03000300030003
732,4,2,2,1,1,:1O:1O:1O,:1O,1O:1O1S,,1L,1,0.03000300030003
733,5,2,1,1,2,::1O:1O:1O,:1O,2O,,1L:1L,1,0.03000300030003
734,5,2,2,1,2,::1O:1O:1O,:1O,1O:1O1S,,1L:1L,1,0.03000300030003
735,5,2,2,1,2,::1O:1O:1O,1O:1O,1O:1O1S,,1L:1L,1,0.03000300030003
736,5,2,2,1,2,::1O:1O:1O,1O:1O,1O:1O,,1L:1L,1,0.03000300030003
737,5,2,2,1,1,:::1O:1O,:,:1O,,1L,1,0.03000300030003
738,5,2,1,2,2,::1O:1O:1O,:1O,2O1S,::1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
739,5,2,1,2,2,::1O:1O:1O,1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
740,5,2,1,2,2,:1O:1O:1O:2O,:1O,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
741,5,2,1,2,2,:1O:1O:1O:1O,1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
742,5,2,1,1,2,:::1O:1O,1O:1O,1N1O1S,,1L:1L,1,0.03000300030003
743,5,2,1,1,2,::1O:1O:2O,1O:1O,2O,,1L:1L,1,0.03000300030003
744,5,2,1,1,2,::1O:1O:1O,1O:1O,3O2S,,1L:1L,1,0.03000300030003
745,5,1,1,2,2,:::1O:1O,1O,2O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
746,5,2,1,1,2,::1O:1O:1O,1O:1O,2O,,1L:1L,1,0.03000300030003
747,5,2,1,1,2,:1O:1O:2O:2O,:1O,2O,,1L:1L,1,0.03000300030003
748,5,2,1,1,2,:1O:1O:1O:2O,:1O,2O1S,,1L:1L,1,0.03000300030003
749,5,2,1,1,2,:1O:1O:1O:2O,:1O,1O,,1L:1L,1,0.03000300030003
750,5,2,1,1,2,:1O:1O:1O:2O,1O:1O,,,1L:1L,1,0.03000300030003
