,num_dol,num_hme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hme,atoms_tfsi,atoms_ps,atoms_li,count,%
1054,9,0,0,1,1,:::1O:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1055,9,0,0,1,1,::::1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1056,9,0,0,1,1,:::::1O:1O:1O:2O,,,,1L,1,0.03000300030003
1057,8,0,1,1,2,::1O:1O:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1058,8,0,1,1,2,::1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1059,8,0,1,1,2,::1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1060,8,0,1,1,2,::1O:1O:1O:1O:1O:1O,,1O1S,,1L:1L,1,0.03000300030003
1061,8,0,0,2,1,:::1O:1O:1O:1O:1O,,,1S:1S:2S:2S:2S:3S:3S:3S,1L,1,0.03000300030003
1062,8,0,0,2,2,:1O:1O:1O:1O:1O:1O:2O,,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1063,8,0,0,2,2,::1O:1O:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1064,8,0,0,2,2,::1O:1O:1O:1O:1O:2O,,,2S:2S:2S:2S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1065,8,0,0,2,2,:::1O:1O:1O:2O:2O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1066,8,0,1,1,1,:1O:1O:1O:1O:1O:1O:1O,,1N3O2S,,1L,1,0.03000300030003
1067,8,0,1,1,1,:1O:1O:1O:1O:1O:1O:2O,,1O,,1L,1,0.03000300030003
1068,8,0,1,1,1,::1O:1O:1O:1O:1O:1O,,3O2S,,1L,1,0.03000300030003
1069,8,0,1,1,1,:::1O:1O:1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1070,8,0,1,1,1,::::1O:1O:2O:2O,,,,1L,1,0.03000300030003
1071,8,0,1,1,1,::::1O:1O:2O:2O,,1N2O,,1L,1,0.03000300030003
1072,8,0,1,1,1,::::1O:2O:2O:2O,,1O,,1L,1,0.03000300030003
1073,8,0,1,1,2,:1O:1O:1O:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1074,8,0,1,1,2,::1O:1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
1075,8,0,1,1,2,::1O:1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,1,0.03000300030003
1076,7,1,0,2,2,::1O:1O:1O:1O:1O,1O,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1077,7,1,0,2,2,::1O:1O:1O:1O:1O,,,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1078,7,1,0,2,2,:1O:1O:1O:1O:1O:2O,,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1079,7,0,1,1,2,::1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1080,7,0,1,1,2,:1O:1O:1O:1O:2O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1081,7,0,1,1,2,:1O:1O:1O:2O:2O:2O,,2O1S,,1L:1L,1,0.03000300030003
1082,7,0,1,1,2,::1O:1O:1O:1O:1O,,2O,,1L:1L,1,0.03000300030003
1083,7,0,1,1,2,::1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1084,7,0,1,1,2,::1O:1O:1O:1O:1O,,3O1S,,1L:1L,1,0.03000300030003
1085,7,0,1,1,2,::1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1086,7,0,1,1,2,::1O:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
1087,7,0,1,1,2,::1O:1O:1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1088,7,0,1,2,2,::1O:1O:1O:1O:2O,,2O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1089,7,0,1,1,2,:::1O:1O:1O:1O,,1N3O2S,,1L:1L,1,0.03000300030003
1090,7,0,1,1,2,:::1O:2O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1091,7,0,1,2,2,:1O:1O:1O:1O:1O:1O,,1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1092,7,0,1,2,2,:1O:1O:1O:1O:1O:2O,,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1093,7,0,1,2,2,:1O:1O:1O:1O:2O:2O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1094,7,0,1,2,2,:1O:1O:1O:1O:2O:2O,,1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1095,7,0,1,2,2,::1O:1O:1O:1O:1O,,1O,:::1S:1S:2S:3S:3S,1L:1L,1,0.03000300030003
1096,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O2S,,1L:1L,1,0.03000300030003
1097,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1098,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1099,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1N2O1S,,1L:1L,1,0.03000300030003
1100,7,0,1,1,1,:::1O:1O:1O:1O,,,,1L,1,0.03000300030003
1101,7,0,1,1,1,:::1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
1102,7,0,1,1,1,:::1O:1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1103,7,0,1,1,1,:::1O:1O:1O:1O,,3O1S,,1L,1,0.03000300030003
1104,7,0,1,1,1,:::1O:1O:1O:2O,,,,1L,1,0.03000300030003
1105,7,0,1,1,1,:::1O:1O:2O:2O,,1O,,1L,1,0.03000300030003
1106,7,0,1,1,1,::::1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1107,7,0,1,1,1,::::1O:1O:2O,,2O2S,,1L,1,0.03000300030003
1108,7,0,1,1,1,:::::1O:2O,,2O1S,,1L,1,0.03000300030003
1109,7,0,1,1,2,1O:1O:1O:1O:1O:1O:1O,,1O,,1L:1L,1,0.03000300030003
1110,7,0,1,1,2,1O:1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1111,7,0,1,1,2,1O:1O:1O:1O:2O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1112,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,1N2O1S,,1L:1L,1,0.03000300030003
1113,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,2O2S,,1L:1L,1,0.03000300030003
1114,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1115,7,0,1,2,2,::1O:1O:1O:1O:1O,,3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1116,7,0,1,2,2,::1O:1O:1O:2O:2O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1117,7,1,0,2,2,:1O:1O:1O:1O:1O:2O,,,2S:3S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
1118,7,1,0,1,1,::::1O:1O:1O,1O,,,1L,1,0.03000300030003
1119,7,0,2,1,2,:::1O:1O:1O:1O,,:1O1S,,1L:1L,1,0.03000300030003
1120,7,0,2,2,2,::::1O:1O:2O,,1O:2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1121,7,0,3,1,2,1O:1O:1O:1O:1O:1O:2O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1122,7,1,0,1,1,:1O:1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1123,7,1,0,1,1,:::1O:1O:1O:1O,1O,,,1L,1,0.03000300030003
1124,7,1,0,1,1,:::1O:1O:1O:2O,,,,1L,1,0.03000300030003
1125,7,1,0,1,1,:::1O:1O:1O:2O,1O,,,1L,1,0.03000300030003
1126,7,1,0,1,1,::::1O:1O:2O,,,,1L,1,0.03000300030003
1127,7,0,1,2,2,::1O:1O:1O:2O:2O,,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1128,7,1,0,1,1,::::1O:2O:2O,,,,1L,1,0.03000300030003
1129,7,1,0,1,2,1O:1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1130,7,1,0,1,2,1O:1O:1O:1O:2O:2O:2O,,,,1L:1L,1,0.03000300030003
1131,7,1,0,1,2,:1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1132,7,1,0,1,2,:1O:1O:1O:1O:1O:2O,1O,,,1L:1L,1,0.03000300030003
1133,7,1,0,1,2,:1O:1O:1O:1O:2O:2O,1O,,,1L:1L,1,0.03000300030003
1134,7,1,0,1,2,::1O:1O:1O:2O:2O,1O,,,1L:1L,1,0.03000300030003
1135,7,0,2,1,2,:::1O:1O:1O:1O,,1O:2O1S,,1L:1L,1,0.03000300030003
1136,7,0,2,1,2,:::1O:1O:1O:1O,,1O:2O,,1L:1L,1,0.03000300030003
1137,7,0,2,1,2,:::1O:1O:1O:1O,,1N2O2S:1N3O2S,,1L:1L,1,0.03000300030003
1138,7,0,2,1,2,::1O:1O:1O:1O:2O,,:1O,,1L:1L,1,0.03000300030003
1139,7,0,2,1,1,:1O:1O:1O:1O:1O:2O,,1O:1O,,1L,1,0.03000300030003
1140,7,0,2,1,1,::1O:1O:1O:2O:2O,,1N3O2S:1O1S,,1L,1,0.03000300030003
1141,7,0,2,1,1,:::1O:1O:1O:2O,,1O:1O1S,,1L,1,0.03000300030003
1142,7,0,2,1,1,::::1O:1O:1O,,:1O,,1L,1,0.03000300030003
1143,7,0,2,1,1,:::::1O:2O,,:2O1S,,1L,1,0.03000300030003
1144,7,0,2,1,2,1O:1O:1O:1O:1O:1O:1O,,:1O,,1L:1L,1,0.03000300030003
1145,7,0,2,1,2,1O:1O:1O:1O:1O:1O:2O,,:1O1S,,1L:1L,1,0.03000300030003
1146,7,0,2,1,2,:1O:1O:1O:1O:1O:1O,,:1O1S,,1L:1L,1,0.03000300030003
1147,7,0,2,1,2,:1O:1O:1O:1O:1O:2O,,1O:3O1S,,1L:1L,1,0.03000300030003
1148,7,0,2,1,2,:1O:1O:1O:1O:1O:2O,,:1O,,1L:1L,1,0.03000300030003
1149,7,0,2,1,2,::1O:1O:1O:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
1150,7,0,2,1,2,::1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,1,0.03000300030003
