,num_dol,num_dms,num_tfsi,num_ps,num_li,atoms_dol,atoms_dms,atoms_tfsi,atoms_ps,atoms_li,count,%
1972,1,3,0,2,1,1O,:2O:2O1S,,3S:3S:3S:4S:4S:4S:5S:5S,1L,1,0.03000300030003
1973,1,3,1,1,1,,1O:1O1S:2O1S,,,1L,1,0.03000300030003
1974,1,3,1,1,1,,1O:1O1S:2O1S,1O,,1L,1,0.03000300030003
1975,1,3,1,1,1,,:1O:1S,2O,,1L,1,0.03000300030003
1976,1,3,1,1,1,1O,1O1S:1O1S:2O1S,,,1L,1,0.03000300030003
1977,1,3,1,1,1,1O,1O1S:2O1S:3O1S,1O,,1L,1,0.03000300030003
1978,1,3,1,1,1,1O,1O:1O1S:2O1S,1N3O1S,,1L,1,0.03000300030003
1979,1,3,1,1,1,1O,1O:2O1S:3O1S,2O1S,,1L,1,0.03000300030003
1980,1,3,1,1,1,1O,2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1981,1,3,1,2,2,1O,:1O:1O,2O,2S:3S:4S:4S:4S:4S:5S:6S,1L:1L,1,0.03000300030003
1982,1,3,1,2,2,1O,:1O:1O1S,2O1S,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1983,1,3,1,2,2,1O,:1O:2O1S,1N1O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1984,1,3,1,2,2,1O,:1O:2O1S,1O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1985,1,3,1,2,2,1O,:1O:2O1S,2O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1986,1,3,1,2,2,1O,:2O1S:2O1S,1N3O2S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1987,1,3,1,2,3,1O,1O:2O1S:2O1S,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1988,1,3,1,2,3,1O,1O:2O1S:3O1S,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1989,1,3,0,1,2,1O,1O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1990,1,2,1,2,2,1O,1O:2O1S,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1991,0,6,1,2,2,,:1O:1O:1O1S:2O1S:2O1S,1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1992,0,8,0,1,2,,:1O:1O:1O:2O1S:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1993,0,7,0,1,0,,::1O:1O:1O:1O1S:2O1S,,,,1,0.03000300030003
1994,0,7,0,1,1,,:::1O:1O:1O1S:2O1S,,,1L,1,0.03000300030003
1995,0,7,0,1,1,,:::1O:1O:1O:2O1S,,,1L,1,0.03000300030003
1996,0,7,0,1,2,,:1O:1O:1O1S:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1997,0,7,0,1,2,,:1O:1O:1O1S:2O1S:2O1S:3O1S,,,1L:1L,1,0.03000300030003
1998,0,7,0,1,2,,:1O:1O:1O:1O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1999,0,7,0,1,2,,:1O:1O:1O:1O1S:2O:2O1S,,,1L:1L,1,0.03000300030003
2000,0,7,0,1,2,,:1O:1O:1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
2001,0,7,0,1,2,,:1O:1O:1O:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2002,0,7,0,1,2,,::1O:1O:1O:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2003,0,7,1,1,1,,::1O:1O:1O:1O1S:2O1S,1O1S,,1L,1,0.03000300030003
2004,0,7,1,1,2,,1O:1O:1O:1O:1O1S:1O1S:1O1S,,,1L:1L,1,0.03000300030003
2005,0,7,1,1,2,,:1O:1O:1O1S:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2006,0,7,1,1,2,,:1O:1O:1O:1O1S:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
2007,0,7,1,1,2,,:1O:1O:1O:2O1S:2O1S:2O1S,1O,,1L:1L,1,0.03000300030003
2008,0,8,0,1,1,,:::1O:1O:1O:1O1S:2O1S,,,1L,1,0.03000300030003
2009,0,8,0,1,1,,::::1O:1O:1O:2O1S,,,1L,1,0.03000300030003
2010,1,4,1,3,3,,:1O:1O1S:2O1S,4O2S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
2011,1,4,1,3,3,,:1O:2O1S:3O1S,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
2012,1,6,1,1,1,,:::1O:1O1S:2O1S,1O,,1L,1,0.03000300030003
2013,1,6,0,1,1,,::1O1S:2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
2014,1,6,0,1,1,,1O:1O:1O:1O1S:1O1S:3O1S,,,1L,1,0.03000300030003
2015,1,6,0,1,1,,:1O:1O1S:1O1S:2O:2O1S,,,1L,1,0.03000300030003
