,num_dol,num_epe,num_tfsi,num_ps,num_li,atoms_dol,atoms_epe,atoms_tfsi,atoms_ps,atoms_li,count,%
1524,3,2,2,1,2,1O:1O:1O,:,1O:2O,,1L:1L,1,0.03000300030003
1525,3,2,2,1,2,:1O:2O,:1O,1O:1O,,1L:1L,1,0.03000300030003
1526,3,2,2,1,2,:1O:1O,:1O,2O1S:2O1S,,1L:1L,1,0.03000300030003
1527,3,2,2,1,2,:1O:1O,:,1O:2O1S,,1L:1L,1,0.03000300030003
1528,3,2,2,1,2,:1O:1O,1O:1O,1O:1O,,1L:1L,1,0.03000300030003
1529,3,2,2,1,2,1O:1O:2O,:1O,1O:2O1S,,1L:1L,1,0.03000300030003
1530,3,2,2,1,2,1O:1O:1O,:1O,:1O,,1L:1L,1,0.03000300030003
1531,3,2,2,1,2,1O:1O:1O,:1O,1O:2O,,1L:1L,1,0.03000300030003
1532,3,2,2,1,2,1O:1O:1O,:1O,1O:1O1S,,1L:1L,1,0.03000300030003
1533,3,2,2,1,2,1O:1O:1O,:,1O:1O,,1L:1L,1,0.03000300030003
1534,3,2,1,1,2,1O:1O:2O,:1O,1O,,1L:1L,1,0.03000300030003
1535,3,2,2,1,1,::,:1O,:1O,,1L,1,0.03000300030003
1536,3,2,2,1,1,:1O:1O,:,:,,1L,1,0.03000300030003
1537,3,2,1,2,2,:1O:1O,:1O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1538,3,2,1,2,2,:1O:1O,:1O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1539,3,2,1,2,2,1O:1O:1O,:1O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1540,3,2,1,2,2,1O:1O:1O,:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1541,3,2,1,1,2,:1O:1O,:1O,1N3O2S,,1L:1L,1,0.03000300030003
1542,3,2,1,1,2,1O:1O:2O,:1O,2O1S,,1L:1L,1,0.03000300030003
1543,3,1,3,1,2,:1O:1O,1O,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1544,3,1,3,1,2,:1O:1O,1O,1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
1545,3,1,3,1,2,:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1546,3,1,2,1,2,:1O:1O,,2O:2O,,1L:1L,1,0.03000300030003
1547,3,1,2,2,2,1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1548,3,1,2,2,2,1O:1O:1O,,1N2O2S:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1549,3,1,2,1,2,:1O:1O,1O,:1O,,1L:1L,1,0.03000300030003
1550,3,1,2,1,2,:1O:1O,1O,2O1S:2O1S,,1L:1L,1,0.03000300030003
1551,3,1,2,1,2,:1O:1O,1O,1O:3O,,1L:1L,1,0.03000300030003
1552,3,1,2,1,2,:1O:1O,1O,1O:1O,,1L:1L,1,0.03000300030003
1553,3,1,2,1,2,:1O:1O,1O,1N3O2S:1O,,1L:1L,1,0.03000300030003
1554,3,1,2,1,2,:1O:1O,1O,1N2O1S:1O,,1L:1L,1,0.03000300030003
1555,3,1,2,1,2,:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
1556,3,1,3,1,2,1O:1O:2O,,:1O:2O,,1L:1L,1,0.03000300030003
1557,3,1,2,1,2,:1O:1O,,1N1O:1O,,1L:1L,1,0.03000300030003
1558,3,1,2,1,2,1O:2O:2O,,1O:2O,,1L:1L,1,0.03000300030003
1559,3,1,2,1,2,1O:1O:1O,1O,:2O,,1L:1L,1,0.03000300030003
1560,3,1,2,1,2,1O:1O:1O,1O,2O:2O1S,,1L:1L,1,0.03000300030003
1561,3,1,2,1,2,1O:1O:1O,1O,2O:2O,,1L:1L,1,0.03000300030003
1562,3,1,2,1,2,1O:1O:1O,1O,1O:3O,,1L:1L,1,0.03000300030003
1563,3,1,2,1,2,1O:1O:1O,1O,1N3O2S:1O,,1L:1L,1,0.03000300030003
1564,3,1,2,1,2,1O:1O:1O,1O,1N2O2S:1O,,1L:1L,1,0.03000300030003
1565,3,1,2,2,2,1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1566,3,1,2,2,2,1O:1O:1O,,1O:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1567,3,1,2,2,2,1O:1O:1O,,1O:1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1568,3,1,2,2,2,1O:1O:1O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1569,3,1,3,1,2,1O:1O:1O,1O,::1O,,1L:1L,1,0.03000300030003
1570,3,1,3,1,2,1O:1O:1O,1O,:1O:2O1S,,1L:1L,1,0.03000300030003
1571,3,1,3,1,2,1O:1O:1O,1O,1O:1O:1O,,1L:1L,1,0.03000300030003
1572,3,1,3,1,2,1O:1O:1O,,1O:2O:2O,,1L:1L,1,0.03000300030003
1573,3,1,3,1,2,1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
1574,3,1,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1575,3,1,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1576,3,1,2,2,3,1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
