,num_dol,num_tmp,num_tfsi,num_ps,num_li,atoms_dol,atoms_tmp,atoms_tfsi,atoms_ps,atoms_li,count,%
1419,5,3,0,1,1,:::2O:2O,:2O:2O,,,1L,1,0.03000300030003
1420,5,3,0,1,1,:::1O:1O,::3O,,,1L,1,0.03000300030003
1421,5,3,0,1,1,:::1O:1O,:1O:1O,,,1L,1,0.03000300030003
1422,5,3,0,1,1,:::1O:1O,1O:1O:1O,,,1L,1,0.03000300030003
1423,5,3,0,1,1,::1O:2O:2O,:1O:2O,,,1L,1,0.03000300030003
1424,5,3,0,2,2,1O:1O:1O:1O:2O,1O:1O:3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1425,5,3,0,2,2,1O:1O:1O:1O:2O,1O:2O:3O,,1S:1S:2S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1426,5,3,0,2,2,:1O:1O:1O:1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1427,5,3,1,1,1,::1O:1O:1O,1O:1O:1O,,,1L,1,0.03000300030003
1428,5,3,1,1,1,::1O:1O:2O,:1O:2O,1O,,1L,1,0.03000300030003
1429,5,3,1,1,1,::1O:1O:2O,:1O:2O,,,1L,1,0.03000300030003
1430,5,3,1,1,1,::1O:1O:2O,:1O:1O,,,1L,1,0.03000300030003
1431,5,3,1,1,1,::1O:1O:2O,1O:1O:2O,,,1L,1,0.03000300030003
1432,5,3,1,1,1,::1O:1O:1O,::2O,,,1L,1,0.03000300030003
1433,5,3,1,1,1,::1O:1O:1O,::1O,1O,,1L,1,0.03000300030003
1434,5,3,1,1,1,::1O:1O:1O,:1O:3O,2O1S,,1L,1,0.03000300030003
1435,5,3,1,1,1,::1O:1O:1O,:1O:2O,1O,,1L,1,0.03000300030003
1436,5,3,1,1,1,::1O:1O:1O,:1O:2O,1N2O2S,,1L,1,0.03000300030003
1437,5,3,1,1,1,::1O:1O:1O,:1O:1O,2O1S,,1L,1,0.03000300030003
1438,5,3,1,1,1,::1O:1O:1O,:1O:1O,1N,,1L,1,0.03000300030003
1439,5,3,1,1,1,::1O:1O:1O,1O:1O:2O,1O,,1L,1,0.03000300030003
1440,5,3,1,1,1,::1O:1O:1O,1O:1O:2O,,,1L,1,0.03000300030003
1441,5,3,1,1,1,::1O:1O:1O,1O:1O:1O,1O,,1L,1,0.03000300030003
1442,5,3,1,1,1,:1O:1O:1O:2O,:2O:2O,1O,,1L,1,0.03000300030003
1443,5,3,0,2,2,:1O:1O:1O:1O,1O:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1444,5,3,1,1,1,:1O:1O:1O:2O,:1O:2O,1O,,1L,1,0.03000300030003
1445,5,3,1,1,1,:1O:1O:1O:2O,:1O:2O,,,1L,1,0.03000300030003
1446,5,3,1,1,1,:1O:1O:1O:1O,:1O:3O,,,1L,1,0.03000300030003
1447,5,3,1,1,1,:1O:1O:1O:1O,:1O:2O,2O,,1L,1,0.03000300030003
1448,5,3,1,1,1,:1O:1O:1O:1O,:1O:2O,,,1L,1,0.03000300030003
1449,5,3,1,1,1,:1O:1O:1O:1O,:1O:1O,,,1L,1,0.03000300030003
1450,5,3,1,1,1,:1O:1O:1O:1O,1O:1O:2O,,,1L,1,0.03000300030003
1451,5,3,1,1,1,:1O:1O:1O:1O,1O:1O:1O,,,1L,1,0.03000300030003
1452,5,3,0,3,1,::::1O,::1O,,1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1453,5,3,0,2,2,:1O:1O:1O:2O,1O:2O:3O,,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1454,5,3,0,2,2,:1O:1O:1O:2O,1O:2O:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1455,5,3,0,2,2,:1O:1O:1O:2O,1O:1O:3O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1456,5,3,0,2,2,:1O:1O:1O:2O,1O:1O:1O,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1457,5,3,0,2,2,:1O:1O:1O:1O,1O:2O:3O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1458,5,4,0,1,1,:1O:1O:1O:1O,:1O:1O:2O,,,1L,1,0.03000300030003
1459,5,4,0,1,1,:1O:1O:1O:1O,:1O:2O:3O,,,1L,1,0.03000300030003
1460,5,3,0,1,1,::1O:1O:2O,:1O:3O,,,1L,1,0.03000300030003
1461,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:1O,1N3O2S,,1L:1L,1,0.03000300030003
1462,5,4,1,1,2,1O:1O:1O:1O:2O,1O:2O:2O:2O,1O,,1L:1L,1,0.03000300030003
1463,5,4,1,1,2,1O:1O:1O:2O:2O,1O:1O:1O:2O,1O,,1L:1L,1,0.03000300030003
1464,5,4,1,1,2,1O:1O:1O:2O:2O,1O:1O:2O:2O,1O1S,,1L:1L,1,0.03000300030003
1465,5,4,1,1,2,1O:1O:1O:2O:2O,1O:1O:2O:3O,1O,,1L:1L,1,0.03000300030003
1466,5,4,1,1,2,1O:1O:1O:2O:2O,1O:1O:2O:3O,2O1S,,1L:1L,1,0.03000300030003
1467,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:1O,1N3O1S,,1L:1L,1,0.03000300030003
1468,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:1O,1O,,1L:1L,1,0.03000300030003
1469,5,4,1,1,1,:::1O:1O,:::2O,1O1S,,1L,1,0.03000300030003
1470,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:1O,1O1S,,1L:1L,1,0.03000300030003
1471,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:1O,3O1S,,1L:1L,1,0.03000300030003
1472,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:2O,,,1L:1L,1,0.03000300030003
1473,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:2O,1N2O1S,,1L:1L,1,0.03000300030003
1474,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:2O,1N3O1S,,1L:1L,1,0.03000300030003
1475,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:2O,1N3O2S,,1L:1L,1,0.03000300030003
1476,5,4,1,1,2,1O:1O:1O:1O:2O,1O:2O:2O:2O,,,1L:1L,1,0.03000300030003
1477,5,4,1,1,2,1O:1O:1O:1O:2O,1O:1O:3O:3O,1O,,1L:1L,1,0.03000300030003
1478,5,4,1,1,2,1O:1O:1O:1O:2O,1O:1O:2O:2O,2O1S,,1L:1L,1,0.03000300030003
1479,5,4,1,1,2,1O:1O:1O:1O:2O,1O:1O:1O:3O,,,1L:1L,1,0.03000300030003
1480,5,4,1,1,2,1O:1O:1O:1O:2O,1O:1O:1O:2O,2O1S,,1L:1L,1,0.03000300030003
1481,5,4,1,1,2,1O:1O:1O:1O:2O,1O:1O:1O:2O,,,1L:1L,1,0.03000300030003
1482,5,4,1,1,2,1O:1O:1O:1O:2O,1O:1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
1483,5,4,1,1,2,1O:1O:1O:1O:2O,1O:1O:1O:1O,1O1S,,1L:1L,1,0.03000300030003
1484,5,4,1,1,2,1O:1O:1O:1O:1O,1O:1O:2O:3O,1O,,1L:1L,1,0.03000300030003
1485,5,4,1,1,2,1O:1O:1O:1O:1O,1O:1O:2O:2O,2O,,1L:1L,1,0.03000300030003
1486,5,4,1,1,2,1O:1O:1O:1O:1O,1O:1O:2O:2O,1O,,1L:1L,1,0.03000300030003
1487,5,4,1,1,2,1O:1O:1O:1O:1O,1O:1O:2O:2O,1N1O,,1L:1L,1,0.03000300030003
1488,5,4,1,1,2,1O:1O:1O:1O:1O,1O:1O:2O:2O,,,1L:1L,1,0.03000300030003
1489,5,4,1,1,2,1O:1O:1O:1O:1O,1O:1O:1O:1O,1O,,1L:1L,1,0.03000300030003
1490,5,4,1,1,2,1O:1O:1O:1O:1O,1O:1O:1O:1O,,,1L:1L,1,0.03000300030003
1491,5,4,1,1,1,::::1O,:::1O,1O1S,,1L,1,0.03000300030003
1492,5,4,1,1,1,:::1O:2O,::2O:2O,1O,,1L,1,0.03000300030003
1493,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:2O,1O,,1L:1L,1,0.03000300030003
1494,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:2O,2O1S,,1L:1L,1,0.03000300030003
1495,5,4,1,1,2,:1O:1O:1O:1O,1O:1O:1O:3O,1N2O2S,,1L:1L,1,0.03000300030003
1496,5,4,1,1,2,:1O:1O:1O:2O,:1O:1O:3O,,,1L:1L,1,0.03000300030003
1497,5,4,2,1,1,::1O:1O:1O,:1O:1O:1O,:1O,,1L,1,0.03000300030003
1498,5,4,1,2,2,::1O:1O:1O,::1O:1O,1N1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1499,5,4,1,2,2,:1O:1O:1O:2O,:2O:2O:2O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1500,5,4,1,2,2,:1O:1O:1O:2O,:1O:2O:2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1501,5,4,1,2,2,:1O:1O:1O:2O,:1O:1O:2O,1O,3S:3S:3S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1502,5,4,1,2,1,:::1O:1O,:::2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1503,5,4,1,2,1,::1O:1O:1O,:1O:2O:2O,,1S:1S:1S:1S:2S:3S:3S:3S,1L,1,0.03000300030003
1504,5,4,1,1,2,::1O:1O:2O,:1O:1O:2O,,,1L:1L,1,0.03000300030003
1505,5,4,1,1,2,::1O:1O:1O,::1O:1O,1O,,1L:1L,1,0.03000300030003
1506,5,4,1,1,2,::1O:1O:1O,:1O:1O:2O,2O2S,,1L:1L,1,0.03000300030003
1507,5,4,1,1,2,::1O:1O:1O,:1O:1O:1O,1N3O2S,,1L:1L,1,0.03000300030003
1508,5,4,1,1,2,::1O:1O:1O,1O:1O:1O:2O,3O2S,,1L:1L,1,0.03000300030003
1509,5,4,1,1,2,:1O:1O:2O:2O,:1O:3O:3O,1O,,1L:1L,1,0.03000300030003
1510,5,4,1,1,2,:1O:1O:2O:2O,1O:1O:2O:2O,1N2O2S,,1L:1L,1,0.03000300030003
1511,5,4,1,1,2,:1O:1O:1O:2O,:1O:1O:2O,1N3O1S,,1L:1L,1,0.03000300030003
1512,5,4,1,1,2,:1O:1O:1O:1O,:1O:1O:1O,2O,,1L:1L,1,0.03000300030003
1513,5,4,1,1,2,:1O:1O:1O:2O,:1O:1O:2O,,,1L:1L,1,0.03000300030003
1514,5,4,1,1,2,:1O:1O:1O:2O,1O:1O:3O:3O,,,1L:1L,1,0.03000300030003
1515,5,4,1,1,2,:1O:1O:1O:2O,1O:1O:2O:3O,1O,,1L:1L,1,0.03000300030003
1516,5,4,1,1,2,:1O:1O:1O:2O,1O:1O:2O:2O,1N3O2S,,1L:1L,1,0.03000300030003
1517,5,4,1,1,2,:1O:1O:1O:2O,1O:1O:2O:2O,1N2O2S,,1L:1L,1,0.03000300030003
1518,5,4,1,1,2,:1O:1O:1O:2O,1O:1O:1O:3O,1O1S,,1L:1L,1,0.03000300030003
1519,5,4,1,1,2,:1O:1O:1O:2O,1O:1O:1O:3O,1O,,1L:1L,1,0.03000300030003
1520,5,4,1,1,2,:1O:1O:1O:2O,1O:1O:1O:2O,2O2S,,1L:1L,1,0.03000300030003
1521,5,4,1,1,2,:1O:1O:1O:2O,1O:1O:1O:2O,1N1O1S,,1L:1L,1,0.03000300030003
1522,5,4,1,1,2,:1O:1O:1O:1O,:1O:2O:2O,1O,,1L:1L,1,0.03000300030003
1523,5,4,1,1,2,:1O:1O:1O:1O,:1O:1O:3O,,,1L:1L,1,0.03000300030003
1524,5,4,1,1,2,:1O:1O:1O:1O,:1O:1O:2O,1O,,1L:1L,1,0.03000300030003
1525,5,4,1,1,2,:1O:1O:1O:1O,:1O:1O:2O,1N3O2S,,1L:1L,1,0.03000300030003
1526,5,4,1,1,2,:1O:1O:1O:1O,:1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
1527,5,4,1,1,1,:::1O:2O,:1O:1O:2O,1N3O1S,,1L,1,0.03000300030003
1528,5,4,1,1,1,:::1O:1O,::1O:2O,,,1L,1,0.03000300030003
1529,5,4,0,1,1,:1O:1O:1O:2O,:1O:1O:1O,,,1L,1,0.03000300030003
1530,5,4,0,1,2,:1O:1O:1O:1O,:1O:1O:3O,,,1L:1L,1,0.03000300030003
1531,5,4,0,1,2,1O:1O:1O:2O:2O,1O:1O:2O:2O,,,1L:1L,1,0.03000300030003
1532,5,4,0,1,2,1O:1O:1O:2O:2O,1O:1O:2O:3O,,,1L:1L,1,0.03000300030003
1533,5,4,0,1,2,1O:1O:1O:2O:2O,1O:2O:2O:2O,,,1L:1L,1,0.03000300030003
1534,5,4,0,1,2,:1O:1O:1O:1O,1O:1O:1O:1O,,,1L:1L,1,0.03000300030003
1535,5,4,0,1,2,:1O:1O:1O:1O,1O:1O:1O:2O,,,1L:1L,1,0.03000300030003
1536,5,4,0,1,2,:1O:1O:1O:1O,:1O:1O:1O,,,1L:1L,1,0.03000300030003
1537,5,4,0,1,2,:1O:1O:1O:2O,:1O:2O:2O,,,1L:1L,1,0.03000300030003
1538,5,4,1,1,1,:::1O:1O,::1O:1O,3O2S,,1L,1,0.03000300030003
1539,5,4,0,1,2,:1O:1O:1O:2O,:1O:2O:3O,,,1L:1L,1,0.03000300030003
1540,5,4,0,1,2,:1O:1O:2O:2O,1O:1O:3O:3O,,,1L:1L,1,0.03000300030003
1541,5,4,0,1,2,:1O:1O:2O:2O,:2O:2O:2O,,,1L:1L,1,0.03000300030003
1542,5,4,0,1,2,::2O:2O:2O,:2O:2O:3O,,,1L:1L,1,0.03000300030003
1543,5,4,0,2,1,::1O:1O:1O,:1O:2O:2O,,1S:1S:1S:1S:2S:2S:3S:3S,1L,1,0.03000300030003
1544,5,4,0,2,1,::1O:1O:1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1545,5,4,0,1,2,1O:1O:1O:1O:2O,1O:1O:2O:2O,,,1L:1L,1,0.03000300030003
1546,5,4,0,1,2,1O:1O:1O:1O:1O,1O:1O:2O:3O,,,1L:1L,1,0.03000300030003
1547,5,4,0,1,1,:::2O:2O,:1O:2O:3O,,,1L,1,0.03000300030003
1548,5,4,0,1,1,:::1O:1O,::1O:2O,,,1L,1,0.03000300030003
1549,5,4,0,1,1,:::1O:1O,:1O:2O:2O,,,1L,1,0.03000300030003
1550,5,4,0,1,1,:::1O:1O,:1O:1O:2O,,,1L,1,0.03000300030003
1551,5,4,0,1,1,:::1O:1O,1O:1O:1O:1O,,,1L,1,0.03000300030003
1552,5,4,0,1,1,::1O:2O:2O,:1O:2O:3O,,,1L,1,0.03000300030003
1553,5,4,0,1,1,::1O:1O:2O,:1O:1O:3O,,,1L,1,0.03000300030003
1554,5,4,0,1,1,::1O:1O:1O,::1O:3O,,,1L,1,0.03000300030003
1555,5,4,0,1,1,::1O:1O:1O,::1O:1O,,,1L,1,0.03000300030003
1556,5,4,0,1,1,::1O:1O:1O,:1O:1O:2O,,,1L,1,0.03000300030003
1557,5,4,0,1,1,::1O:1O:1O,:1O:1O:1O,,,1L,1,0.03000300030003
1558,5,4,0,1,1,::1O:1O:1O,1O:1O:1O:1O,,,1L,1,0.03000300030003
1559,5,4,0,1,1,:1O:2O:2O:2O,:2O:2O:2O,,,1L,1,0.03000300030003
1560,5,4,0,1,1,:1O:1O:2O:2O,:2O:2O:2O,,,1L,1,0.03000300030003
1561,5,4,0,1,1,:1O:1O:1O:2O,:1O:1O:3O,,,1L,1,0.03000300030003
1562,5,4,0,2,1,::1O:1O:1O,::1O:1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1563,5,4,0,2,1,::1O:1O:2O,:1O:1O:2O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1564,5,4,0,2,1,:::1O:1O,:::1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1565,5,4,0,2,2,:1O:1O:1O:2O,:1O:2O:3O,,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1566,5,4,1,1,1,:::1O:1O,::1O:1O,2O,,1L,1,0.03000300030003
1567,5,4,1,1,1,:::1O:1O,::1O:1O,1O,,1L,1,0.03000300030003
1568,5,4,1,1,1,:::1O:1O,::1O:1O,,,1L,1,0.03000300030003
1569,5,4,1,1,1,:::1O:1O,1O:1O:1O:2O,1O1S,,1L,1,0.03000300030003
1570,5,4,1,1,1,::1O:1O:2O,::1O:2O,1O1S,,1L,1,0.03000300030003
1571,5,4,1,1,1,::1O:1O:2O,:1O:1O:3O,1O,,1L,1,0.03000300030003
1572,5,4,1,1,1,::1O:1O:1O,::1O:3O,2O,,1L,1,0.03000300030003
1573,5,4,1,1,1,::1O:1O:1O,::1O:1O,2O,,1L,1,0.03000300030003
