,num_dol,num_pegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_pegdme,atoms_tfsi,atoms_ps,atoms_li,count,%
1271,1,4,0,1,0,1O,::1O:1O,,,,1,0.03000300030003
1272,1,3,1,1,2,1O,1O:2O:2O,1O,,1L:1L,1,0.03000300030003
1273,1,3,1,1,2,,1O:2O:2O,1N1O1S,,1L:1L,1,0.03000300030003
1274,1,3,0,2,1,,:1O:2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1275,1,3,0,2,1,1O,:1O:2O,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1276,1,3,0,2,2,,1O:1O:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1277,1,3,0,2,2,,1O:1O:2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1278,1,3,0,2,2,,1O:1O:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1279,1,3,0,2,2,,1O:1O:1O,,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1280,1,3,0,2,2,,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1281,1,3,0,2,1,1O,::1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1282,1,3,0,2,1,1O,::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1283,1,3,0,2,1,1O,::1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1284,1,3,0,2,1,1O,:1O:1O,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1285,1,3,1,1,2,,1O:1O:2O,,,1L:1L,1,0.03000300030003
1286,1,3,0,2,1,1O,:1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1287,1,3,0,2,1,1O,:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1288,1,3,0,2,1,1O,:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1289,1,3,0,2,1,1O,1O:1O:2O,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1290,1,3,0,2,1,,::1O,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1291,1,3,0,2,1,,::1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1292,1,3,0,2,1,,::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1293,1,3,0,2,1,,:1O:2O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1294,1,3,0,2,2,,1O:1O:2O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1295,1,3,0,2,2,,1O:1O:2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1296,1,3,0,2,2,,1O:1O:2O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1297,1,3,0,2,2,,1O:1O:2O,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1298,1,3,1,1,1,1O,::1O,2O,,1L,1,0.03000300030003
1299,1,3,1,1,1,1O,:1O:2O,1O,,1L,1,0.03000300030003
