,num_dol,num_mtbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_mtbe,atoms_tfsi,atoms_ps,atoms_li,count,%
1660,3,1,2,2,3,:1O:1O,,1N3O2S:1O1S,::1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1661,3,1,2,2,3,:1O:1O,1O,1N4O2S:2O,2S:2S:3S:4S:4S:5S:5S:5S,1L:1L:1L,1,0.03000300030003
1662,3,1,2,3,2,1O:1O:2O,1O,:1O1S,::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1663,3,1,2,1,2,1O:2O:2O,1O,1N3O2S:1O,,1L:1L,1,0.03000300030003
1664,3,1,2,3,3,:1O:1O,1O,:1N3O2S,::::1S:1S:1S:1S:1S:1S:1S:2S:2S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1665,3,1,3,1,2,1O:1O:1O,,1N1O1S:1O1S:2O1S,,1L:1L,1,0.03000300030003
1666,3,1,3,1,2,1O:1O:1O,,1N1O1S:2O1S:2O1S,,1L:1L,1,0.03000300030003
1667,3,1,3,1,2,1O:1O:1O,,1N2O2S:1N3O2S:2O1S,,1L:1L,1,0.03000300030003
1668,3,1,3,1,2,1O:1O:1O,,1N3O2S:2O1S:2O1S,,1L:1L,1,0.03000300030003
1669,3,1,3,1,2,1O:1O:1O,,1O1S:2O1S:3O2S,,1L:1L,1,0.03000300030003
1670,3,1,3,1,2,1O:1O:1O,,1O:1O:2O2S,,1L:1L,1,0.03000300030003
1671,3,1,3,1,2,1O:1O:1O,,1O:1O:3O2S,,1L:1L,1,0.03000300030003
1672,3,1,3,1,2,1O:1O:1O,,:1N2O2S:2O,,1L:1L,1,0.03000300030003
1673,3,1,2,2,2,:1O:1O,1O,:1N4O2S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1674,3,1,2,2,2,:1O:1O,1O,:1N3O2S,2S:2S:3S:4S:4S:5S:5S:5S,1L:1L,1,0.03000300030003
1675,3,1,2,2,2,:1O:1O,1O,1N3O2S:2O1S,::1S:1S:2S:3S:4S:5S,1L:1L,1,0.03000300030003
1676,3,1,2,2,2,1O:1O:2O,1O,:3O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1677,3,1,2,1,2,1O:2O:2O,1O,1O:1O1S,,1L:1L,1,0.03000300030003
1678,3,1,2,1,2,1O:2O:2O,1O,1O:2O,,1L:1L,1,0.03000300030003
1679,3,1,2,1,2,1O:2O:2O,1O,1O:2O1S,,1L:1L,1,0.03000300030003
1680,3,1,2,1,2,:1O:1O,1O,1N1O1S:1O,,1L:1L,1,0.03000300030003
1681,3,1,2,1,2,:1O:1O,1O,1N4O2S:2O1S,,1L:1L,1,0.03000300030003
1682,3,1,2,1,2,:1O:1O,1O,1O1S:2O1S,,1L:1L,1,0.03000300030003
1683,3,1,2,1,2,:1O:1O,1O,1O1S:3O2S,,1L:1L,1,0.03000300030003
1684,3,1,2,1,2,:1O:1O,1O,:1O1S,,1L:1L,1,0.03000300030003
1685,3,1,2,1,2,:1O:1O,1O,:2O1S,,1L:1L,1,0.03000300030003
1686,3,1,2,1,2,:1O:2O,1O,1N2O2S:2O1S,,1L:1L,1,0.03000300030003
1687,3,1,2,1,2,:1O:2O,1O,1N3O2S:3O2S,,1L:1L,1,0.03000300030003
1688,3,1,2,1,2,:1O:2O,1O,1O:1O1S,,1L:1L,1,0.03000300030003
1689,3,1,2,1,2,:2O:2O,1O,1N4O2S:1O,,1L:1L,1,0.03000300030003
1690,3,1,2,1,2,::1O,1O,1O1S:1O1S,,1L:1L,1,0.03000300030003
1691,3,1,2,2,2,1O:1O:1O,,1O1S:2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1692,3,1,2,2,2,1O:1O:1O,,1O:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1693,3,1,2,2,2,1O:1O:1O,,1O:2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1694,3,1,2,2,2,1O:1O:1O,1O,:1O1S,3S:3S:3S:4S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
1695,3,1,2,2,2,1O:1O:2O,1O,1O1S:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1696,3,1,1,3,3,1O:1O:2O,1O,2O1S,::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1697,3,1,1,3,3,1O:1O:1O,1O,3O1S,::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1698,3,1,1,3,3,1O:1O:1O,1O,2O1S,:::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
1699,3,0,3,2,2,1O:1O:1O,,1O1S:1O1S:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1700,3,0,2,2,3,1O:1O:1O,,1N3O2S:1O1S,::1S:1S:2S:3S:4S:4S,1L:1L:1L,1,0.03000300030003
1701,3,0,3,1,2,1O:1O:1O,,1N1O1S:1O1S:2O,,1L:1L,1,0.03000300030003
1702,3,0,3,1,2,1O:1O:1O,,1N2O2S:1O:2O2S,,1L:1L,1,0.03000300030003
1703,3,0,3,1,2,1O:1O:1O,,:1N2O2S:2O1S,,1L:1L,1,0.03000300030003
1704,3,0,3,1,2,1O:1O:2O,,1N1O1S:1O1S:2O1S,,1L:1L,1,0.03000300030003
1705,3,0,3,1,2,1O:1O:2O,,1N1O1S:1O:1O1S,,1L:1L,1,0.03000300030003
1706,3,0,3,1,2,1O:1O:2O,,1N1O2S:1O1S:2O1S,,1L:1L,1,0.03000300030003
1707,3,0,3,1,2,1O:2O:2O,,:1N4O2S:1O,,1L:1L,1,0.03000300030003
1708,3,0,3,1,2,:1O:1O,,1N3O2S:2O:2O1S,,1L:1L,1,0.03000300030003
1709,3,0,3,2,2,1O:1O:1O,,:1N1O1S:1O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1710,3,1,0,2,2,1O:2O:2O,1O,,3S:3S:3S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1711,3,0,3,2,2,1O:1O:1O,,:1O1S:1O1S,2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1712,3,0,3,2,2,1O:1O:2O,,1N2O1S:1O:2O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1713,3,0,3,2,2,:1O:1O,,:1O1S:2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1714,3,0,3,2,2,:1O:2O,,:1N3O2S:1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1715,3,0,3,2,3,1O:1O:1O,,1N3O2S:1O:1O,:::1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1716,3,0,3,2,3,1O:1O:2O,,1N1O1S:1O:2O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1717,3,0,3,2,3,:1O:1O,,1N2O2S:1N3O1S:1O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1718,3,1,0,2,2,1O:1O:1O,1O,,3S:4S:4S:4S:5S:5S:6S:6S,1L:1L,1,0.03000300030003
1719,3,1,0,2,2,1O:1O:2O,1O,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1720,3,0,2,2,2,:1O:2O,,1N4O2S:3O2S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1721,3,0,2,2,2,:1O:2O,,1N1O1S:2O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1722,3,0,2,2,2,1O:1O:2O,,:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1723,3,0,2,2,2,1O:1O:2O,,1N1O1S:1N4O2S,::1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1724,2,4,1,2,3,1O:1O,:::,2O1S,4S:5S:6S:7S:7S:7S:7S:8S,1L:1L:1L,1,0.03000300030003
1725,2,4,2,1,2,1O:1O,::1O:1O,1N1O1S:1O1S,,1L:1L,1,0.03000300030003
1726,2,4,2,1,2,1O:1O,::1O:1O,1N1O1S:2O1S,,1L:1L,1,0.03000300030003
1727,2,4,2,1,2,1O:1O,:::1O,1O:2O1S,,1L:1L,1,0.03000300030003
1728,2,4,2,1,2,:2O,::1O:1O,1N1O1S:1O,,1L:1L,1,0.03000300030003
1729,2,5,0,1,1,:1O,::::1O,,,1L,1,0.03000300030003
1730,2,5,0,1,2,1O:1O,:::1O:1O,,,1L:1L,1,0.03000300030003
1731,2,5,0,2,2,:2O,::1O:1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1732,2,5,1,1,1,1O:2O,:::1O:1O,,,1L,1,0.03000300030003
1733,2,5,2,1,2,1O:1O,:::1O:1O,1O1S:2O1S,,1L:1L,1,0.03000300030003
1734,2,5,2,1,2,1O:2O,:::1O:1O,1O:2O2S,,1L:1L,1,0.03000300030003
