,num_dmt,num_tfsi,num_dol,num_ps,num_li,atoms_dmt,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%
366,5,0,0,2,2,1O:1O:1O:1O1S:1O1S,,,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
367,5,0,2,1,1,:1O:1O:1O:1O,,:,,1L,2,0.06000600060006
368,2,1,3,1,1,1O:1O1S,1O,::,,1L,2,0.06000600060006
369,3,1,3,1,1,:1O:1O1S,1O,::,,1L,2,0.06000600060006
370,3,0,5,1,1,1N:1O:1O,,::::1O,,1L,2,0.06000600060006
371,4,0,2,1,1,::1O1S:2O1S,,1O:1O,,1L,2,0.06000600060006
372,3,0,3,1,1,:1N1O:1O,,:1O:1O,,1L,2,0.06000600060006
373,5,2,0,1,1,::1O:1O:1O1S,:1O,,,1L,2,0.06000600060006
374,4,0,2,1,1,1N1O1S:1O:1O:1O,,:,,1L,2,0.06000600060006
375,3,0,5,1,1,1O:1O:2O1S,,::::1O,,1L,2,0.06000600060006
376,4,0,2,1,1,1N1O1S:1O:1O:2O1S,,:1O,,1L,2,0.06000600060006
377,5,0,0,2,2,1O:1O:1O:1O:1O1S,,,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
378,5,0,2,1,1,:1O:1O:1O:2O1S,,:1O,,1L,2,0.06000600060006
379,3,1,4,1,1,:1O:1O,1O,:::1O,,1L,2,0.06000600060006
380,4,0,3,2,1,::1O:1O1S,,::1O,::1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
381,4,0,2,1,1,:1O:1O:2O1S,,:,,1L,2,0.06000600060006
382,5,2,0,1,2,1O:1O:1O:1O:1O1S,:2O1S,,,1L:1L,2,0.06000600060006
383,2,0,5,1,1,1O:1O1S,,::::,,1L,2,0.06000600060006
384,2,1,4,2,2,1O:1O,,:1O:1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
385,2,0,5,1,1,1O:2O1S,,:::1O:1O,,1L,2,0.06000600060006
386,3,0,5,1,1,:1O:1O1S,,::::1O,,1L,2,0.06000600060006
387,4,0,2,1,1,:1N2O1S:1O:1O,,:1O,,1L,2,0.06000600060006
388,4,0,3,1,2,1N2O1S:1O:1O:1O,,::1O,,1L:1L,2,0.06000600060006
389,2,1,1,3,2,1O:1O,1O1S,1O,::::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
390,2,1,1,3,2,1O:1O,1O,1O,::::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
391,4,0,2,1,1,:1O:1O1S:2O1S,,:1O,,1L,2,0.06000600060006
392,6,0,0,1,1,::1O:1O:1O:1O1S,,,,1L,2,0.06000600060006
393,3,1,3,1,1,:1O:1O,,::1O,,1L,2,0.06000600060006
394,6,0,0,1,1,:::1O:1O1S:1O1S,,,,1L,2,0.06000600060006
395,3,0,5,1,1,:1O:2O1S,,::::1O,,1L,2,0.06000600060006
396,3,0,5,1,1,::1O,,::1O:1O:1O,,1L,2,0.06000600060006
397,2,0,6,1,1,1O:1O,,:::::1O,,1L,2,0.06000600060006
398,4,0,2,1,1,:1O:1O1S:1O1S,,:,,1L,2,0.06000600060006
399,4,0,2,1,1,:1O:1O1S:1O1S,,:1O,,1L,2,0.06000600060006
400,3,1,3,1,1,:1O:1O,,:1O:1O,,1L,2,0.06000600060006
401,2,0,6,1,1,1O:1O,,::::1O:1O,,1L,2,0.06000600060006
402,4,0,3,1,2,1O:1O:1O1S:2O1S,,::,,1L:1L,2,0.06000600060006
403,6,0,0,1,2,1O:1O:1O:1O:1O:2O1S,,,,1L:1L,2,0.06000600060006
404,2,0,5,1,1,:1O,,::1O:1O:1O,,1L,2,0.06000600060006
405,5,0,0,1,2,:1O:1O:1O1S:2O1S,,,,1L:1L,2,0.06000600060006
406,2,1,2,2,2,1O:1O,,1O:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
407,4,0,3,1,2,1O:1O:1O:2O1S,,:1O:2O,,1L:1L,2,0.06000600060006
408,2,0,5,1,1,1O:2O1S,,::::1O,,1L,2,0.06000600060006
409,2,1,2,2,2,1N1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
410,6,0,0,1,2,::1O:1O:2O1S:2O1S,,,,1L:1L,2,0.06000600060006
411,2,1,2,2,2,1N1O1S:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
412,4,0,2,1,1,:1N1O:1N1O:1O,,:,,1L,2,0.06000600060006
413,4,0,2,1,1,:1N1O1S:1O:1O,,:2O,,1L,2,0.06000600060006
414,4,0,3,1,2,1O:1O:1O:1O1S,,:1O:1O,,1L:1L,2,0.06000600060006
415,2,0,5,1,2,1O:2O1S,,:::1O:1O,,1L:1L,2,0.06000600060006
416,6,0,0,1,2,:1O:1O:1O:2O1S:2O1S,,,,1L:1L,2,0.06000600060006
417,2,1,2,1,1,1O:1O1S,1O,:1O,,1L,2,0.06000600060006
418,2,1,2,1,1,1O:1O,1O,:1O,,1L,2,0.06000600060006
419,5,2,0,1,1,:1N:1O:1O:1O1S,:1O,,,1L,2,0.06000600060006
420,2,1,3,1,1,1O:1O1S,2O1S,::1O,,1L,2,0.06000600060006
421,3,0,3,1,1,1O:1O:2O1S,,::,,1L,2,0.06000600060006
422,4,0,1,2,2,:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
423,5,1,1,1,1,::1O:1O:1O1S,1O,,,1L,2,0.06000600060006
424,5,1,1,1,1,::1O:1O:2O1S,,,,1L,2,0.06000600060006
425,5,0,1,1,1,:1O:1O:1O:1O,,,,1L,2,0.06000600060006
426,4,0,3,1,1,::1N1O:1O,,::1O,,1L,2,0.06000600060006
427,2,1,4,1,1,1O:1O,2O1S,:::1O,,1L,2,0.06000600060006
428,4,0,2,1,2,1N1O1S:1O:2O1S:2O1S,,:1O,,1L:1L,2,0.06000600060006
429,2,0,4,1,1,1N1O:1O,,::1O:1O,,1L,2,0.06000600060006
430,2,1,4,1,1,1O:1O,1O,:::1O,,1L,2,0.06000600060006
431,2,1,4,1,1,1O:1O,1O,:::,,1L,2,0.06000600060006
432,2,1,4,1,1,1O:1O,1O,::1O:1O,,1L,2,0.06000600060006
433,6,0,1,1,2,1O:1O:1O:1O:1O:1O1S,,,,1L:1L,2,0.06000600060006
434,2,0,4,1,1,1N2O1S:1O,,::1O:1O,,1L,2,0.06000600060006
435,2,0,4,1,1,1O1S:1O1S,,::1O:1O,,1L,2,0.06000600060006
436,5,1,1,1,1,:::1O:1O1S,1O,,,1L,2,0.06000600060006
437,4,0,4,1,1,::1O:1O1S,,::1O:1O,,1L,2,0.06000600060006
438,2,1,4,1,1,1O:1O1S,1O1S,:::,,1L,2,0.06000600060006
439,5,1,1,1,1,::1O:1O:1O1S,,,,1L,2,0.06000600060006
440,4,0,1,1,2,1N1O:1N2O1S:1O:2O1S,,,,1L:1L,2,0.06000600060006
441,5,0,1,1,1,:1O:1O:1O:1O1S,,1O,,1L,2,0.06000600060006
442,4,0,1,1,1,:1O:1O:1O,,1O,,1L,2,0.06000600060006
443,3,0,3,1,2,1N2O1S:1O:2O1S,,::1O,,1L:1L,2,0.06000600060006
444,4,0,5,1,1,:1O:1O:1O,,::::1O,,1L,2,0.06000600060006
445,3,1,1,1,1,:1N1O1S:1O,1O,,,1L,2,0.06000600060006
446,4,1,2,1,1,:1O:1O:1O,,:1O,,1L,2,0.06000600060006
447,2,0,6,1,1,:1O,,:::1O:1O:1O,,1L,2,0.06000600060006
448,4,0,5,1,1,:1O:1O:1O,,:::1O:1O,,1L,2,0.06000600060006
449,5,1,1,1,1,::1O:1O:1O,1O,1O,,1L,2,0.06000600060006
450,2,1,4,1,1,:1O,1O,::1O:1O,,1L,2,0.06000600060006
451,5,0,0,1,1,:1N1O1S:1O:1O:1O1S,,,,1L,2,0.06000600060006
452,5,0,1,1,1,:1O:1O:1O:1O,,1O,,1L,2,0.06000600060006
453,4,0,4,1,2,1O:1O:1O:1O,,:1O:1O:1O,,1L:1L,2,0.06000600060006
454,2,0,4,1,1,1N1O1S:1O,,::1O:1O,,1L,2,0.06000600060006
455,6,0,1,1,2,:1O:1O:1O:2O1S:2O1S,,,,1L:1L,2,0.06000600060006
456,6,0,1,1,2,1O:1O:1O:1O:1O1S:2O1S,,1O,,1L:1L,2,0.06000600060006
457,4,0,2,1,2,1N1O1S:1O:1O:2O1S,,:,,1L:1L,2,0.06000600060006
458,2,1,4,1,1,1N1O1S:1O,1O,:::1O,,1L,2,0.06000600060006
459,3,1,3,1,1,1O:1O:1O,,::,,1L,2,0.06000600060006
460,4,0,1,2,1,:1O:1O:1O,,,1S:1S:1S:2S:2S:2S:2S:3S,1L,2,0.06000600060006
