,num_dol,num_tfee,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfee,atoms_tfsi,atoms_ps,atoms_li,count,%
1164,4,0,0,3,2,1O:1O:1O:1O,,,1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1165,3,1,1,2,2,1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1166,4,0,0,3,2,1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1167,4,0,0,3,2,:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1168,4,0,0,3,2,1O:1O:1O:2O,,,:::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1169,4,0,0,3,2,1O:1O:1O:2O,,,::1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1170,4,0,0,3,2,1O:1O:1O:2O,,,:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1171,4,0,0,3,2,1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1172,4,0,0,3,2,1O:1O:1O:1O,,,:::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1173,4,0,0,3,2,1O:1O:1O:1O,,,:::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1174,4,0,0,3,2,1O:1O:1O:1O,,,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1175,4,0,0,3,2,1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1176,4,0,0,3,2,1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1177,4,0,0,3,2,1O:1O:1O:1O,,,:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1178,4,0,0,3,2,1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1179,4,0,0,3,2,1O:1O:1O:1O,,,::1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1180,4,0,0,3,2,1O:1O:1O:1O,,,::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1181,4,0,0,3,2,1O:1O:1O:1O,,,:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1182,4,0,0,3,2,1O:1O:1O:1O,,,:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1183,4,0,0,3,2,1O:1O:1O:1O,,,:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1184,4,0,0,3,2,1O:1O:1O:1O,,,:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1185,4,0,0,3,2,1O:1O:1O:1O,,,:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1186,4,0,0,3,2,1O:1O:1O:1O,,,:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1187,3,1,3,1,2,1O:1O:1O,,1N2O1S:1O:1O,,1L:1L,1,0.03000300030003
1188,3,1,3,1,2,1O:1O:1O,,1N1O:1O:1O,,1L:1L,1,0.03000300030003
1189,3,1,2,2,3,1O:1O:1O,,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1190,3,1,2,1,2,1O:1O:1O,,1N2O1S:2O,,1L:1L,1,0.03000300030003
1191,3,1,2,1,2,1O:1O:1O,1O,1O:3O2S,,1L:1L,1,0.03000300030003
1192,3,1,2,1,2,1O:1O:1O,1O,1O:1O,,1L:1L,1,0.03000300030003
1193,3,1,2,1,2,1O:1O:1O,,1O:3O2S,,1L:1L,1,0.03000300030003
1194,3,1,2,1,2,1O:1O:1O,,1O:3O1S,,1L:1L,1,0.03000300030003
1195,3,1,2,1,2,1O:1O:1O,,1O:2O2S,,1L:1L,1,0.03000300030003
1196,3,1,2,1,2,1O:1O:1O,,1N3O2S:2O2S,,1L:1L,1,0.03000300030003
1197,3,1,2,1,2,1O:1O:1O,,1N2O:1O,,1L:1L,1,0.03000300030003
1198,3,1,2,1,2,1O:1O:1O,,1N2O2S:2O1S,,1L:1L,1,0.03000300030003
1199,3,1,2,1,2,1O:1O:1O,,1N2O2S:2O,,1L:1L,1,0.03000300030003
1200,3,1,2,1,1,::1O,,1O:2O,,1L,1,0.03000300030003
1201,3,1,2,2,2,:1O:1O,,:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1202,3,1,1,3,2,1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1203,3,1,1,2,2,:1O:2O,,1N2O2S,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1204,3,1,1,2,2,:1O:1O,1O,2O,3S:3S:4S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1205,3,1,1,2,2,:1O:1O,,2O1S,2S:2S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1206,3,1,1,2,2,:1O:1O,,2O,2S:2S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1207,3,1,1,2,2,:1O:1O,,1N2O2S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1208,3,1,1,2,2,1O:1O:1O,,2O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1209,3,1,1,2,2,1O:1O:1O,,2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1210,3,1,1,2,2,1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1211,3,1,2,1,2,1O:1O:1O,1O,2O:2O,,1L:1L,1,0.03000300030003
1212,3,1,2,1,2,1O:1O:2O,,1N2O2S:1O,,1L:1L,1,0.03000300030003
1213,3,1,2,1,2,:1O:1O,,2O:2O,,1L:1L,1,0.03000300030003
1214,3,1,2,1,2,:1O:1O,,2O:2O1S,,1L:1L,1,0.03000300030003
1215,3,1,2,2,2,:1O:1O,,:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1216,3,1,2,2,2,:1O:1O,,1O:1O,2S:2S:3S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1217,3,1,2,2,2,:1O:1O,,1O1S:3O1S,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1218,3,1,2,2,2,:1O:1O,,1N1O:2O,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1219,3,1,2,2,2,1O:1O:2O,,1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1220,3,1,2,2,2,1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1221,3,1,2,2,2,1O:1O:1O,1O,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1222,3,1,2,2,2,1O:1O:1O,,2O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1223,3,1,2,2,2,1O:1O:1O,,1O:2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1224,3,1,2,2,2,1O:1O:1O,,1O:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1225,3,1,2,2,2,1O:1O:1O,,1O:2O1S,1S:1S:2S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1226,3,1,2,2,2,1O:1O:1O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1227,3,1,2,2,2,1O:1O:1O,,1O:1O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1228,3,1,2,2,2,1O:1O:1O,,1O:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1229,3,1,2,2,2,1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1230,3,1,2,2,2,1O:1O:1O,,1O:1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1231,3,1,2,2,2,1O:1O:1O,,1O:1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1232,3,1,2,2,2,1O:1O:1O,,1O:1O,1S:1S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1233,3,1,2,2,2,1O:1O:1O,,1O1S:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1234,3,0,2,2,2,:1O:2O,,:1N3O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1235,3,0,2,2,2,:1O:1O,,:3O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1236,4,1,1,2,2,1O:1O:1O:1O,,2O1S,2S:2S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1237,3,0,1,1,2,:1O:1O,,1N3O2S,,1L:1L,1,0.03000300030003
1238,3,0,1,2,2,1O:1O:1O,,1N2O2S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1239,3,0,1,2,2,1O:1O:1O,,1N2O2S,1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1240,3,0,1,2,2,1O:1O:1O,,1N2O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1241,3,0,1,2,2,1O:1O:1O,,1N2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1242,3,0,1,2,2,1O:1O:1O,,1N1O1S,::1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1243,3,0,1,2,2,1O:1O:1O,,1N1O1S,2S:3S:3S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1244,3,0,1,2,2,1O:1O:1O,,1N1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1245,3,0,1,2,2,1O:1O:1O,,1N1O1S,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1246,3,0,1,2,2,1O:1O:1O,,1N1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1247,3,0,1,1,2,1O:1O:1O,,1N3O1S,,1L:1L,1,0.03000300030003
1248,3,0,1,2,2,1O:1O:1O,,1N2O2S,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1249,3,0,0,3,2,1O:2O:2O,,,:::1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1250,3,0,0,3,2,1O:1O:2O,,,:::1S:1S:2S:2S:2S:3S:3S:3S:4S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
1251,3,0,0,3,2,1O:1O:2O,,,:::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1252,3,0,0,3,2,1O:1O:2O,,,::1S:1S:2S:2S:2S:2S:3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1253,3,0,0,3,2,1O:1O:2O,,,::1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1254,3,0,0,3,2,1O:1O:2O,,,::1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1255,3,0,0,3,2,1O:1O:2O,,,:1S:1S:1S:2S:3S:3S:3S:3S:3S:4S:4S:4S:5S:5S:5S,1L:1L,1,0.03000300030003
