,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPG),O (TFPG),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
63,3.1750000000000003,0.9147481481666088,0.1038592926982179,0.076765564168248,0.1331886239648136,0.0,0.1081665008234951,0.3605550027449838,0.3365180025619849,0.3485365026534844,0.3725735028364833,0.0,8.190789910843113,1.3256769797896375,1.6570962247370469,7.575297027369355,0.0,0.0946912128421169,0.2367280321052923,0.0
64,3.225,0.8830314778230725,0.1050405685528548,0.1006638781964859,0.1092307114514114,0.009930064677401,0.3028669726607317,0.3727593509670545,0.3727593509670545,0.4193542698379363,0.5008953778619797,0.045888935251626,7.204562834505282,2.0650020863231697,1.4225569928004065,9.04012024457032,0.0,0.2753336115097561,0.091777870503252,0.015452396564323
65,3.2750000000000004,0.8392030269816382,0.1167120262054717,0.0997357314846758,0.1299938895751434,0.004814588502783,0.406647552004295,0.4405348480046528,0.5196052053388213,0.4405348480046527,0.4405348480046528,0.0,6.852764302294598,2.002431127293877,1.601944901835102,8.499207673625119,0.0444984694954194,0.3114892864679365,0.1779938779816779,0.0299683570071192
66,3.325,0.79221180550364,0.1255805311151087,0.1317566228092944,0.1261137674471752,0.0,0.4054683377895646,0.38355113034148,0.4164269415136069,0.460261356409776,0.5150543750299877,0.0,6.346027792922673,1.726810283788481,2.201683111830313,7.338943706101051,0.0,0.3453620567576962,0.1726810283788481,0.014536923307403
67,3.375,0.7634921187100598,0.2138022364528855,0.1718410498593285,0.1224048103534766,0.0045335114945732,0.4573615634717514,0.4148163017534488,0.3829073554647219,0.4360889326126002,0.499906825190054,0.0,6.243194844572107,1.9693299174153625,1.9693299174153625,7.039306938846405,0.0,0.2933044557852667,0.3352050923260191,0.0
68,3.4250000000000003,0.7576703678763442,0.215366464072613,0.1940238415068585,0.154074014468725,0.0132063440973192,0.8159150282689955,0.6919785682787682,0.4854178016283897,0.5680421082885413,0.5577140699560225,0.0406862116129533,5.6146972025875606,1.8715657341958547,2.4004864851642487,7.0387146090409285,0.0,0.3254896929036269,0.3254896929036269,0.0274009180250502
69,3.475,0.7783696954183071,0.2393704708752259,0.2035591405868064,0.1154614141689098,0.0128290460187677,0.9832312448742776,0.4815826505506663,0.4715496786641941,0.5016485943236108,0.6320772288477493,0.0,5.96809812519544,2.134286746758636,2.6085726904827773,7.390955956367865,0.0,0.4347621150804628,0.2766668005057491,0.0266180886783956
70,3.5250000000000004,0.8059787759221423,0.3132236526648382,0.2564404173864172,0.1038974056389934,0.0,1.0140386790365743,0.5167697114321008,0.653274918225486,0.7995304969326836,0.6825260339669255,0.0,5.838404515665128,2.842381145784337,2.611917809639661,5.87681507168924,0.0,0.4225161162652396,0.1920527801205634,0.0517366672977844
71,3.575,0.8383825298832516,0.3294553166362576,0.3276744770868726,0.11717340353135,0.0161618487629448,1.308177335446822,0.7962818563589354,0.7583636727227956,0.5782523004511321,0.7109659431776209,0.0,6.049673843765935,2.128588945028757,2.3526509392423094,5.900299180956898,0.0373436657022588,0.2240619942135533,0.1493746628090355,0.1508988940621889
72,3.625,0.8825178814900478,0.3464105037595343,0.3741233440602969,0.0864549755612319,0.0117893148492589,1.917728548812783,0.7468077521819005,0.7283680545971625,0.7375879033895317,0.8113466937284849,0.072641232909575,5.484413084672914,2.288198836651615,2.79668746701864,5.411771851763339,0.0,0.2542443151835126,0.3995267810026627,0.1467649399601618
73,3.675,0.9311894124258028,0.4550156577780292,0.4802943054323643,0.0955892031519115,0.0191178406303823,1.767223775810034,0.8432438321124016,1.031628092477938,0.8073611158522994,0.8522145111774271,0.0353390387410097,4.912126385000348,1.943647130755536,2.438393673129672,5.300855811151454,0.0706780774820194,0.4594075036331262,0.4594075036331262,0.1903980862780931
74,3.725,0.960602336060822,0.4953724294645358,0.5495025293729123,0.1302564351496151,0.0111648372985384,2.0431652256325354,1.0477770387859155,0.8731475323215964,0.8556845816751644,1.0215826128162675,0.0,3.886829469637649,3.1644983292625115,3.405275376054225,4.368383563221077,0.0343967209702446,0.5159508145536703,0.550347535523915,0.3474770791892067
75,3.775,0.9551285958828768,0.6995484733049042,0.6755913338081612,0.1232051536785521,0.0108710429716369,2.142431699487222,1.062714136650407,1.0882192759300162,0.8586730224135288,0.8756764485999352,0.100474791101493,3.3491597033831013,3.215193315247777,3.6170924796537514,4.1864496292288775,0.033491597033831,0.6698319406766206,0.6028487466089583,0.5075002203595826
