,r ($\AA$),g_full(r),O (DOL),O (DOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
57,2.875,0.812117189945218,0.1280491494439799,0.1169144407966773,0.0508036376962641,0.0381027282721981,0.0508036376962642,0.0211681823734434,0.1185418212912831,0.0635045471203302,0.0677381835950189,0.0740886383070519,0.7705218383933402,0.4889850128265431,0.8297927490389816,0.6964332000862885,0.29186433272475,11.73294617553496,1.9846774625283008,1.8679317294384008,12.25830197443951,0.8172201316293001,0.3502371992697001,0.5837286654495002,0.0
58,2.9250000000000003,0.7704459060695863,0.0995050033526346,0.0995050033526346,0.0490816482233607,0.073622472335041,0.0490816482233607,0.0081802747038934,0.1063435711506148,0.0327210988155738,0.0899830217428279,0.2004167302453895,0.7730359595179319,0.6298811521997961,0.8016669209815587,0.6585121136634231,0.2819715901720849,9.925399974057376,2.03019544923901,1.8046181771013428,10.94049769867688,0.0563943180344169,0.6203374983785869,0.5075488623097529,0.0
59,2.975,0.7945023921638258,0.1793785208551225,0.1481822563585794,0.0553533718759173,0.0434919350453636,0.0316304982148099,0.0118614368305537,0.0593071841527686,0.0632609964296198,0.0632609964296198,0.1522217726587727,0.8164622351697811,0.4705036609452975,0.7472705203248845,0.6088870906350909,0.2180587376930078,10.303275355994623,2.50767548346959,1.7989845859673146,10.303275355994622,0.1635440532697559,0.5451468442325197,0.5451468442325196,0.0
60,3.0250000000000004,0.8313739686998481,0.1584110288128007,0.1408098033891562,0.0229451453560351,0.0229451453560351,0.0458902907120703,0.0152967635706901,0.0267693362487076,0.0344177180340527,0.0688354360681054,0.1873853537409539,0.6558487380933385,0.7763107512125234,0.7093874105907539,0.8833880962073541,0.0527274804898788,10.809133500425167,2.003644258615394,2.3200091415546664,11.178225863854315,0.263637402449394,0.3690923634291515,0.6327297658785455,0.0
61,3.075,0.8762171235440495,0.1776350088194984,0.180068365104697,0.0518117707494596,0.0259058853747298,0.0555126115172781,0.0333075669103669,0.0259058853747298,0.0370084076781854,0.0296067261425483,0.2461059110599331,0.7253647904924349,0.7771765612418943,0.8678471600534491,0.8030824466166241,0.1020534878398447,9.950215064384864,1.734909293277361,1.9390162689570511,9.848161576545015,0.2041069756796894,0.6123209270390684,0.561294183119146,0.0
62,3.125,0.9110973783343856,0.190845191161365,0.2120502124015167,0.0215001827079633,0.039417001631266,0.0215001827079633,0.0286669102772844,0.0250835464926238,0.0430003654159266,0.039417001631266,0.3386278776504223,0.8152152610102761,0.8779241272418361,0.9280912202270843,0.7399646215324046,0.0988139710315486,10.91894379898612,2.2727213337256167,2.07509339166252,10.326059972796823,0.0,0.9387327247997116,0.6916977972208403,0.0166370461430668
63,3.1750000000000003,0.8994146149520421,0.1962942270034539,0.2214016281318026,0.0242997504626815,0.0242997504626815,0.031242536309162,0.0416567150788827,0.0416567150788827,0.0208283575394413,0.0381853221556425,0.4252456330969281,0.7654421395744702,0.728992513880448,0.8140416404998334,0.838341390962515,0.1914525794029459,9.381176390744365,3.206830704999348,2.488883532238298,9.716218404699518,0.0957262897014729,0.5264945933581012,0.7658103176117836,0.0161171814293296
64,3.225,0.8448982850493666,0.2787455343952186,0.2610474052272682,0.0336458939126969,0.0403750726952363,0.0201875363476181,0.0605626090428544,0.0370104833039666,0.0471042514777756,0.0269167151301575,0.6476834578194154,1.0598456582499527,0.942085029555514,0.859652589469406,0.6830116464277474,0.0927811013956187,8.675032980490352,1.9947936800058048,2.319527534890471,10.066749501424628,0.0927811013956187,0.5566866083737126,0.7886393618627595,0.0
65,3.2750000000000004,0.7984147949839974,0.3475277437992447,0.2874612201796221,0.0195758403507592,0.0163132002922993,0.0456769608184382,0.0652528011691974,0.0261011204676789,0.0424143207599783,0.0130505602338394,0.8450237751411073,0.9706354173918124,0.8450237751411073,1.0734085792332984,0.9592161771872028,0.0449848856545224,9.221901559177114,3.28389665278014,2.564138482307781,8.772052702631887,0.0899697713090449,0.7197581704723598,0.7197581704723598,0.0454439150999768
66,3.325,0.8499311887721662,0.3538041712960928,0.3517229702884689,0.0126610206353921,0.0158262757942402,0.0379830619061765,0.0664703583358089,0.0284872964296324,0.0221567861119363,0.0379830619061765,1.008133768093103,1.0081337680931026,0.9970553750371344,0.864114658365517,1.1964664500445614,0.1309264633887146,8.553862274729358,3.447730202569488,2.4439606499226745,9.47034751845036,0.0436421544629048,0.6546323169435735,0.6982744714064782,0.0
67,3.375,1.014670680157223,0.4161187004344587,0.3635988644572941,0.0122886649184101,0.0337938285256278,0.0153608311480126,0.0860206544288709,0.0337938285256278,0.0368659947552304,0.0307216622960253,1.3548253072547174,1.0752581803608865,0.9784849441284068,1.0214952713428425,0.9784849441284073,0.0423586555899743,8.471731117994869,2.880388580118252,2.880388580118253,8.725883051534716,0.0847173111799486,0.889531767389461,0.8471731117994867,0.0570545156926184
68,3.4250000000000003,1.08439618142732,0.4491714337505175,0.4354413025878379,0.014915621294465,0.005966248517786,0.014915621294465,0.0686118579545394,0.0238649940711441,0.0357974911067162,0.0298312425889302,2.02554137178836,1.1902665792983145,0.8979204019267986,1.273794058547319,1.0232116208003057,0.0411309556907976,8.63750069506752,2.344464474375468,3.4138693223362098,8.102798271087154,0.0822619113815953,0.8637500695067513,1.028273892269942,0.0277004395468637
69,3.475,0.9534659472471032,0.5430418000084439,0.6021095045707656,0.0144894900946922,0.0231831841515075,0.0028978980189384,0.0811411445302764,0.0173873881136306,0.026081082170446,0.0405705722651382,2.3936637636431577,1.2678303832855704,1.2576877402192852,1.1562613095564398,1.2272598110204322,0.0,8.190952658075252,3.8357631959767087,3.076601730106318,7.751438125202923,0.1198675998742721,1.3185435986169936,0.5993379993713608,0.1076362121319994
70,3.5250000000000004,0.8437505211424362,0.6462572278910784,0.6981059453150046,0.0056325451267436,0.0112650902534872,0.0168976353802308,0.0591417238308079,0.0253464530703462,0.0337952707604617,0.0394278158872053,2.858516651822385,1.1926914305879603,1.2419762004469672,1.291260970305974,1.2518331544187682,0.0388304247373991,6.989476452731853,3.3005861026789303,3.106433978991934,7.338950275368445,0.0776608494747983,1.1649127421219754,1.087251892647177,0.1830577166191675
71,3.575,0.8367158012236958,0.7795325162423126,0.8245401672955641,0.0054760957413362,0.0109521914826725,0.0109521914826725,0.0711892446373712,0.0328565744480175,0.0328565744480175,0.0301185265773493,3.440357149494498,1.3033107864380271,1.5045573049321346,1.5045573049321332,1.4949741373847965,0.0377518721561817,6.87084073242507,3.057901644650721,4.077202192867628,6.644329499487983,0.0377518721561817,0.8682930595921796,0.8682930595921796,0.1144112860243466
72,3.625,0.8695567281707254,0.928022429901628,0.9262714441848324,0.0079891128528956,0.0159782257057912,0.021304300941055,0.0772280909113243,0.0532607523526374,0.0292934137939506,0.0426086018821099,3.579122558097241,1.6311105407995232,1.370132854271601,1.500621697535562,1.5938280141526766,0.1468705595178791,5.764669461076759,3.745199267705921,4.259246226018499,6.205281139630401,0.1468705595178791,0.8812233571072748,1.0648115565046234,0.3091025806179856
