,r ($\AA$),g_full(r),O (DOL),O (DOL),O (HME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
56,2.825,0.8721385726916674,0.105915409403633,0.0744270444457961,0.0496778536353903,0.1219018100745347,0.5485581453354061,0.7314108604472084,0.6856976816692579,0.7466485867065252,0.6603014712370634,10.985015385125685,2.2210140396155755,2.4010962590438654,13.085974611789071,0.18008221942829,0.4802192518087734,0.7803562841892567,0.0
57,2.875,0.8644968697019932,0.0939718851867482,0.0884441272345866,0.0239824984507578,0.1176987231660267,0.6032059562258876,0.6473429774131476,0.6767676582046542,0.6914799986004077,0.2897885229466568,10.606259939847632,2.1444350698052608,2.2023927743945926,10.780133053615623,0.1159154091786627,0.6375347504826451,0.5795770458933137,0.0
58,2.9250000000000003,0.8809520464506922,0.0854463132404659,0.1041376942618179,0.0173772086880101,0.1137093245430817,0.5827602882832938,0.6396149505548346,0.7248969439621459,0.7391106095300312,0.3359593679681958,10.638713318992869,2.3517155757773724,2.5196952597614706,11.534604966908052,0.3359593679681958,0.7839051919257904,0.5039390519522937,0.0
59,2.975,0.933081670248885,0.0980855655232406,0.1058291628013912,0.0223973639142328,0.1236592919187738,0.6732561448911024,0.7556956728369517,0.6869960662154107,0.6182964595938696,0.1623808883781879,10.50063078178949,2.002697623330984,1.840316734952796,10.229995967825843,0.1082539255854585,0.3247617767563758,0.5953965907200223,0.0
60,3.0250000000000004,0.9895445793369791,0.0948699382043838,0.1298220207007358,0.0108315454937194,0.1860526237498118,0.9701315381240184,0.6511841831243412,0.7043420756242879,0.8239473337491666,0.2617623494315535,11.203428555670506,2.5129185545429125,2.2511562051113594,11.151076085784185,0.2094098795452428,0.5758771687494177,0.6282296386357284,0.0176288929209005
61,3.075,1.0087155372398249,0.0918098873202025,0.1570432283108727,0.0157232573896007,0.2314947280284299,0.9388397303375215,0.5530151836234716,0.7587882752042983,0.7330666387566949,0.1013276587329827,10.588740337596692,2.381199980225094,2.2798723214921117,10.031438214565288,0.3039829761989483,0.3546468055654397,0.6586297817643881,0.0
62,3.125,0.978720052630796,0.1310039484230535,0.1099497424264912,0.0101494326364479,0.3486720473413575,0.6599863753247126,0.8094172527567226,0.8841326914727278,0.7097966678020494,0.147166773228495,9.61489585092836,2.5999463270367458,3.0414466467222327,10.792230036756314,0.049055591076165,0.4415003196854851,0.7848894572186402,0.0
63,3.1750000000000003,0.9128608686556692,0.1269104134553826,0.1427742151373054,0.0049161445427185,0.4222211832265611,0.8082519793194172,0.784125054563614,0.6755538931624978,0.723807742674105,0.0950454611592259,8.886750618387618,2.376136528980646,2.376136528980646,11.452978069686717,0.0950454611592259,1.0455000727514845,0.6653182281145812,0.0640102085358051
64,3.225,0.8327358914948227,0.1603468340800771,0.1559537701326777,0.0190595627059583,0.4326154204200518,0.8769231495001046,0.724923136920087,0.7716923715600923,0.8418462235201004,0.0460606098727327,9.166061364673812,2.6254547627457687,2.395151713382105,9.350303804164747,0.0460606098727327,0.8751515875819225,1.197575856691052,0.0
65,3.2750000000000004,0.774473813540996,0.1938277768860902,0.2215174592983887,0.0,0.5782392140206157,1.0204221423893227,0.8957038805417386,0.691619452063874,0.873027832933087,0.0446649422594652,9.379637874487711,2.545901708789523,2.27791205523273,9.915617181601291,0.0446649422594652,0.6699741338919792,0.6699741338919792,0.0
