,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DTFEG),O (DTFEG),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
86,4.325,0.9890619078210222,0.5519673120636517,0.5072784924873821,0.0438357538463122,0.0467581374360664,7.400059725975461,2.8610135343693166,2.732428656420134,2.680994705240461,2.69385319303538,0.1013092977781438,0.3545825422235035,4.103026560014823,4.280317831126575,0.2532732444453596,0.1519639466672158,1.494312142227621,1.342348195560406,3.2749781159302023
87,4.375,1.0097689836242103,0.4414535160229663,0.4107642341604073,0.0742551854856326,0.0971029348658272,6.226582899837552,2.5572343493782883,2.2744934507983805,2.425288596707664,2.444137989946326,0.1980138279616871,0.3465241989329523,4.455311129137965,4.826587056566129,0.3217724704377415,0.0990069139808435,1.5841106236934976,1.3365933387413886,2.56710784107473
88,4.425,1.0234127908517536,0.3911494708314327,0.3738419721220772,0.0697948083151162,0.0809619776455348,5.515464932293743,2.2909447881353726,2.094402607920005,2.235667299949801,2.192673698027689,0.3387374696893639,0.2903464025908833,4.379391572412493,4.16163177046933,0.2661508690416431,0.1693687348446819,1.5243186136021367,1.4517320129544162,1.4909880316720625
89,4.4750000000000005,1.039301658181086,0.3305607176061503,0.3249197497289122,0.1064604483013293,0.1228389788092262,4.648226958141114,1.8076438170548776,1.7656055887512756,2.035851342131573,1.5794362919781824,0.2129208966026586,0.3312102836041356,4.471338828655828,4.873522744460848,0.2129208966026586,0.2129208966026586,1.5850777858197909,1.5377620310192,1.0436020816477238
90,4.525,1.0489790364102145,0.3630183109360765,0.3718455039071666,0.1655253003634815,0.0934417018180944,3.1599313791970447,1.7150556927983964,1.597586124798506,1.7033087359984074,1.4918635135986051,0.4164830138177922,0.2545173973330953,4.766416713692518,4.62758904241992,0.1388276712725974,0.1851035616967966,1.66593205527117,1.5271043839985727,0.8570483787747082
91,4.575,1.0550565581973108,0.3313798336646709,0.338935725637481,0.167150521324582,0.1488684330547058,2.3442860615772667,1.5053993826795184,1.3042964117108795,1.505399382679518,1.4594329893152571,0.497969261446151,0.3168895300111869,3.7574044272754974,4.640168118020948,0.2263496642937049,0.1131748321468524,2.082416911502085,1.6070826164853051,0.4420747525083175
92,4.625,1.0643371486291726,0.3517148855528723,0.3749513044182272,0.125222582785514,0.1354448344414744,1.5910934702502235,1.360581695408318,1.3718261722298746,1.3886928874622089,1.2312702119604202,0.3986678145824529,0.2214821192124737,4.252456688879497,4.341049536564485,0.3322231788187106,0.2214821192124737,1.7275605298572954,1.6832641060147993,0.3803616394230544
93,4.675,1.068810243300515,0.4021207193619266,0.4093568248517301,0.1500714784898268,0.182586965495956,1.1445451426157438,1.2325870766631086,1.2270844557851484,1.1830634887614662,1.326131631588434,0.476893809423227,0.3468318613987105,3.468318613987104,3.750119501373559,0.3468318613987105,0.2601238960490328,2.124345151067102,1.6474513416438752,0.2262812463079597
94,4.7250000000000005,1.0725895005326738,0.3956792708868052,0.4513374803465861,0.1860887827024027,0.2228168319199823,0.9319130354807148,1.2227991852839448,1.1743181603167394,1.2928273324587956,1.3089876741145303,0.5517369171351936,0.46685431449901,3.4589660574244854,3.7348345159920826,0.2758684585675967,0.2970891092266426,1.7188727033827191,1.803755306018903,0.2143718791066882
95,4.775,1.0739428995427556,0.4617526710353068,0.4875156955995082,0.201392293150607,0.2325601480429629,0.5696524863402883,1.1498540927979886,1.2869926543243544,1.297541774441767,1.3291891347940048,0.4779071083494561,0.4363499684929816,3.71936401715446,3.386906898302665,0.2701214090670839,0.2493428391388466,1.953185573254299,2.181749842464909,0.1679247692159581
96,4.825,1.074768787220902,0.4978437542807518,0.5269574241217313,0.2207209785333382,0.2535943157617077,0.4804203426374576,1.332779015058753,1.1571414704386074,1.1674730907103807,1.2191311920692478,0.4477035451101753,0.5291041896756618,3.78512997229512,3.866530616860605,0.4680537062515471,0.4477035451101754,2.1978174032681337,1.9332653084303035,0.1507573162105693
97,4.875,1.0739920867389066,0.5143022657900217,0.5428217999373424,0.2760212255936525,0.3473267088720126,0.450374633093643,1.2701576731067912,1.2195537817479551,1.295459618786209,1.1537687229814677,0.498371657321872,0.4385670584432473,2.711141815830982,3.0699694091027294,0.2591532618073735,0.2990229943931233,2.172900425923361,2.21277015850911,0.1208296997751803
98,4.925000000000001,1.0723815548842492,0.5961259037143031,0.5700453954268025,0.3177731461823205,0.3087583051558717,0.3520295420828264,1.170126365233057,1.2940804293467283,1.170126365233057,1.2296243160076188,0.7422219111776186,0.4492395778180322,2.8126304002520315,2.5782445335643622,0.4101752667034209,0.3515788000315035,2.519648066892445,2.226665733532858,0.1578517061365935
