,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMF),N (DMF),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
66,3.325,0.8794923657791497,0.1402597637759744,0.1593860951999709,0.0374675763493435,0.2575895874017364,0.1583725631074173,0.2375588446611259,0.2714958224698582,0.1923095409161496,0.1923095409161496,0.0891274164673777,4.991135322173157,0.9358378729074665,1.5597297881791112,5.4367724045100445,0.0445637082336888,0.4902007905705774,0.2228185411684443,0.0750307332505986
67,3.375,0.8869440692241675,0.2145154083955163,0.1815130378731291,0.0545485041436908,0.4363880331495267,0.0988167132756861,0.2744908702102394,0.307429774635468,0.3293890442522872,0.1976334265513723,0.0432531068210074,5.968928741299021,1.7301242728402968,1.4706056319142522,5.4498914594469365,0.0865062136420148,0.7785559227781333,0.3460248545680592,0.0728241084231247
68,3.4250000000000003,0.8730257769254581,0.222318070684568,0.2002865501662774,0.039725625300496,0.7481659431593425,0.2665351782982001,0.2771965854301281,0.3411650282216961,0.2558737711662721,0.3731492496174801,0.0,5.249935330116065,1.175985513945997,1.5119813750734254,5.375933778038851,0.0419994826409284,0.3359958611274278,0.3779953437683564,0.0707134146505428
69,3.475,0.8581522195511271,0.2373686560874088,0.2432055902534927,0.0578860286407166,0.9990699757990348,0.2796340460490003,0.2796340460490003,0.3417749451710003,0.4039158442930005,0.3107044956100003,0.0815991604632324,5.099947528952026,2.366375653433738,1.7135823697278794,5.140747109183643,0.0407995802316162,0.407995802316162,0.203997901158081,0.1099090732770068
70,3.5250000000000004,0.8813584797761295,0.3006437991441348,0.2741720180874186,0.0520884681848488,1.5897400490015887,0.2818226537115023,0.3925386962410211,0.3824736014656104,0.3724085066901995,0.2818226537115023,0.0,5.233849283213615,1.5860149343071568,2.0221690412416247,5.471751523359691,0.0396503733576789,0.2775526135037524,0.8326578405112574,0.1201649070125574
71,3.575,0.928833957402343,0.2831015192478097,0.3161913072118396,0.0708983248840056,2.205950737105203,0.3522789734016701,0.3033513382069936,0.3914210815574113,0.3424934463627349,0.3718500274795406,0.1156471377328715,4.857179784780609,2.0816484791916867,2.0816484791916867,4.625885509314865,0.1156471377328715,0.4625885509314861,0.3469414131986146,0.1168272105668804
72,3.625,0.9637633959846716,0.3754715524161611,0.345076236268186,0.0551648225630538,3.006482829686433,0.4378025808245877,0.4187676860061274,0.3806978963692066,0.4092502385968972,0.3806978963692066,0.0374929746424218,4.4241710078057785,1.6871838589089825,2.0246206306907784,4.086734236023982,0.0,0.6373805689211716,0.7123665182060154,0.21462815075917
73,3.675,0.9853983537308764,0.4105549262287917,0.3983774496033613,0.0766771048662214,3.7514273555798874,0.3333684590029873,0.4630117486152603,0.4537515136429551,0.4352310436983447,0.4815322185598707,0.0,4.122207628580708,2.4076610927993545,2.1887828116357766,3.7574104933080807,0.0364797135272629,0.5471957029089439,0.583675416436207,0.307099629183591
74,3.725,1.0046561607258753,0.4825767962926233,0.5350676057139259,0.0802299427337315,4.617886238743855,0.441652199964649,0.4416521999646491,0.5588252326083317,0.6038917836251323,0.5678385428116918,0.0710139591779893,4.544893387391315,2.414474612051639,1.8818699182167185,3.799246816022426,0.0710139591779893,0.5681116734239149,0.5326046938349203,0.3706493889749136
75,3.775,1.0174975279259362,0.5704485604789058,0.6429911519848936,0.0908357580380423,5.537347809999066,0.5265679019805285,0.5002395068815021,0.5265679019805286,0.5090156385811776,0.4826872434821512,0.1037179200870738,3.5264092829605103,2.143503681799525,1.9706404816544028,3.768417763163682,0.0691452800580492,0.4494443203773202,0.656880160551468,0.3725378354147956
76,3.825,1.0116203290483752,0.6680437699739852,0.6921318866797779,0.0831679307578772,6.556110286339042,0.5385361722593536,0.5470843654698196,0.5641807518907517,0.6667590704163426,0.4530542401546943,0.0336747005260779,3.199096549977404,2.693976042086237,2.2898796357733016,3.2327712505034825,0.0336747005260779,0.9092169142041044,0.8755422136780265,0.3401831991920117
77,3.875,1.0088090245837391,0.7573150247396042,0.9028321679230406,0.1155187457461276,7.301819227385832,0.6496636327931483,0.5330573397277114,0.4497671303952565,0.4664251722617475,0.4914122350614839,0.1640564729275626,3.576431109820863,2.788960039768563,2.4280357993279256,3.0842616910381757,0.0328112945855125,0.6562258917102503,0.5577920079537129,0.6187272693268072
78,3.925,1.0050360839249557,0.9989339087912584,0.9730073798607988,0.0890671951155449,8.054699362052961,0.8280534470713122,0.7712262497232815,0.5276811182317186,0.6494536839774997,0.5926264866294687,0.0639613476644507,2.814299297235834,2.3985505374169045,2.750337949571384,3.453912773880343,0.1279226953289014,0.5116907813156056,0.6396134766445072,0.6461401447735328
79,3.975,1.000389378868152,1.1479367480012714,1.1494237127007547,0.1359957077699601,8.659485729689631,0.7994379752023213,0.6094725157483041,0.6253029707028055,0.7282009279070647,0.530320240975797,0.0623623983056115,2.2762275381548203,2.49449593222446,2.5880395296828778,2.151502741543597,0.1247247966112231,0.9042547754313678,0.6859863813617273,0.6089879099843899
80,4.025,1.0002406023151014,1.1993579162868158,1.1819548993636697,0.1438242959094394,8.928292680511545,0.9186561779405328,0.7256611825748747,0.6793423836871167,0.5712651862823481,0.7025017831309956,0.0912339978092202,2.67619726907046,2.7066086016735333,2.615374603864313,2.58496327126124,0.0608226652061468,0.7602833150768351,0.821105980282982,0.6553952495682752
81,4.075,0.9935293969536844,1.1602025837739558,1.2832972481499731,0.1512300726915548,8.6871542787355,0.9790977902092416,0.692899974609617,0.6928999746096172,0.7456206248516533,0.6100532385149887,0.2076874100443846,1.9285259504121444,2.729605960583344,2.254891880481892,2.373570400507255,0.1483481500317032,0.6230622301331538,0.7120711201521758,0.8791898524327881
82,4.125,0.9939200972845011,1.0880620050699157,1.0908235837629867,0.1475861530204523,7.350399023111388,0.911405940365476,0.735004790617319,0.8085052696790509,0.845255509209917,0.8893557966469563,0.1447736708791689,1.7662387847258616,2.7506997467042096,2.171605063187533,1.737284050550027,0.0579094683516675,0.5501399493408421,0.8396872910991803,0.8775057194104731
83,4.175,0.9920869798765304,0.9111905274575246,0.9516279769009052,0.2019983674105891,5.4955438192586765,0.961457387688682,0.8610066158406109,0.7605558439925398,0.6457549618804581,0.7318556234645197,0.1695922122110293,1.2154108541790445,2.3460256022525754,2.4308217083580894,1.3002069602845587,0.1978575809128676,0.9327571671606618,1.1023493793716914,0.7043268405090714
84,4.2250000000000005,0.9903582127976376,0.8081473006620056,0.8186769071852891,0.2102987099017243,3.6504955367078606,1.106985633490116,0.7706862005310933,0.7706862005310935,0.8127236296509707,0.7987111532776784,0.1380016612521241,1.1592139545178424,3.256839205550129,2.484029902538234,1.2696152835195418,0.1380016612521241,0.8832106320135943,1.1592139545178424,0.920104953695284
85,4.275,0.9901703210489275,0.5875159506532506,0.6607947453736779,0.2181577437637306,2.2410750041183243,1.183892603070266,0.8485704206977627,0.7596073927213842,0.7732940124100577,1.0196531668061828,0.2695849332617529,0.8087547997852588,3.2889361857933874,2.749766319269881,1.0244227463946611,0.1347924666308764,1.0783397330470117,0.8896302797637846,0.7262287998071709
86,4.325,0.990821613802524,0.6066674875536162,0.5639621157589519,0.2034545354271474,1.2774730353690953,1.1165618973028522,0.7956339268205955,0.8491219219009716,0.6886579366598427,0.7688899292804074,0.2633878545624583,0.7901635636873751,3.2396706111182354,2.6338785456245817,0.7111472073186375,0.2897266400187042,1.0272126327935875,1.0798902037060791,0.9312642000601212
87,4.375,0.9956573223343592,0.549917857754987,0.6039276473559234,0.2529343809177599,0.7358091081243925,1.2153335732719752,0.9801077203806252,0.9474374630346044,1.084652543887892,0.9735736689114212,0.1287010137873547,0.6949854744517155,2.882902708836749,2.9343831143516894,0.6692452716942445,0.2831422303321805,0.9009070965114828,1.287010137873547,0.5980657314159326
88,4.425,0.9964202251986248,0.5879569926707393,0.5771577826012768,0.2538616855394684,0.4680574827133949,1.136926067962496,0.7409181117058965,0.823952038017764,0.8558881635223283,0.9325348647332836,0.3774269377812169,0.4529123253374601,2.843282931285166,2.767797543728923,0.5283977128937035,0.3019415502249734,1.2329279967519746,1.8368110972019216,0.5422623759142381
89,4.4750000000000005,0.999467082060924,0.5795848199181058,0.5514268529585221,0.258563072399578,0.3891374239613647,1.0179827055042463,0.7369445352730126,0.8556050960373115,0.8243786326782854,0.7869068766474541,0.1968213448084058,0.4674506939199639,2.5832801506103253,2.632485486812427,0.3198346853136596,0.2706293491115581,1.0333120602441304,1.2547360731535868,0.4639360270483853
90,4.525,0.9996579509760254,0.6081559140230616,0.5771743863275475,0.3198939574675565,0.3350667933948712,0.7879370411177166,0.7696129238824209,0.7329646894118289,0.7879370411177166,0.8429093928236038,0.3609295819073401,0.457177470415964,2.815250738877252,2.839312711004409,0.2406197212715601,0.2646816933987161,1.467780299756516,1.2512225506121115,0.3241000327331218
91,4.575,1.0046727488290874,0.6319788233653926,0.587078018863411,0.3092292666736799,0.3104661837403745,0.6692292215618445,0.7887344396978881,0.6572786997482399,0.9022643969271298,0.7887344396978881,0.2589279726280946,0.4472392254485272,3.177752391344798,2.424507380063066,0.3766225056408649,0.4472392254485272,1.388795489550689,1.6712623687813368,0.237790995270699
92,4.625,1.0095078490760616,0.6293722187517098,0.6557333588041375,0.3074207049319996,0.3025794339881887,0.6022168648643693,0.777619835213215,0.806853663604689,0.6723780530039077,0.8010068979263946,0.322457985893837,0.3685234124500994,2.602696600428826,2.4645003207600387,0.3685234124500995,0.3454906991719682,1.451060936522266,1.0595048107940357,0.2714569779208321
93,4.675,1.013967906363122,0.6374820694885341,0.680482546351167,0.3281251356264704,0.3458936447759184,0.4349002075306907,0.858355672757942,0.9499136111854556,0.8698004150613808,0.6981292805097925,0.3381401135107046,0.2479694165745168,2.2993527718727944,2.5698648626813583,0.4733961589149865,0.4283108104468925,1.532901847915195,1.6005298706173363,0.1062726071033643
94,4.7250000000000005,1.018776198750457,0.7398237982843329,0.6682618946096032,0.3699219537370999,0.3919549227684631,0.3865314226992042,0.9635276044096104,0.8066742734592084,0.8122761781360084,0.7562571313680079,0.2868854213270334,0.4413621866569744,2.736445557273244,2.581968791943302,0.1986129839956385,0.3310216399927308,1.6109719812979575,1.633040090630806,0.0966042745284908
95,4.775,1.026002545647268,0.7336854800203828,0.7439900513689838,0.4064989311492021,0.4371566717666,0.40041978941994,0.8337507944086422,0.894088022951373,0.7843839710554985,0.9105436307357538,0.4321674771655642,0.5834260941735115,2.52817974141855,2.78748022771789,0.5618177203152334,0.5618177203152332,1.4261526746463618,1.4045443007880845,0.1236969156581027
96,4.825,1.0300267265652188,0.75186246060227,0.7881940694367421,0.401453992664417,0.414798723722514,0.2900939228475545,1.0260729493311649,0.7789559039425068,0.8917702072721118,0.816560671719042,0.5079085517869639,0.486745695462507,2.5395427589348163,2.4125656209880755,0.5290714081114207,0.3809314138402229,1.6718656496320874,1.777679931254371,0.0712626794599056
97,4.875,1.0334167933270406,0.7266327074994405,0.7127920844994512,0.42921043900149,0.454265870719851,0.436785726718345,0.9261962397882976,0.8472590602608856,0.8893588893421722,0.8630464961663674,0.3731575759477648,0.6633912461293598,2.8816057253744027,2.176752526361959,0.5804673403631899,0.4768124581554773,1.5340922566741435,1.5340922566741435,0.0628275510524297
98,4.925000000000001,1.0380096552863882,0.7516681907967065,0.800100419585154,0.4216071788864412,0.45362797728288,0.4228059062110262,0.953891373768779,0.9435790345929008,1.0002969000602329,0.9693598825325968,0.4874923974051743,0.4468680309547431,2.2749645212241445,2.5593350863771613,0.5484289470808211,0.7109264128825457,1.6655990244676775,1.7671599405937548,0.1504759696072093
