,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EiPS),O (EiPS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
71,3.575,0.8698149665097721,0.2491761475668648,0.1964308316585503,2.1529751580560004,2.224524181435504,0.3194939082446332,0.4259918776595109,0.5808980149902422,0.3969469769099988,0.4259918776595109,0.076279537321951,3.7376973287756,1.3348919031341424,1.3348919031341424,4.309793858690233,0.1906988433048774,0.1144193059829265,0.6483760672365833,0.2953886164661266
72,3.625,0.8902015412355483,0.2865742594787731,0.2830363056580475,2.6854989319210003,2.4957110215378893,0.3201576057462763,0.4425708079433819,0.3107412055772681,0.4802364086194144,0.3484068062533007,0.0370949097566986,4.043345163480151,1.2983218414844533,1.0757523829442612,3.969155343966753,0.2967592780535893,0.1483796390267946,0.2225694585401919,0.3372608631961073
73,3.675,0.9260853590661616,0.3631668011227749,0.318416389610016,3.0622588295562565,3.000705888258643,0.5955247070544082,0.5313912770639333,0.4214482542231194,0.4672578470734587,0.4580959285033909,0.1804620324407296,3.2122241774449845,0.8301253492273568,1.8407127308954427,3.861887494231611,0.1804620324407296,0.3248316583933134,0.3970164713696054,0.1458427854010795
74,3.725,0.9605716083349214,0.3568334838505697,0.3266785415533383,3.480865593019353,3.0435107078379184,0.5974802327644569,0.6063978481788519,0.5707273865212723,0.4547983861341388,0.3567046165757951,0.1053900003519394,3.1617000105581834,2.072670006921476,0.948510003167455,3.513000011731315,0.1405200004692526,0.3864300012904446,0.1756500005865657,0.319396225556388
75,3.775,0.9656429059629252,0.4746765743382074,0.4387903728418481,3.718862529978605,3.669277696245556,0.6164898083633302,0.4688795725580262,0.4515136624632844,0.4254647973211718,0.4862454826527677,0.1026167414689283,3.283735727005701,1.812895765951066,1.2998120586064257,3.3179413074953445,0.1710279024482138,0.307850224406785,0.4104669658757134,0.3570643759275974
76,3.825,0.9451132001257064,0.564032801693136,0.465525664496025,4.031378109378546,3.9717171225589913,0.8542010959032863,0.5835631249240268,0.422871829655092,0.5243610687723141,0.575105688330925,0.1999030467460435,2.532105258783216,1.7991274207143904,1.1661011060185869,3.631572015886453,0.1665858722883696,0.3331717445767392,0.5330747913227829,0.4263238445910518
77,3.875,0.9303807890871024,0.647100766080003,0.6269756226373235,4.45950137380649,4.478878474747918,0.9476679971410874,0.6262849372410664,0.6345255285205542,0.5191572506077261,0.5603602070051646,0.1623146767171822,2.921664180909276,1.980239055949622,1.947776120606185,3.343682340373953,0.1298517413737457,0.227240547404055,0.4869440301515466,0.371667484238119
78,3.925,0.9340277602082088,0.7152176410649748,0.6759862936647862,4.718943908688866,4.478814687492003,1.0682533400366123,0.6345264200217472,0.5301106800181686,0.6345264200217474,0.5301106800181686,0.3164113333441776,3.037548800104109,1.5820566667208886,1.5820566667208893,3.164113333441778,0.2847702000097599,0.3164113333441776,0.4113347333474309,0.490114697975981
79,3.975,0.9457376640152524,0.8944759303255447,0.8473982497820954,4.911391187470726,4.89034612614252,1.104197943746508,0.6186640961416608,0.649988860503264,0.8066126823112791,0.6030017139608592,0.1234005868790424,2.683962764619175,1.6042076294275531,1.6659079228670748,3.239265405574865,0.3393516139173668,0.3085014671976062,0.2776513204778456,0.5713573091465867
80,4.025,0.9540470071600528,0.908262591296252,0.8408244526060088,4.813219646080817,4.820916692423165,1.206778450382393,0.5575621954298393,0.6797676081267904,0.5804757103105175,0.5575621954298391,0.210619177186033,2.6778723956509927,1.6849534174882643,2.0460148640928923,2.4371647645812407,0.3309729927209091,0.30088453883719,0.8123882548604128,0.5775140995436268
