,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
68,3.4250000000000003,0.7477639109371327,0.4119131438543896,0.4158361261768122,0.0,2.3074982020490657,1.1902931901972558,1.2738225368777647,1.1694108535271284,1.1589696851920648,0.0,7.609396922978208,3.249418145487989,3.043758769191281,8.102979426090307,0.0411318752593416,0.5347143783714412,0.4113187525934163,0.1800568825128322
69,3.475,0.7860960260485893,0.4973230826673964,0.451592224491084,0.0,3.408004261631645,1.196858639501589,1.1664300300227357,1.105572811065027,1.3997160360272822,0.0799135198434548,8.830443942701752,4.235416551703102,3.715978672720648,8.630660143093117,0.0799135198434548,0.5993513988259116,0.919005478199731,0.1883675824881435
70,3.5250000000000004,0.8193052480065245,0.6018289249427325,0.5184987661045083,0.003671726833241,4.169584747776024,1.4785761516936256,1.3800044082473837,1.419433105625881,1.380004408247384,0.0,7.649764695934087,4.620923851858662,3.53364765142133,6.950801424224374,0.0388312928727618,0.8931197360735229,1.2426013719283795,0.3007444009227169
71,3.575,0.8378745569206889,0.7075360926526978,0.6229198169410519,0.0,4.3796054821855535,1.6675084330422016,1.5333410878548974,1.3895903608685007,1.5045909424576185,0.0,5.851671007628063,4.568078657567713,3.6242607531115754,6.304703601767005,0.0377527161782455,0.906065188277894,0.7550543235649116,0.5212186223384314
72,3.625,0.867556760779924,0.782708114093382,0.8352388600056898,0.0034719461481677,5.648429066619996,1.9294138890929693,1.5379386072480183,1.7523179282583496,1.5938636475115833,0.0,6.278856793227443,4.920273744400452,4.589807597388481,6.64604140101852,0.1835923038955394,0.9179615194776974,1.0281169018150211,0.457482047053987
73,3.675,0.9031394010805014,0.9949624278769416,0.9796291027897966,0.0,5.994569995522226,1.8954086672679973,1.8863397262762835,1.922615490243136,2.0495806641271166,0.1071783935384251,5.287467414562306,4.501492528613856,3.7512437738448776,5.751907119895479,0.035726131179475,0.893153279486877,0.928879410666352,0.51729979738444
74,3.725,0.9293485810322822,1.111043205883708,1.2453633546547236,0.0032880378842386,6.8939784466849785,2.0478911647002747,2.1891250381278806,1.9861013450756972,1.9684471108972463,0.1390939662544597,5.18125024297862,5.52898515861477,4.311912953888249,5.633305633305617,0.0695469831272298,1.321392679417368,1.1127517300356784,0.9250458419014708
75,3.775,0.93000610257751,1.4483295851415818,1.4144222035496392,0.0,7.2110691808436735,2.423744349222785,2.208873396277502,2.277632101219992,2.5010978922830875,0.0677169063827556,3.961439023391208,5.552786323385967,5.2142017914721865,5.146484885089431,0.0338584531913778,1.08347050212409,1.286621221272357,1.425164483820751
76,3.825,0.9205363786732024,1.792879115285341,1.6937989536511509,0.0,7.007036134208706,2.6286850013638388,2.469624443956472,2.2519626285569188,2.051044029726562,0.0329790629393263,4.254299119173091,4.814943189141638,5.111754755595574,3.001094727478694,0.0989371888179789,1.418099706391032,1.9457647134202536,1.6213584208334084
77,3.875,0.9194100887761004,2.1054867539228552,2.041126896816043,0.0060768210012162,7.936725558192366,2.854937251148334,2.854937251148334,3.075175267665493,2.7978385061253674,0.0964004786102034,3.727485172927869,5.141358859210854,5.269892830691125,3.888152637278208,0.1606674643503391,1.156805743322442,1.381740193412917,1.958503601152195
