,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFETFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.575905044557799,1.3948837714414315,1.3258301193898754,0.0,0.0,6.003772394267077,6.665412617308756,7.106506099336538,6.959474938660611,80.1245567521852,3.18567514797845,1.2549629370824198,0.193071221089603,3.5718175901576563,78.38691576237883,0.0,0.0,0.0
45,2.275,1.2855051437233918,1.0216012157621872,0.9599528665351588,0.0,0.0,5.22710256006492,5.08646302930084,4.92238357674275,5.391182012623011,49.309071846678414,5.448006065456977,2.1237989746696706,1.2004081161176396,5.54034515131218,52.72561802332094,0.0,0.0,0.0
46,2.325,1.050417168376785,0.5270126751429711,0.6872245283864341,0.0,0.0,3.45616533936222,3.770362188395149,3.949903244985394,4.219214829870762,29.79429427734336,7.514881345917471,2.563900694489487,0.7956933189794964,7.161239870815472,27.318803951629384,0.0884103687754996,0.1768207375509992,0.0
47,2.375,0.9330057132805084,0.561623448175732,0.468692949556726,0.0,0.0,3.376702706342237,2.7314728898437184,3.3982103668921875,3.0325801375430275,16.775975228961432,8.726896204964785,1.694542952420345,1.2709072143152589,9.06580479544886,17.369065262308556,0.0,0.0847271476210172,0.0
48,2.4250000000000003,0.8102168160126677,0.333298438695322,0.3953074505456144,0.0,0.0,2.1042519675197324,2.6199999987745684,2.537480313773796,2.372440943772248,10.0774039561551,10.565020276614227,2.438081602295589,1.5441183481205394,10.80882843684378,8.533285608034562,0.0,0.1625387734863726,0.0
49,2.475,0.752206871899221,0.2902038203726202,0.2864832585729712,0.0,0.0,2.35677556213457,2.218141705538419,2.079507848942268,1.861654645719744,6.163505226157885,11.858896131341764,1.7944382304003963,1.6384001234090575,11.234743703376402,4.99321942372284,0.0,0.0,0.0
50,2.5250000000000004,0.7868637570768356,0.2109059126341597,0.2180552656048092,0.0,0.0380565558129957,1.712545011584807,1.8267146790237945,1.7506015673978024,1.5983753441458204,2.7735156584925686,11.9935812259138,2.0239168318729552,1.72407730122511,11.693741695265956,3.523114485112179,0.0749598826619613,0.2248796479858839,0.0
51,2.575,0.8595421604470642,0.1718603103507578,0.1512370731086669,0.0,0.0182965130404191,1.628389660597304,1.4454245301931126,1.4454245301931128,1.7198722257993997,1.5136206242528571,10.3791128520196,2.4506238678379577,1.9460836597536733,12.901813892441025,1.297389106502449,0.0,0.4324630355008163,0.0
52,2.625,0.9028632874638578,0.1323006399285021,0.191835927896328,0.0,0.0176061620827929,1.3380683182922664,1.4437052907890249,1.2852498320438874,1.672585397865334,0.9710065148691888,12.137581435864854,2.566231503582856,2.150085854353204,14.218309682013125,0.9016489066642468,0.2080728246148262,0.2080728246148262,0.0
53,2.6750000000000003,0.8854905579926475,0.159251483575286,0.1592514835752861,0.0,0.0,1.1867910560595163,1.3563326354965897,1.085066108397272,1.2885160037217605,0.8014692846116209,12.756719446734962,1.6697276762742104,2.0036732115290525,14.226079801856269,0.7346801775606526,0.2003673211529052,0.2671564282038737,0.0
54,2.725,0.8529001524509776,0.1381150533626846,0.0982151490579091,0.0,0.0653508491808394,0.9802627377125932,1.0782890114838524,1.094626723779062,1.5684203803401493,0.4505247935951815,13.322661753457506,1.802099174380725,1.5446564351834788,13.773186547052696,0.3861641087958698,0.2574427391972465,0.3861641087958697,0.0
55,2.7750000000000004,0.8509093669106993,0.1331829066675558,0.094707844741373,0.0,0.0787714285589304,1.0240285712660953,1.0712914284014536,0.8192228570128759,0.9610114284189512,0.1241246753049812,13.591651945895457,1.737745454269738,1.6136207789647568,14.646711685987796,0.4964987012199249,0.3103116882624531,0.6206233765249062,0.0
56,2.825,0.8496968186014245,0.091385109455469,0.0970966787964358,0.0,0.1216124918138165,1.0033030574639876,0.8968921271268979,0.7600780738363541,1.109713987801077,0.239539756602972,12.815376978259009,1.976202991974519,2.1558578094267484,12.27641252590232,0.239539756602972,0.4790795132059441,0.6587343306581731,0.0
57,2.875,0.8391232655099368,0.1047781320687917,0.0909915357439506,0.0,0.088064535293446,0.9246776205811836,1.188871226461522,0.8953227754833684,0.9540324656789988,0.2312805977403633,14.050296312727074,2.891007471754542,2.081525379663271,15.611440347474511,0.2312805977403633,0.4047410460456359,0.636021643785999,0.0
58,2.9250000000000003,0.8331217475182433,0.0772519376533913,0.1198736963587106,0.0,0.1134394500926192,0.8366159444330671,0.9075156007409542,0.9925951883104186,1.077674775879883,0.167581005818642,13.57406147131,1.4523687170948976,2.7371564283711534,13.350620130218488,0.1117206705457613,0.4468826821830454,0.3910223469101647,0.0
59,2.975,0.8390609487431648,0.1184533556448642,0.097852772054453,0.0,0.1781950480570565,1.04175566556433,0.8635606175072735,0.6579509466722084,0.7127801922282262,0.1079969988224585,14.093608346330829,2.321935474682859,1.7819504805705657,13.337629354573613,0.1619954982336877,0.7019804923459801,0.7019804923459801,0.0
60,3.0250000000000004,0.8611338301385425,0.07970086451644,0.1320045568553538,0.0,0.1988689840578479,0.742444207149299,0.8882814621250542,0.7822180039608683,0.8617655975840077,0.0522282180353944,14.467216395804256,2.03690050338038,2.6114109017697182,10.91569756939743,0.0522282180353944,0.3133693082123664,0.9401079246370988,0.0
61,3.075,0.9024844094902328,0.101233250299394,0.0915919883661184,0.0,0.3079270734381566,0.7184965046890329,0.7698176835953925,0.8083085677751617,0.8852903361347013,0.0505435852865661,12.939157833360923,2.3250049231820435,2.072286996749213,10.866870836611708,0.0505435852865661,0.4548922675790952,1.0614152910178891,0.0
62,3.125,0.9490929259927576,0.1400282436516065,0.1376944395907463,0.0,0.3726905561804298,0.9068803533723792,1.0435335573052034,1.1056486500019418,0.9689954460691176,0.0489391639428847,12.08797349389252,2.4469581971442347,2.7405931808015427,12.039034329949647,0.0489391639428847,0.685148295200386,1.1745399346292331,0.0164795143889305
63,3.1750000000000003,0.9496999652810348,0.1379136014832103,0.1966964480170377,0.0,0.505462914692059,1.047030323290694,0.8665078537578159,0.7100550468293209,0.938716841570967,0.0,12.563634495773046,3.460925729024272,2.986826314089441,11.093926309475064,0.0,0.4740994149348317,0.8059690053892138,0.0
