,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEiBE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
61,3.075,0.9203568076380508,0.1540599538047397,0.1588743273611378,0.0,0.2050182462170768,0.7944457040911718,0.8457002656454411,1.0250912310853832,0.7303775021483357,0.1514339318648862,10.701331185118631,2.3219869552615897,2.170553023396704,12.922362185803632,0.1009559545765908,1.110515500342499,0.6562137047478406,0.0
62,3.125,0.9217545191830222,0.146838804287922,0.1654850016578169,0.0,0.3846136788259465,0.8436687148440127,1.0297721078243094,0.7320066790558339,0.8064480362479528,0.0488756385604819,12.170034001560014,2.7370357593869925,2.785911397947475,11.730153254515676,0.0,0.7331345784072295,0.7820102169677114,0.0
63,3.1750000000000003,0.8864362389866456,0.1716037427700321,0.1535401908995024,0.0,0.4567299615263935,0.7572101993727052,0.901440713538935,0.7692294088865577,0.7451909898588526,0.0946968022303526,10.511345047569144,3.1723428747168145,3.2670396769471663,11.032177459836088,0.0,0.6155292144972926,0.8996196211883507,0.0
64,3.225,0.8202618893585022,0.1663240506601298,0.1882087941680415,0.0,0.5591720310452298,0.9669016370157092,1.0018498889560357,0.9552522197022668,0.8271086292544021,0.0458916439620453,10.96810290692884,2.524040417912494,2.937065213570905,10.555078111270438,0.0,0.5965913715065897,0.7342663033927258,0.0154533086810969
65,3.2750000000000004,0.758857024725721,0.2185826961649559,0.2079718856715115,0.0,0.9376038638484248,0.7342680861463567,1.073161048983137,1.0505681847940185,0.8924181354701876,0.0445010961300822,10.368755398309167,2.4475602871545203,2.981573440715508,10.63576197508966,0.0,1.0680263071219724,0.6675164419512329,0.0449551889477361
66,3.325,0.7259670899655214,0.2820581689149607,0.2614699814029197,0.0,1.3260693205832417,0.9315362995832688,0.9424955501666014,1.06304730658326,0.9753733019165997,0.0,9.584362782878124,3.4106516209341047,3.1516147889644244,10.188782057474045,0.0,0.7339376905807568,0.949801717222156,0.0436133441581602
67,3.375,0.7354346922050008,0.3676816226855916,0.291747374522263,0.0,1.7444586954574572,0.9573248938486048,0.9998726669085428,1.1807007024132792,1.0849682130284186,0.0419031098317571,9.972940139958192,3.142733237381783,3.0589270177182684,8.548234405678448,0.0419031098317571,0.7542559769716284,0.963771526130414,0.0282204617234282
68,3.4250000000000003,0.7822297482943524,0.3783688237965353,0.3512038826008867,0.0,2.747420360310681,1.1981231646467638,1.0948366849358362,1.1464799247912996,1.084508036964743,0.0,8.585297389305298,3.336466283995426,3.5805979633121634,7.323950379502152,0.0406886132194564,0.8544608776085854,1.0985925569253243,0.0959088740172901
69,3.475,0.8344228942939439,0.4165669029233086,0.4014875580211072,0.0,3.0401699247249465,1.2441619493923872,1.3745982827964276,1.2943297699324037,1.063557795448331,0.039526161637588,7.82618000424243,3.478302224107748,4.86171788142333,8.181915458980718,0.039526161637588,1.2648371724028165,0.9881540409397004,0.1597179592702537
70,3.5250000000000004,0.8541750621097678,0.5348930135262303,0.5293975373598647,0.0,3.60785055804152,1.0726042199582884,1.2188684317707823,1.248121274133281,1.3066269588582786,0.0384128233042913,7.375262074423945,4.186997740167758,4.110172093559177,6.261290198599496,0.0384128233042913,0.9987334059115744,0.9219077593029918,0.2716335362232031
71,3.575,0.8566622909045842,0.7070350331729293,0.6518257484667309,0.0040274957850189,4.379808723997641,1.4314959249429515,1.4978566631853398,1.4883765577221415,1.308254553921372,0.0373458700065389,6.236760291092003,4.294775050751979,4.854963100850061,6.871640081203167,0.0,1.157721970202708,1.4191430602484807,0.3646938530230388
72,3.625,0.8762369761383413,0.7396300814851894,0.7569516290609553,0.0,4.868367513109936,1.83485821043348,1.5490260268986165,1.86251938948524,1.5859075989676312,0.0363227603709993,6.102223742327884,4.431376765261915,4.54034504637491,6.029578221585888,0.0726455207419986,1.162328331871978,1.1623283318719786,0.5748632789328568
73,3.675,0.9221335158757592,0.947162570814481,0.9083996898025009,0.0038112977636104,5.687746241011432,1.9916083052122049,2.1172052253607223,1.83012655073554,1.8749825936457247,0.106023374151346,4.877075210961919,3.781500344731343,4.841734086244804,5.548556580587109,0.106023374151346,1.3783038639674976,1.095574866230575,0.6902338031485588
74,3.725,0.9546477332993438,1.1121931533462477,1.0974295274168726,0.0,6.182249430200218,1.9646979121398964,2.043285828625493,1.9472339306986537,1.999625875022384,0.0343987513236615,4.40304016942868,3.852660148250095,4.884622687959941,4.987818941930926,0.0343987513236615,1.3071525502991388,0.9631650370625232,0.9150769867427108
75,3.775,0.9595155584196022,1.3672347936743097,1.335290055504349,0.0036120520937275,6.980318456144612,2.0320293678667003,2.4146290396407664,2.1170515171498265,2.159562591791389,0.0334935739600191,4.454645336682556,4.789581076282747,4.856568224202786,4.789581076282747,0.0669871479200383,1.172275088600671,1.540704402160882,0.9699465601891264
76,3.825,0.9466793123325516,1.7159951161681315,1.705104847978487,0.0,7.130277440228518,2.6417636509092848,2.5755125248676736,2.2856638484356204,2.434728882029247,0.0652473211015877,3.5559790000365346,4.632559798212736,4.56731247711115,2.870882128469862,0.0978709816523816,1.468064724785724,1.4354410642349302,1.373189793592089
