,r ($\AA$),g_full(r),O (DOL),O (DOL),O (PEGDME),O (PEGDME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
84,4.2250000000000005,0.9588700912602234,1.330196861054873,1.3753977252654754,2.0689753907732222,1.624459868121156,1.120544325164639,1.759873295964096,1.5948851744674628,1.429897052970828,1.6155086896545403,1.814452699792529,1.6248830147395783,2.437324522109367,2.437324522109367,1.3269877953706557,1.3540691789496486,1.1915808774756909,1.2999064117916628,0.5471544845551639
85,4.275,0.9727785483551492,1.2702507816607969,1.3295375609438729,2.380025181365874,1.5753175269212525,1.2959255472881304,1.524223312095366,1.5712257930850904,1.4973647515298087,1.3899305092675802,1.851612887474016,1.4812903099792116,2.5129032044290205,2.45999997907262,1.4283870846228108,1.5870967606920126,1.4812903099792116,1.7193548240830137,0.4988018390746326
86,4.325,0.9796301097060832,1.3384124070149654,1.2472130348979231,2.780605180611316,1.714558465999948,1.233334045211919,1.3776603696516128,1.5219866940913058,1.5744689938875571,1.554788131463963,1.8865796404031456,1.7315183000960368,2.248389434453064,2.506825001631577,1.318021392610417,1.860736083685294,1.5506134030710783,1.4213956194818225,0.4873356409651964
87,4.375,0.9847831664496026,1.1622609881969843,1.257409815210002,2.8997307607943954,1.6169905814310064,1.4809863968534442,1.5386871655620202,1.6284439168864713,1.6925558821182218,1.6027991307937706,1.894217154574453,1.4396050374765843,2.6771602451318928,2.0710107556680684,0.8334555480127597,2.2983168142170025,1.5911424098425404,1.540629952387222,0.4507463678028193
88,4.425,0.986708636991495,1.1832379219433382,1.17499646378055,2.857909579066934,1.536099877687055,1.134350678907364,1.616919752254694,1.6482554063681567,1.5417141823823823,1.4853100049781494,2.3207375349485946,1.0122365843924737,2.271360140587987,2.172605351866771,1.0863026759333865,2.073850563145554,1.7282088026212952,1.4319444364576448,0.5237530758964538
89,4.4750000000000005,0.991628259097118,1.0625473506383494,1.1396770066435165,2.6823780507058235,1.4169096741160696,1.0601209986583933,1.5932454315097235,1.5319667610670429,1.5074552928899692,1.5013274258457012,2.220887571195373,1.5691053492141216,2.462288394151392,2.462288394151391,0.9414632095284728,2.631268970220605,1.5691053492141218,1.400124773144908,0.4308265707653846
90,4.525,0.998092521647481,1.1112525125391677,1.089860620200521,2.2764773323932754,1.397943745114944,0.9109655075903657,1.4084006202877364,1.6780943560875154,1.5941896382831398,1.5881964441542558,2.266517052377941,1.5582304735098351,2.50261257866731,2.50261257866731,1.3221349472204658,2.172078841862194,1.2513062893336555,1.534620920880898,0.357756996469095
91,4.575,1.006044459251429,1.0133010599251389,1.0011855037738606,1.9451433616361855,1.030132045601205,0.7563157108478045,1.4833168592596475,1.4540022968236863,1.319155309618263,1.4657281217980702,2.1479579384895358,1.5243572466699926,2.3789211576819578,2.147957938489534,1.5474535685892343,2.5867880549551376,1.431971958993023,1.5936462124277193,0.4277533090145384
92,4.625,1.013891571190526,0.9764222851391784,0.959178624474469,1.736288441227415,0.9147559908480006,0.6482621583353984,1.4514188146801403,1.503050314016588,1.3137348164496123,1.130156152142243,2.5085607253364994,1.4463773551489714,2.350363202117079,2.4181621406396867,1.4237777089747687,2.44076178681389,1.3559787704521609,1.51417629367158,0.4642151811088778
93,4.675,1.0222238872815177,0.8870861827306861,0.9007985731890676,1.36480037531844,0.8002520306532915,0.6793880934089994,1.2408658565569328,1.330702298660602,1.3082431881346848,1.2689397447143294,2.5879020537818374,1.4156045422396364,2.5215455908643536,2.5879020537818374,1.1059410486247157,2.4330703069743764,1.8358621407170292,1.4598421841846252,0.4915795110009455
