,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DME),O (DME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
76,3.825,0.975269974943699,0.5191775986529032,0.5535809335033969,0.1279952027771051,0.0977417912116075,1.0155479515447794,0.5577189569959038,0.4828014851606331,0.5244223028468946,0.4578289945488762,0.1311686375567028,2.5249962729665274,3.180839460750044,3.2464237795283943,2.5249962729665283,0.0983764781675271,0.3279215938917571,0.4262980720592843,0.4527325678934153
77,3.875,0.9772078476557554,0.6064298323691308,0.5957639810460553,0.1133758696707836,0.0816306261629642,1.1192814702729506,0.5515299998446427,0.632637352762973,0.6407480880548058,0.7218554409731354,0.0319513814526753,2.364402227497981,3.131235382362189,3.322943671078241,2.7158674234774094,0.1278055258107015,0.41536795888478,0.3514651959794292,0.5271977939691441
78,3.925,0.9914805817853976,0.7514710363667807,0.7885990519975504,0.0640933348540463,0.1171360947332569,1.4308794503954396,0.5850004382832177,0.5454733816424597,0.6640545515647338,0.6403383175802787,0.1557126473726829,2.0554069453194166,4.0485288316897545,3.051967888504586,1.9308368274212693,0.0934275884236097,0.3737103536944391,0.3737103536944391,0.8599151505928163
79,3.975,1.0049919874382778,0.8934126482865818,0.8977566319897579,0.090504331433057,0.1271370370131039,1.371985991339585,0.6705774227333925,0.7014085686061924,0.7784864332881916,0.7553630738835917,0.091092021896908,1.7611124233402242,3.340040802886632,3.2489487809897244,1.94329646713404,0.0303640072989693,0.2732760656907241,0.3947320948866015,0.8077445615144192
80,4.025,1.0095787044419382,0.9560888186863014,0.917958245415208,0.0777614653949081,0.1071847225713599,1.6237757971444011,0.7592655347758543,0.7667830153181898,0.917132626164893,0.8194053791145357,0.1776859037279228,1.8064733545672131,3.316803536254556,3.524103757270465,1.8360876718552013,0.0888429518639613,0.4738290766077942,0.5330577111837685,1.3063540166935532
81,4.075,1.0067370721387958,1.0085497615800507,0.8969479437002906,0.0820161507742399,0.1209738223920039,1.5108321312816262,0.7627502022004325,0.836091567796628,0.8507598409158668,0.8947646602735843,0.1155682124546109,1.126790071432456,3.69818279854755,3.1781258425018017,1.2134662307734143,0.1444602655682636,0.5489490091594018,0.6067331153867072,1.478801412429409
82,4.125,0.997016756571868,0.8027272992893414,0.8834034097706818,0.106052940072174,0.0920459479871699,1.896716043598497,0.9662515693803656,0.8231031887314224,0.951936731315472,0.944779312283024,0.1409794657906258,1.2124234057993832,3.0733523542356465,3.186135926868145,0.8458767947437554,0.169175358948751,0.6767014357950041,0.7048973289531293,1.5950819558025084
83,4.175,0.9896459440664876,0.7140484390333717,0.6208546170271781,0.128921648907069,0.1152481406896525,2.0891167197895517,1.0550388785559277,1.0550388785559273,0.824467468010592,1.0061297914705534,0.1651475667817826,0.7982132394452831,3.35800052456291,2.890082418681192,0.6055410781998698,0.1100983778545217,0.5229672948089784,0.7982132394452831,1.6590589744557656
84,4.2250000000000005,0.9905215865714436,0.5742043041590703,0.5447250653294753,0.1392401335872676,0.1316105372263215,2.1764157234633665,1.0302155932381452,1.2007810888073742,0.9142310562510686,1.0233929734153762,0.0806309615418175,0.671924679515146,3.924040128368458,2.9564685898666445,0.5106627564315109,0.1881389102642409,0.5375397436121168,0.5375397436121168,1.484267904300398
85,4.275,0.9965919559503014,0.4669588037250159,0.4406688978852698,0.1434543105750166,0.1415912675805359,2.0325082514786943,1.0662338368412825,1.1661932590451527,1.0529059138807662,1.1262094901636035,0.2362677252091478,0.5250393893536619,3.1764883055896576,3.6490237560079546,0.4725354504182957,0.1050078778707323,0.6825512061597605,0.9713228703042746,1.387871977674143
86,4.325,1.0123772083238989,0.4011840958504235,0.3742754064946023,0.147437522558405,0.1419768735747603,2.2397061831379386,1.028702258534285,0.918019104135027,0.9896376158051352,0.9896376158051352,0.2051880224157377,0.4616730504354096,3.821626917493112,3.82162691749311,0.2821335308216393,0.1538910168118032,0.8976975980688524,0.7438065812570492,1.2005069627818732
87,4.375,1.0320868510649872,0.3932619976730852,0.3872853715686309,0.1725484088754334,0.1600964618431856,2.220620026514652,0.986235255328856,0.8144394366586685,0.992598063427752,0.973509639131065,0.1253280383115847,0.1253280383115847,3.709709934022907,3.283594603763518,0.451180937921705,0.2757216842854864,0.7018370145448747,1.2282147754535309,0.8693673514715848
88,4.425,1.053175032668429,0.3119801878808916,0.3201594437429375,0.1791043443389185,0.1825820985979266,1.940586876526536,1.063590884250121,1.0013925869255524,0.939194289600984,1.0013925869255522,0.1470141573126164,0.2940283146252328,3.479335056398583,3.3568232586380686,0.4165401123857464,0.1225117977605136,1.004596741636212,1.34762977536565,0.7920762761332795
