,r ($\AA$),g_full(r),Si (TFMTMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),O (DOL),O (DOL),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
88,4.425,1.0125713644362826,0.0024845832175069,8.947939775172435,3.833903026399229,3.353040612918647,4.054839810971387,3.593471819658937,0.61037448984998,0.6176989837281796,0.3583823065252489,0.6399684045093733,6.066900474748857,5.734116904403984,0.6399684045093734,0.5119747236074986,2.5854723542178686,2.5342748818571192,2.706674533684131
89,4.4750000000000005,1.012762728698466,0.0,7.001825452241099,3.106980622636932,3.3611303668199115,3.195933033100973,3.234055494728421,0.6039729108510273,0.566970617893751,0.400478384773181,0.5506577790631237,4.705621021084873,6.132325266839331,0.8760464666913335,0.3253886876282096,2.5530497029290298,3.3289765734270653,1.736257691127603
90,4.525,1.006004919732009,0.0,5.145280240972967,2.8274184899066417,2.5788542270577075,2.5415695876303657,2.5353554810591428,0.584862371363843,0.5393341628145617,0.4406366477776587,0.5875155303702118,5.018361821912218,5.654836979813281,1.223990688271274,0.4895962753085097,1.9828649149994624,2.9865372793819054,1.2447235917664814
91,4.575,1.0032714539198655,0.0,3.908811580884011,2.316107639683996,2.2796335036259805,2.2492383902443005,2.1215789140412458,0.6098349049006375,0.6006988014564332,0.4789533017719228,0.93395893845525,4.957166673339409,4.574004031921869,0.7184299526578845,0.6944822875692882,2.394766508859617,2.969510470985925,0.9354251220321028
92,4.625,0.997226522340426,0.0,2.8075957586599447,2.188972964378941,2.0819036345995365,2.188972964378941,1.9450928243258527,0.5631970525968685,0.6101301403132742,0.5858170400388302,0.6092497216403834,5.225487997146372,5.178622633943268,0.7498458112497028,0.6795477664450432,2.811921792186389,3.0931139714050278,0.6707007335954775
93,4.675,0.9964880835548098,0.0022259599596507,2.0259660186606325,2.1074703987216923,2.060896467258228,1.991035570063035,1.7872746199103853,0.5840249859453739,0.6124606594183695,0.5045509241875141,0.8944311837869565,4.426287653099555,4.953772710204683,0.756826386281271,0.6880239875284284,2.453952222184725,3.210778608465999,0.4942539665510341
94,4.7250000000000005,0.998017362431814,0.004358198787784,1.5729745163294482,2.0916001720757524,1.9377222302609156,1.7781451054158988,1.9377222302609165,0.6991382188322393,0.6092031340207414,0.4939291959488608,0.6286371584803685,4.961743286577188,4.04123887594522,0.7857964481004605,0.8306991022776298,2.918672521515993,3.435053044553438,0.3931273192246036
95,4.775,1.001131014583154,0.0042674062981441,1.3281481447916417,1.8582913118303237,1.791325859151753,1.914095855729132,1.796906313541634,0.6751382102902084,0.7265074219427243,0.6595082460768278,0.7694262870896326,4.484656073322425,4.59457411433523,0.9013279363049984,0.8133935034947544,3.12167236476365,3.3195248385866982,0.4885744761752822
96,4.825,1.0052459761057266,0.0020897108444629,1.109475711421792,2.21895142284358,1.7762542177935072,1.9948701215219395,1.863700579284879,0.727956208332715,0.7259027352485607,0.9688659369782772,1.098048061908714,3.875463747913109,4.435252955945001,0.904274874513058,0.9258052286681316,3.272613831571071,3.530978081431944,0.4930011706528922
97,4.875,1.0086436470490137,0.0143294562583656,0.8887412211232496,2.029113992805493,2.0612371694725997,2.082652620584001,1.6971745005787364,0.8287655791378445,0.7915515907542274,0.7170931357000302,0.9912758052323952,3.6065566530795623,3.712011525976629,1.4130952968206485,0.8014570340176811,3.6276476276589777,3.7752844497148654,0.4048175835089309
98,4.925000000000001,1.0126100099722568,0.0040114234968743,0.8078389780628575,2.0773002293044907,2.12975730580208,1.9566489533600384,1.9566489533600384,0.8494710971560312,0.8396164440567729,0.9092559926248612,0.888591083701569,3.5336994258829875,4.09165196681188,0.7852665390851076,1.0745752640111998,3.82300815080908,3.4923696080364013,0.5218943835219233
99,4.9750000000000005,1.0144209743652106,0.0019655988640706,0.9099210741520752,1.9432212770027384,1.9586436680900603,1.8558277275079056,1.840405336420582,0.913605807282766,0.9541675873101187,0.992329608345954,1.215097479607291,4.232589553965401,3.685795688142116,1.0530844823263188,0.9720779836858322,3.1390018223188374,3.746550562122483,0.5523733950663757
100,5.025,1.0198808886297253,0.0096333869941192,0.7155383447324267,2.14661503419728,1.934976932234168,1.8795479055295417,2.055912990498802,0.999644874672998,0.9986982412689516,1.449094940569936,1.091783859333514,3.354754040497523,3.612812043612718,1.091783859333514,1.1910369374547425,3.930421893600648,4.029674971721875,0.7152298343797112
101,5.075,1.0242623317493158,0.0056667018987699,0.785492063198733,1.981020863790516,2.000781670411868,1.911858040615784,1.8278746124750396,0.9837569192277013,0.9902534271848652,1.2260682290066005,1.3622980322295557,3.035978471825864,2.9192100690633302,1.2649910299274447,1.2260682290066005,3.7560502888614855,3.4057450805738867,0.8257194195350568
102,5.125,1.0250367701981593,0.0074088964575984,0.7653959955811322,2.0781954563563647,1.9861541657485076,2.116949683980726,2.102416848621591,1.041099843261379,1.0611209940933286,1.1831783130770863,1.1259277495410982,2.748027049727429,3.683119587481901,1.1068442283624358,1.1831783130770863,4.141124095769807,4.0647900110551545,0.9317821310193988
103,5.175000000000001,1.022318695602444,0.0090830276413108,0.7886862770393614,2.195018433687862,2.29954312100633,2.0334802805593184,1.9242044710900084,1.1147972595835467,1.1130121558852544,1.2540083010246157,1.1791421337992654,3.237961732496393,2.8823474381759806,1.2540083010246157,1.7406383879893914,4.360954240876647,4.098922655587921,0.8697462386332783
104,5.2250000000000005,1.0200319577002546,0.0302940777647185,0.866876686805792,2.111264188833464,2.14854920762081,2.018051641865099,2.0366941512587715,1.18374546641328,1.191625428837629,1.2301231577188758,1.1383229220682132,2.955967587951324,2.533686503958278,1.3953635818900672,1.5055238646708622,4.186090745670195,4.332971122711257,0.9397346571912704
