,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEE),O (TFEE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
83,4.175,0.9595303176837892,2.036000410217325,1.8326644418817415,0.0100774797141107,0.0100774797141107,10.992411513385656,4.645769827588183,4.385719171580978,4.849593314728968,4.821479730295758,0.1938133472289573,0.8029410099485377,5.316023238279967,5.648274690672464,0.9136914940793704,0.2491885892943737,2.6303239981072783,2.5749487560418616,5.873731033367372
84,4.2250000000000005,0.9621793890789232,1.3447372990006223,1.3821269266813694,0.009840373613746,0.0131204981516613,11.186738577924205,5.023737815362279,4.584503908008197,5.003148725955056,4.488421490774492,0.1892532460663881,0.7840491622750371,5.001692931754548,4.731331151659708,0.9192300523224572,0.1351808900474201,2.730653978957888,2.379183664834596,5.68090793440097
85,4.275,0.9652201132018202,1.0213046356982476,1.0288605269611195,0.012815384200754,0.012815384200754,11.529902585539991,4.799657122817812,4.772843395874696,4.859988008439822,4.7326228054600215,0.1848522084714833,0.7922237505920715,4.779749961905491,5.862455754381325,0.8714461256512785,0.1848522084714833,2.5087085435415597,2.4030787101292823,5.006369068792552
86,4.325,0.9771615805874202,0.7492933356588611,0.6902357328483105,0.009390593093957,0.009390593093957,11.107675080408994,4.617282388967182,4.492844991250336,4.826861164069238,4.597634378801364,0.3612058434524078,0.7224116869048157,4.979480556165338,4.411871373597271,0.7482121042942734,0.3096050086734925,2.8122454954508918,2.3478379824406512,4.587208904019499
87,4.375,0.991871669699582,0.574749619884291,0.5494991135713827,0.0152952996923428,0.0122362397538742,9.95276916595896,4.493147237622631,4.025911128867001,4.7107640553992285,3.878699752135777,0.3277829073462076,0.9077065126510362,5.042813959172422,5.395810936314493,1.0589909314262085,0.2521406979586212,2.597049188973798,2.49619290979035,3.217881336090281
88,4.425,1.004491320553842,0.5148190128051199,0.5124682410571513,0.0209322396087496,0.0149515997205354,8.734310512436888,4.091861801671719,3.635124933901024,3.8228250165465183,3.691434958694672,0.3204173127988698,0.7640720535973052,5.323856889581213,5.200619461581652,0.8133670247971314,0.3450647983987829,2.83446084399,2.711223415990434,2.323905785134659
89,4.4750000000000005,1.0193057319568006,0.5022297990928764,0.4390200989782121,0.0116954846201463,0.0204670980852561,7.029166187240604,3.1750541785708166,2.985407397191828,3.4136420648218024,3.022113225845827,0.3373970108599808,0.7470933811899574,4.844057084489726,5.880347903559663,0.9639914595999453,0.5301953027799696,2.62687672740985,2.409978648999862,1.923310511615095
90,4.525,1.033233220988371,0.4687120371324212,0.4788281242647759,0.0200172900609169,0.0228769029267622,5.217341676712683,2.57875488837519,2.6984186882997925,2.59670445836388,2.794149728239475,0.3064118513220887,0.5656834178253943,4.549037485012552,4.572607627421945,0.8956654115568743,0.4714028481878287,2.73413651948941,2.357014240939146,1.4683236674421922
91,4.575,1.0431961255066582,0.4772158369374479,0.4453281427642084,0.0335693981255808,0.0307719482817824,3.529434873695687,2.329544079155694,2.563669112236668,2.505137853966425,2.5168441056204736,0.3689242945518381,0.8070218943321462,4.957420208040321,4.565438145078993,0.8992529679701056,0.3458665261423482,3.0205676616431725,2.8591632827767435,0.9006646680768082
92,4.625,1.058869834992587,0.4820165476914576,0.4368274963453834,0.0191610438305657,0.0383220876611314,2.6803563026985646,2.1305396252219384,2.44553876335959,2.1133578540507933,2.1706304246212764,0.5640480434971731,0.8122291826359288,4.625193956676812,5.279489687133533,0.789667260896042,0.5414861217572862,3.181230965324052,3.587345556642016,0.638180072071087
93,4.675,1.0722230278515203,0.5233601561315224,0.4991402696304658,0.0321486472993561,0.0267905394161301,1.7825188441058395,1.922653973359444,2.3094269300993906,2.0964215336339125,1.9618918095504525,0.3533103864818132,0.7507845712738531,5.299655797227199,5.564638587088558,0.8832759662045332,0.6403750754982863,2.958974486785185,2.2081899155113343,0.4833232008950824
94,4.7250000000000005,1.0800538679804508,0.6092442518635467,0.5308981213362551,0.0131132745561353,0.0314718589347248,1.4431864748426129,1.9919265793455088,1.9974139803905369,1.8931533605349864,1.9205903657601315,0.5188088260754649,0.8214473079528191,5.339407501693328,4.885449778877296,1.0808517209905508,0.6268939981745197,3.5884277136886324,3.329023300650899,0.4804275608811063
95,4.775,1.0846192989746002,0.6207775942699644,0.5804018157808609,0.0487923470197363,0.0231121643777698,1.219690151573522,1.697894660340234,2.288933940838416,1.859087191385192,1.91819111943501,0.3810005279244484,0.7831677518446989,4.656673119076589,4.381506071131153,1.1430015837733445,0.6561675758698833,3.111504311382993,3.704171799265467,0.4062709711031104
96,4.825,1.0860879901762397,0.6168757609532014,0.624784424555165,0.0402411412688174,0.0352109986102152,1.0682475270668372,1.894429112039712,1.926002930573707,1.9575767491077007,1.9733636583747,0.4353359828172066,0.7877508260501834,4.06313583962726,4.146056979211491,0.9535931052186436,0.7670205411541259,3.1717335890967884,3.130273019304674,0.50260364196972
97,4.875,1.082927086354639,0.6410864239709642,0.6991909336964289,0.0468111577126479,0.039419922284335,0.8196311533427519,2.0001062106728784,1.9794865590164572,1.603177916286766,1.7165860003970834,0.7513676096014176,0.9341327038287892,4.2239043999214845,4.081753771077972,1.1575122634400217,0.9544399365207196,3.675609117239369,3.858374211466741,0.7590346260259215
98,4.925000000000001,1.080734956237957,0.7163782464754784,0.7400993804647326,0.0579353813666962,0.0434515360250222,0.7929719634241665,2.0152599580015425,2.0758692800467027,1.9142444212596117,1.732416455124134,0.895364984758033,0.9351589840806124,3.720738936661159,4.19826692853211,1.5519659735805906,0.736188987467716,3.322798943435367,3.780429935645028,0.7035010594527396
99,4.9750000000000005,1.0768748226283626,0.8182848003531152,0.822934145809667,0.0544110163871163,0.0827993727630031,0.6880172934996983,1.9452575276646156,2.004654704081856,2.044252821693349,1.856161763038755,0.7604638495843614,1.0529499455783466,3.626827590325413,4.387291439909773,1.189443457042206,0.9359555071807522,3.5488312980603496,3.548831298060351,0.9061099871813664
100,5.025,1.0759356520099717,0.8367170207836768,0.8166649788912586,0.0533336060761606,0.0556524585142546,0.6938006494777067,1.6932617249490878,1.994070398149212,2.134771229162173,1.916442353452405,0.6116148976112021,0.9174223464168032,3.2492041435595085,3.516785661264407,1.1467779330210042,0.9938742086182036,3.669689385667208,3.99460980002316,0.8624238128943663
