,r ($\AA$),g_full(r),O (DOL),O (DOL),O (MeTHF),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
49,2.475,0.7218709634996449,0.1849567513618883,0.1368679960077973,0.1290656187654723,0.0,0.8860851134475691,0.905775893746404,0.9648482346429086,0.7482496513557251,5.585021321124075,9.30836886854013,2.2495224765638624,2.5598014388485337,9.153229387397792,7.291555613689769,0.0,0.0,0.0
50,2.5250000000000004,0.7638544680592915,0.1208390555349161,0.1457176846156342,0.1498392342112393,0.0,0.7567477504992033,0.7756664442616835,0.7189103629742432,0.5864795066368829,2.1613174389257543,9.614136193842148,1.863204688729099,1.4160355634341153,9.539608006292983,4.769804003146492,0.0745281875491639,0.1490563750983279,0.0
51,2.575,0.8193952103312415,0.112774572365517,0.0683482256760709,0.0695543708350603,0.0,0.5275431511028429,0.5457342942443202,0.5275431511028429,0.4547785785369335,2.364848608392055,8.384463247935466,2.6514969245607887,2.7948210826451545,10.104353144947863,2.078200292223321,0.1433241580843669,0.0716620790421834,0.0
52,2.625,0.8399021874824977,0.0920771029612159,0.1019425068499176,0.0430264253633293,0.0,0.5951621094701892,0.6476764132469708,0.4726287339910325,0.5076382698422204,1.5170798868847968,8.619772084572702,2.4824943603569407,2.206661653650614,10.205810148134082,2.137703476974032,0.1379163533531633,0.2068745300297449,0.0
53,2.6750000000000003,0.8185343300208577,0.0570003666628678,0.0538336796260418,0.0598477239144677,0.0168565186883352,0.4045564485200469,0.4719825232733883,0.3708434111433764,0.4719825232733882,0.7968536107213046,8.898198653054576,1.5937072214426098,1.9257295592431536,7.968536107213053,0.8632580782814133,0.1992134026803261,0.1328089351202174,0.0
54,2.725,0.8008289096568678,0.1037526219164677,0.0549278586616593,0.0177451345442895,0.0,0.47106507163341,0.3248724631954554,0.6659885495506831,0.3248724631954554,0.2559601225176315,8.702644165599473,1.5997507657351966,1.1518205513293416,8.70264416559947,0.7678803675528945,0.1919700918882236,0.1279800612588157,0.0
55,2.7750000000000004,0.824952826763286,0.0617940886581237,0.0617940886581237,0.029945034559819,0.0469906696169468,0.4072524700135391,0.3132711307796454,0.5325609223253973,0.3289346873186277,0.4319344378931474,9.194033035154147,1.727737751572591,1.666032831873569,7.774819882076661,0.4319344378931474,0.061704919699021,0.3085245984951053,0.0
56,2.825,0.8578549145037551,0.0539474250933769,0.0567867632561862,0.0082555546582522,0.0151140154512618,0.3929644017328092,0.3325083399277617,0.4383064480865949,0.3929644017328092,0.2381602434744298,8.33560852160505,1.4289614608465795,1.8457418869268325,8.514228704210872,0.2381602434744298,0.2381602434744298,0.1190801217372149,0.0200492041700412
57,2.875,0.8816784282372988,0.0438630371371707,0.0548287964214634,0.0119563635893863,0.0583715801902349,0.4815655365694382,0.3210436910462922,0.4669726415218794,0.3794152712365272,0.3449229738513885,8.623074346284705,1.7246148692569423,2.069537843108332,7.358356775496286,0.1149743246171294,0.1724614869256942,0.5173844607770828,0.0
58,2.9250000000000003,0.9152189122091254,0.0291337057989162,0.0476733367618629,0.0115511026047651,0.0140982688201748,0.3383584516841964,0.4511446022455952,0.2678671075833221,0.5357342151666445,0.16661590423843,8.053102038190788,1.943852216115016,1.3884658686535831,8.275256577175364,0.16661590423843,0.1110772694922866,0.49984771271529,0.0187017851696196
59,2.975,0.949738001958475,0.066566319670073,0.0486446182204379,0.0260542382419063,0.0408851123180684,0.4906213478168223,0.4361078647260641,0.4769929770441328,0.3952227524079955,0.1610625636772395,8.267878268764958,1.7716882004496357,1.6643131579981425,9.234253650828396,0.1610625636772395,0.2684376061287326,0.4831876910317185,0.0
60,3.0250000000000004,0.9815930013107268,0.0594313995123755,0.0619077078253911,0.0144000449798893,0.0659078981771856,0.3559026501568026,0.3295394908859284,0.3295394908859284,0.4086289686985511,0.1557823047824388,6.958276280282263,2.129024832026663,1.8693876573892656,8.46417189317917,0.2077097397099185,0.3634920444923574,0.3115646095648777,0.0
61,3.075,1.0071483855763854,0.0623072954275002,0.0575144265484617,0.003483892084343,0.0765384291760298,0.4974997896441939,0.4719869799188506,0.3826921458801491,0.4082049556054924,0.050252504004464,6.784088040602646,1.60808012814285,1.507575120133922,8.392168168745492,0.1507575120133922,0.2512625200223203,0.3517675280312484,0.0
62,3.125,1.0246203082264878,0.0649701821304116,0.0765720003679851,0.0168665088663883,0.1729206385932495,0.457004544853588,0.4446530706683559,0.3581927513717312,0.345841277186499,0.0973146450957681,6.617395866512231,1.7516636117238271,1.557034321532291,7.298598382182607,0.0,0.4379159029309568,0.2919439352873045,0.0
