,r ($\AA$),g_full(r),O (DOL),O (DOL),O (OFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
70,3.5250000000000004,0.809438264157155,0.5371366836029706,0.4510450897153862,0.0,4.144374467492743,1.6139150570524623,1.4047038459530683,1.6338399343000232,1.7733140750329524,0.078491940672211,7.064274660498988,4.356302707307712,4.670270469996557,7.69221018587668,0.1177379110083166,0.8634113473943219,0.7064274660498997,0.3832489144046225
71,3.575,0.8161994372728304,0.587721788649584,0.5440520582236082,0.0,5.036575575795814,1.7821728960508283,1.7628014515285364,1.3560011165604122,1.636887062133641,0.1526235022968428,6.98252523008056,3.5103405528273863,4.998419700221599,6.906213478932138,0.0381558755742107,1.0683645160779005,1.0302086405036894,0.5010878761633594
72,3.625,0.8390161346068146,0.7485932401514742,0.8016849593111537,0.0,5.915996652701716,1.5449418010240143,1.771030845076308,1.8840753671024555,1.884075367102455,0.0,7.75611026123845,3.785278692087664,4.898595954466384,6.828345875922841,0.1484423016504965,1.0762066869660991,0.8906538099029789,0.6748065855642471
73,3.675,0.882510259672843,0.9556525827997834,0.879889134794035,0.0,6.617698766857373,2.1539601249466505,2.282281153666875,2.007307520694963,2.1722917004781106,0.1083229463222687,5.885546750176609,4.549563745535291,5.055070828372547,6.174407940369322,0.1083229463222687,1.0832294632226869,1.2637677070931348,0.7538392795080328
74,3.725,0.9226023752727052,1.208383066699284,1.059220663181619,0.0,6.869463707031328,2.02515358635859,2.2125025965503524,2.2481881223011646,2.221423977988056,0.0702896719334177,5.939477278373803,4.639118347605573,4.885132199372531,4.322814823905193,0.1757241798335445,0.8786208991677222,1.089489914967976,0.9349243608694902
75,3.775,0.9215015250257688,1.32508643817385,1.3985210314224008,0.0,8.078558432655964,2.545180237385157,2.467000639649777,2.5625534813263533,2.4670006396497763,0.1368801037791169,4.893463710103427,4.653923528489974,5.33832404738556,4.243283217152623,0.1026600778343377,1.026600778343377,1.231920934012053,1.2214454158656922
76,3.825,0.8941729634259539,1.695991991476754,1.5672428337357824,0.0045451697355755,8.097184921083775,2.7498276900232246,2.8513597893471605,2.8767428141781437,3.0967290293800027,0.1333249789102169,4.366393059309601,4.999686709133132,4.999686709133132,3.833093143668735,0.1666562236377711,1.3665810338297235,1.4999060127399408,2.009057781690439
77,3.875,0.8797316032886848,2.0412416060961465,2.086155116397199,0.008857266779233,8.458417242882078,3.116258984219708,2.7947402001335484,3.371825197211272,3.124503055606533,0.0649532897143759,3.929674027719742,4.611683569720687,4.351870410863183,3.539954289433485,0.0649532897143759,1.331542439144706,1.851168756859712,2.1434585605744023
78,3.925,0.8848908053325463,2.468090058358811,2.4484661007082518,0.0,9.578163434006504,3.4391392195929344,3.101653595240357,3.1659365713075145,3.543599055702066,0.2215814705345209,3.3870310495991047,4.399974914899773,5.476227771781727,3.102140587483292,0.1582724789532292,1.5510702937416465,1.3611433189977715,2.8246792417265114
79,3.975,0.9049345634835908,2.8184947290165643,2.961259213985028,0.0,9.581591424311648,3.776228181944574,3.502020741346938,3.791897178550153,4.355981056351001,0.1234527005288053,2.808548937030322,5.185013422209826,5.030697546548818,2.469054010576107,0.1234527005288053,1.5431587566100669,1.5122955814778656,3.647838342411104
