,r ($\AA$),g_full(r),O (DOL),O (DOL),N (Me-Im - i),N (Me-Im),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
78,3.925,0.9824078240199404,0.8256630190275288,0.9207576629009006,5.544449681010497,0.0430202489215588,0.6267189862892691,0.5463703983034655,0.4660218103176615,0.5785098334977868,0.3776383635332774,0.0633049481100271,3.608382042271552,1.2660989622005427,1.32940391031057,3.101942457391333,0.0316524740550135,0.5380920589352306,0.5380920589352307,0.2877791263573172
79,3.975,0.9937550619840204,0.9904573385019748,1.1494014582021437,7.132293693468609,0.0419447994205399,0.5797158462682505,0.5875498441907945,0.5013758670428112,0.4700398753526355,0.5248778608104431,0.0,2.993536781917542,1.7590886244257715,1.1110033417425926,3.055259189792131,0.0617224078745884,0.5555016708712959,0.3086120393729422,0.1870566850893139
80,4.025,0.997774895461366,1.1884849447662602,1.2760424105038717,9.029473907974587,0.0572728500868268,0.8481039165494795,0.6570895209302274,0.4889968527852856,0.6723706725797676,0.5042780044348257,0.0902977142927373,2.919626095465175,1.324366476293482,1.324366476293482,3.1002215240506508,0.1504961904878956,0.5718855238540034,0.3912900952685286,0.2635219008951315
81,4.075,1.003399816711327,1.1959083494589513,1.1945079883940115,10.523849517198489,0.0638583101771753,0.9243244789260818,0.626155292175733,0.5888841438319393,0.6187010625069742,0.5739756844944218,0.1174605887198345,2.3492117743966907,1.6444482420776836,1.3214316230981389,2.907149570815905,0.0293651471799586,0.557937796419214,0.6166680907791313,0.3955305538525042
82,4.125,1.0216713910832442,1.05912978497108,1.0686961185127544,10.53357564228753,0.0623196310740276,0.9093273091811256,0.5819694778759208,0.6547156626104109,0.6983633734511043,0.6110679517697168,0.0573151758514164,2.349922209908072,1.490194572136826,1.5475097479882425,1.862743215171032,0.2006031154799575,0.4298638188856232,0.6018093464398725,0.463200196676753
83,4.175,1.037915119733695,0.9418619509676852,0.9565368538864448,9.397625848948984,0.0760448765896502,1.1575317130240894,0.7669535276478633,0.7101421552295029,0.5539108810790123,0.781156370752453,0.1119011880967702,2.042196682766057,1.6225672274031684,1.8463696035967088,1.8743449006209012,0.2517776732177331,0.839258910725777,0.559505940483851,0.3485493639442767
84,4.2250000000000005,1.0328696767004213,0.7451406146439716,0.8467506984590586,7.141910235335474,0.0772258956617685,1.4076704274169791,0.6934337080871824,0.7835800901385156,0.7905144272193874,0.665696359763695,0.1639025128206066,1.775610555556573,1.557073871795764,1.6117080427359662,1.6663422136761687,0.0819512564103033,0.4370733675216177,0.928780905983438,0.3679444165360557
85,4.275,1.0140527084248463,0.6807337692521619,0.6680097735652056,4.73903647203065,0.1160461946013015,1.253019944495494,0.76535812825941,0.6637619165435594,0.717946562792013,0.6840811588867296,0.0533636667598409,1.2273643354763426,2.081183003633796,1.6542736695550695,1.0939551685767397,0.1600910002795228,0.4269093340787275,1.0139096684369782,0.3953267557922911
86,4.325,0.9975654992563476,0.5755785921375927,0.5581744878396959,2.909577933339504,0.0892856355579098,1.5418506376789658,0.6882080099511269,0.6815906252400584,0.7411470876396752,0.800703550039292,0.1042739409016858,0.9906024385660164,1.355561231721917,1.6423145692015526,1.094876379467702,0.1042739409016858,0.8341915272134873,0.9906024385660164,0.3423483722971165
87,4.375,0.9874772706786232,0.4810996559128082,0.4920337390017353,1.760365361041651,0.1163420065519266,1.4486071379901424,0.7889735305124884,0.8148415151194557,0.8536434920299056,0.7437045574502967,0.0509520908925104,1.2228501814202513,2.1654638629316945,1.9616554993616533,0.5859490452638697,0.127380227231276,0.8916615906189326,0.8407094997264222,0.368882739675879
88,4.425,0.9855668185648044,0.5225432086678343,0.5284811996754236,1.0749974573765315,0.1367440090617503,1.3907688476851576,0.8471046617718687,0.7522795130660626,0.6448110111994821,0.708027777003353,0.1494214464455128,0.5478786369668803,1.9673823781992543,2.1168038246447667,0.6225893601896367,0.2988428928910256,0.8467215298579059,0.5478786369668803,0.3522076951929948
89,4.4750000000000005,0.991287071244734,0.4505487926899743,0.4656444996615456,0.6446982172408331,0.1641531395027995,1.149703334748452,0.7973748934545717,0.6984756818633069,0.8777305028724744,0.7973748934545718,0.1461011080325502,0.3652527700813756,1.9723649584394272,2.0697656971277936,0.5357040627860177,0.2435018467209171,0.7061553554906596,1.095758310244127,0.2869843193496522
90,4.525,1.0009156945092024,0.5099240050684812,0.5133310696903195,0.4298476960349491,0.1553666371210663,1.0881640238363888,0.7919415951253718,0.7617148166854721,0.8282137292532514,0.8463497963171915,0.0952601502348355,0.3572255633806331,2.1195383427250887,2.2147984929599245,0.6430060140851394,0.2857804507045065,1.143121802818026,0.9287864647896464,0.1844450357863269
91,4.575,1.0149896620502097,0.5699431621915735,0.5388351533390118,0.3394426270746438,0.1899865450044649,0.9758001238421632,0.7037588771952565,0.8220376800852158,0.7569843384957382,0.668275236328269,0.2562707395949116,0.4659467992634756,2.2365446364646853,2.56270739594912,0.4659467992634756,0.2329733996317378,1.0949749782691676,1.0949749782691676,0.1882805433758533
92,4.625,1.029403945413926,0.5457286010524,0.527247752012777,0.3420577885236643,0.1970550303451544,0.682838103701115,0.6770513401104276,0.7464925031986765,0.7696395575614262,0.8159336662869254,0.2051670727607356,0.2279634141785951,2.6443756044717017,1.7097256063394626,0.4103341455214713,0.2963524384321737,0.8434646324608022,0.7066865839536451,0.1228211047819369
93,4.675,1.0363666623421968,0.5639092278477846,0.5649732075229691,0.3275024094093435,0.2256127709264367,0.600346439493334,0.758928517850063,0.83255591137283,0.6456556047381137,0.6569828960493087,0.3569813019285688,0.3569813019285688,2.320378462535696,2.3426897939062306,0.4239152960401756,0.4239152960401756,1.1601892312678497,0.8255192607098157,0.1202079894249262
94,4.7250000000000005,1.0339670507404315,0.5957842972001243,0.5697447737210982,0.2837973449192238,0.2659857960749212,0.4158311595573751,0.8205734881932203,0.7096851789779203,0.7928514108893953,0.8316623191147503,0.305782913290676,0.305782913290676,2.6865213096252254,2.620996399634366,0.2402580032998169,0.6770907365722113,1.310498199817183,0.8081405565539296,0.0661935315213781
95,4.775,1.0350214859075169,0.6690426768516456,0.6425257414886233,0.331369280971696,0.2639327255458771,0.3691659498350262,0.7546186327510095,0.8903414084256511,1.0043485399923506,0.8251944761018233,0.3635725263526776,0.3849591455498939,1.9889555853411185,1.9461823469466857,0.4277323839443267,0.4918922415359756,1.0051711022691672,1.154877436649681,0.0792177833529543
96,4.825,1.0417044477568322,0.6852141077986117,0.7031934867204414,0.3518666150555508,0.2880979081199168,0.3456036170529435,0.9038863830615462,0.765644936240368,0.8985694043376544,0.8719845107181966,0.3770221276941205,0.397967801454905,2.6391548938588434,1.8641649647098173,0.3560764539333361,0.397967801454905,1.1310663830823622,1.1520120568431462,0.0705313504189681
97,4.875,1.0495364165147714,0.7857116637215283,0.7759269605618583,0.3848434979142827,0.2866805187361468,0.2187558558712759,0.9271081510735038,0.8802318962439446,0.9271081510735042,0.8281471686555453,0.5334738765114809,0.5745103285508256,2.605814704498392,2.523741800419701,0.3693280683541022,0.5539921025311534,1.4773122734164097,1.272130013219685,0.0760011841340924
98,4.925000000000001,1.056568907175936,0.742995536445682,0.7410781286096932,0.4142295867620479,0.3103989515578405,0.255162735096979,0.9083793369452454,0.8063142429064538,0.8318305164161518,0.903276082243306,0.623215649964136,0.3216596903040702,2.512966330500552,2.392343946636525,0.6835268418961492,0.5226969967441141,1.306742491860286,1.286638761216282,0.0541569886736444
