,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMA),N (DMA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
72,3.625,0.922656048339818,0.4307611000356819,0.3862609863956321,0.0306174395645038,3.0264161415682667,0.5400807638209615,0.4737550559832993,0.4453297526243016,0.4832301571029654,0.4263795503849695,0.1119784677778708,4.628443334818666,1.9409601081497616,2.164917043705504,4.927052582226322,0.0,0.4105877151855265,0.4479138711114834,0.2011041870296455
73,3.675,0.948277342510081,0.4676128064102806,0.4953231949382974,0.0206238407926012,4.0376897196181565,0.6268942512376682,0.3595422911510155,0.525484887066869,0.5715800525990506,0.4332945560025058,0.0726348062931344,5.266023456252243,2.179044188794034,2.070091979354332,4.39440578073463,0.0363174031465672,0.3994914346122394,0.508443644051941,0.3546505592986207
74,3.725,0.9683794865000716,0.5815727361396462,0.5023439865785931,0.0267652063119883,5.118845707167776,0.6729905240947073,0.5922316612033426,0.5742852472274836,0.4755799703602598,0.4486603493964715,0.0,4.383275655921897,1.7674498612588292,2.050241839060241,4.065134680895307,0.0,0.7776779389538847,0.3888389694769422,0.3928067140634415
75,3.775,0.9897883987027852,0.6417716301223759,0.5761172434090894,0.0412630916111993,6.241585541609849,0.5941216963808483,0.5242250262183955,0.471802523596556,0.5416991937590088,0.4543283560559428,0.0688376297054458,3.992582522915857,1.927453631752485,2.409317039690606,3.6139755595359047,0.0344188148527229,0.6883762970544587,0.58511985249629,0.4520103542393306
76,3.825,1.0058037288566597,0.7146320317127207,0.772186289300322,0.069806088074701,7.249256479757588,0.9020769022576396,0.6042213213235128,0.6467721185998165,0.6978330753313812,0.6127314807787736,0.0335248705813302,3.251912446389037,2.145591717205136,2.212641458367797,3.1513378346450467,0.1340994823253209,0.8045968939519257,0.6369725410452746,0.6547612478843481
77,3.875,1.0153761458009056,0.937758632061594,0.9502205407933094,0.057710789575937,8.281498304146965,1.0696631429449848,0.6136052137823946,0.5721454020403409,0.6136052137823944,0.5970212890855733,0.0653306124420239,3.593183684311315,2.3192367416918493,2.123244904365777,3.103204090996136,0.0979959186630359,0.6206408181992279,0.6533061244202399,0.7149702228986806
78,3.925,1.0184452334778504,1.1220268811176926,1.167576010256436,0.0723212176612081,9.17475002940938,1.0910768318311124,0.5980717448555722,0.7354666051602311,0.6061537954617289,0.7031384027356051,0.0318383811757675,3.056484592873686,2.324201825831032,1.9421412517218208,2.801777543467545,0.0318383811757675,0.6367676235153511,0.7322827670426539,0.7075917775594058
79,3.975,1.0196986278624671,1.2923444141284173,1.2760605784406591,0.0548436642249253,9.934538033886463,1.1268414295928415,0.7564809597266627,0.6304007997722191,0.7328409297352049,0.6225207897750661,0.0620849272502942,2.57652448088721,2.638609408137505,2.5144395536369166,3.1352888261398584,0.0310424636251471,0.5898068088777957,0.8071040542538254,0.8989644057976282
80,4.025,1.0186435037124395,1.367277425059366,1.4322483692279746,0.0821446957587036,9.754205035905596,1.2680995564395945,0.6763197634344499,0.7839160894353854,0.6148361485767728,0.6378925041484015,0.1211040898711825,1.87711339300333,2.9670502018439717,2.5129098648270376,2.149597595213491,0.0302760224677956,0.7871765841626864,0.7266245392270952,1.3355433176355154
81,4.075,1.0096903569465283,1.3071677361703613,1.3043505643251658,0.1006425215212592,9.266566981550016,1.31215196328109,0.6823190209061666,0.8247812340623993,0.7647971443124065,0.7273070882186615,0.0886128598579437,2.2743967363538884,2.953761995264792,2.717461035643608,1.9199452969221145,0.0886128598579437,0.8270533586741411,0.8270533586741414,1.283078042228798
82,4.125,1.0067483864242972,1.1890685784246096,1.2468037001515846,0.1109494199371338,7.377227004344504,1.719576098029435,0.8195426509757308,0.8195426509757313,0.8853987568577093,0.673195749015779,0.1441295246575284,1.7007283909588378,2.623157348767021,2.536679633972504,1.8736838205478723,0.0864777147945171,0.9224289578081828,0.9512548627396886,1.533655799110925
83,4.175,1.002337561534747,0.9447100321478634,1.0211993387280176,0.1171855895518024,5.278678147538012,1.771496469373775,0.7857444017383677,0.7714581398885795,0.8357463182126271,0.821460056362839,0.0844188200214774,1.4632595470389425,2.757681454034929,1.913493253820156,1.4632595470389425,0.0,1.0130258402577297,0.8160485935409487,1.4781907669066865
84,4.2250000000000005,1.002656883577396,0.7822757262835501,0.7966895168850895,0.1317660482037479,3.356566701611262,1.9599932937416389,0.8230576820694425,0.830032747171726,0.8160826169671591,1.0113844398310945,0.1373876459540672,1.0166685800600974,2.912618094226228,2.6927978606997187,1.2090112843957914,0.0824325875724403,0.6045056421978962,0.9617135216784708,1.5544430799374485
85,4.275,0.9999421120708089,0.6591345225932642,0.5849018967478095,0.1236215245997561,1.8712573244209685,1.825846930874628,0.8720462953431068,0.865233433660739,0.9674263588962596,0.9265491888020512,0.1878698221501484,0.9930262027936416,3.274302614616869,2.737531694187876,0.9125105647292924,0.107354184085799,0.6441251045147945,0.6441251045147945,1.3827328455336718
86,4.325,1.003073829179768,0.5076834330608413,0.5101843366719785,0.1621427144291366,0.9993285664816184,1.936969084545809,0.9917814212966506,0.7521563799095402,0.8653126494534533,0.8985939052016632,0.2097727635038678,0.6293182905116032,2.202614016790613,3.067926666244069,0.4719887178837024,0.0786647863139504,0.7604262677015206,0.7079830768255536,1.26265009052902
87,4.375,1.0076244181686622,0.4545965303152243,0.4753711029371567,0.1536070637910055,0.5190301839675027,1.8474141213769757,0.8066174332772702,0.8326373504797631,0.8911821641853717,0.8846771848847482,0.1281283801637892,0.3075081123930941,3.741348700782644,3.151958152029214,0.3587594644586098,0.3075081123930941,0.6918932528844617,1.076278393375829,0.9578250133468564
