,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
56,2.825,0.7744808531519081,0.0943022803748174,0.1057328598141892,0.0098627942294829,0.0456343902233382,0.7149387801656322,1.1256482921756776,0.8670534142434265,0.8518419508356471,0.479391574063351,11.745093564552114,1.498098668947972,2.0374141897692426,11.505397777520438,0.2996197337895943,0.479391574063351,0.3595436805475132,0.0
57,2.875,0.781145767785784,0.1020872667043543,0.1351966505003611,0.0047613660820525,0.1174958645478805,0.8224710518351646,0.8959059671775902,0.8665320010406201,0.8518450179721347,0.5207203087917434,11.050842108802552,1.56216092637523,2.545743731870745,10.58797961209878,0.1157156241759429,0.5207203087917434,0.8100093692316007,0.0
58,2.9250000000000003,0.8129034885700818,0.0773022577051488,0.0799678527984298,0.0045999795624699,0.113513341818489,0.6527017154563123,0.7804042250021123,0.8513500636386675,0.7945933927294232,0.0558967213500135,10.732170499202592,2.291765575350554,1.844591804550446,12.688555746453073,0.1676901640500406,0.5030704921501219,0.5589672135001355,0.0
59,2.975,0.8709212097190767,0.0695722578112541,0.1262607641759797,0.004446661347131,0.2057436000230252,0.754393200084426,0.740676960082891,0.7269607200813559,1.0150017601135908,0.2161346909332789,11.18497025579719,1.5669765092662722,2.161346909332789,11.18497025579719,0.1621010181999592,0.5943704000665171,0.5943704000665171,0.0
60,3.0250000000000004,0.9377857946115667,0.1071677977758661,0.0996909746752243,0.0043008824485819,0.1857319543564563,0.8888600672773262,0.7031281129208705,0.822527226435735,0.7694609537624615,0.2090489529553188,11.027332268393083,2.351800720747337,1.7246538618813805,12.02031479493085,0.2090489529553188,0.4180979059106377,0.4703601441494674,0.0
61,3.075,0.9740598402263684,0.115770504229344,0.10853484771501,0.0166486261277443,0.2054184331454,0.6676099077225507,0.7061258639373131,0.7703191242952504,0.5905779952930255,0.1517295244823977,9.660113058712646,2.2253663590751667,2.1242133427535683,11.531443860662218,0.0,0.6069180979295908,0.6069180979295908,0.0
62,3.125,0.9631900178555828,0.147125427411136,0.1191015364756815,0.0,0.372933317833356,0.8204532992333831,0.6588488615055956,0.7707288568556024,0.8950399628000543,0.1469131252070797,11.018484390530984,2.6934072954631305,2.595465211991743,9.696266263667262,0.0489710417356932,0.7835366677710917,0.3427972921498526,0.0
63,3.1750000000000003,0.9094570682491524,0.1900375171619525,0.135741083687109,0.0117123229316059,0.397408126548567,0.9874989811206808,0.818901594100077,0.855029605604492,0.8068589235986051,0.1423224695628475,8.776552289708945,2.27715951300556,2.419481982568408,9.48816463752318,0.2372041159380793,0.5692898782513902,0.616730701439006,0.0
64,3.225,0.8342680239151772,0.1841906774383575,0.1973471543982402,0.0037839908795672,0.5952799806002298,0.863739579694451,1.0621662398945275,0.8053787972826637,0.9921333010003828,0.1379436675187698,9.656056726313892,2.620929682856626,2.6209296828566253,8.966338388720043,0.1379436675187698,0.4138310025563096,0.8276620051126193,0.0154834728847598
65,3.2750000000000004,0.780490964379914,0.2083778379788799,0.2083778379788798,0.0,0.9620709913593184,1.0865742961234657,0.9847079558618904,0.6564719705745942,0.9394340268567464,0.0891759207677086,8.471712472932317,2.8536294645666764,2.496925781495843,9.36347168060941,0.0,0.9809351284447948,0.8025832869093776,0.0450429395714446
