,r ($\AA$),g_full(r),O (DOL),O (DOL),S (DMS),O (DMS-i),O (DMS-i),O (DMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
78,3.925,1.0249718382260566,1.291291657735987,1.3247372749971662,0.213049159218417,4.004182858524715,3.857711561562053,0.4508272387032575,1.0682015605262982,0.7740591018306504,0.8282432389587964,0.781799692848957,0.6811720096109722,0.152466186724219,2.378472512897813,2.500445462277189,2.866364310415316,2.0735401394493764,0.0609864746896876,0.6708512215865635,0.6098647468968761,1.0473493561504512
79,3.975,1.0309777555129391,1.4872777153481993,1.536900899368397,0.2003045250301629,4.108097434646394,4.150754879791706,0.409882407700611,1.0716862757276189,0.7924440771225355,0.8150853364688934,0.9282916332006842,0.8830091145079675,0.1486547330821495,1.9027805834515132,2.764978035327981,3.0325565548758493,2.0217043699172343,0.2081166263150093,0.8621974518764668,0.8027355586436075,1.1513157388709334
80,4.025,1.0353433415959694,1.450556697737626,1.5819226522515202,0.2098300248878575,4.525816571288099,4.513154414613831,0.4467932426491449,1.3175739314758683,0.8464860453615921,0.9348150240080184,0.927454275787483,0.8464860453615917,0.4059564170113566,1.8558007634804885,2.319750954350611,2.7837011452207325,1.8558007634804887,0.2029782085056783,0.6959252863051829,0.6379315124464178,1.0935968784795729
81,4.075,1.0297750510713717,1.54738833235794,1.555482778734703,0.1905943744214842,4.773683174167732,4.713681241479486,0.402365901556467,1.429064130322227,0.8976533481923535,0.8761096678357374,0.8545659874791207,0.9048345749778928,0.3111864940400161,1.8671189642400956,2.2065951395564767,2.772388765083777,1.527642788923715,0.3677658565927464,0.9335594821200488,0.8204007570145883,1.5241787463184475
82,4.125,1.027543977768635,1.3494823756755037,1.317884739562126,0.1946131658413423,5.097831600799763,4.9979416572705775,0.4477825054756547,1.5347944095224864,1.0021716920626282,0.911065174602389,0.9320897555547518,0.9881553047610528,0.2208642847520945,1.3527937441065794,3.478612484845488,3.1749240933113567,1.711698206828732,0.1656482135640709,1.2423616017305326,0.6902008898502955,1.4316738458037548
83,4.175,1.0293922930412684,1.1027211699486696,1.095009833095882,0.2084733436244562,5.08574084245146,5.263951926517526,0.4959648094291498,1.6419215698859193,0.9509462425589282,0.9577875824334524,0.9167395431863048,0.8688501640646321,0.2425565955513288,1.590093237503157,2.5333688868694364,3.422743070557644,1.4014381076299012,0.2156058627122923,1.0780293135614625,0.8893741836882063,1.5972434319298394
84,4.2250000000000005,1.0330978725487998,0.8784885786909667,0.8998233013163197,0.2117767173712807,5.177858655728836,5.241884174934108,0.4563870343350085,1.5632076765963856,0.8884898332791428,1.0220973270053295,0.8951702079654518,0.7548823395529556,0.2105330204170215,1.1316149847414905,3.079045423598937,2.815879148077661,1.2105648673978735,0.3684327857297876,1.0526651020851074,0.7368655714595757,1.7014505323498066
85,4.275,1.0411341421946294,0.7318022105011901,0.7268990131108974,0.2180764238162706,5.095932903589036,4.964445648052755,0.4794474317725363,1.7030313212606758,1.0635789477604984,0.978753632908434,1.0896790446380562,1.0309538266635505,0.2827510495068807,0.7711392259278562,3.2644893897612604,2.801805854204546,0.82254850765638,0.3084556903711426,1.028185634570475,1.002480993706213,1.6618837195506455
86,4.325,1.045923180372304,0.5796487128768955,0.6107868668744144,0.2067968255597929,4.989756737938948,4.923957747988105,0.5060255655743416,1.6320077683338832,1.0391299462438397,0.975379642793298,1.134755401419653,0.9052543089977017,0.3515925826666273,0.3767063385713864,2.8127406613330184,2.988536952666333,0.6780714094284956,0.5525026299047,0.7534126771427727,0.979436480285604,1.3868943566995546
87,4.375,1.0516454749587705,0.5969059515316293,0.5208297028070096,0.215876450212551,4.386425743680562,4.389487820988539,0.5266772969724648,1.5762278487232526,1.0653555815481273,1.009284235150858,0.9282922903548012,1.0092842351508575,0.3926882171930008,0.5399462986403761,3.288763818991384,3.288763818991385,0.5890323257895012,0.4663172579166884,0.8835484886842518,0.7853764343860017,1.3057884977323375
