,r ($\AA$),g_full(r),O (DOL),O (DOL),O (MA-i),O (MA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
64,3.225,0.9136224972389204,0.1785421680079736,0.1606879512071762,0.0153162620158906,0.1148719651191796,0.2138385812218575,0.7365551130975095,0.807834640171462,0.7721948766344857,0.8553543248874304,0.0467996894929991,9.50033696707883,2.901580748565946,2.6675823011009507,9.453537277585832,0.0935993789859982,0.4679968949299912,0.4679968949299912,0.0157590791149895
65,3.2750000000000004,0.8616376383057813,0.1601473031613282,0.170968066888445,0.0173275304112904,0.0816869290817978,0.5068778676357711,0.8755163168254234,0.7027170437677738,0.8409564622138938,0.8063966076023636,0.0453816272676654,9.893194744351067,2.9498057723982565,2.6321343815245983,8.985562198997755,0.0907632545353309,0.2722897636059927,0.5899611544796508,0.0
66,3.325,0.8089047069816114,0.2099556040276172,0.2582453929539691,0.0240147566920844,0.091256075429921,0.6035093085618463,0.6370376034819493,0.8382073730025643,0.7040941933221542,0.7711507831623592,0.0440270539354882,9.421789542194482,3.1259208294196648,3.4341102069680827,10.654547052388152,0.0440270539354882,0.3962434854193938,0.4842975932903702,0.0444763095878911
67,3.375,0.7730943832068895,0.2180455533351968,0.2506504958899927,0.0419552855849727,0.0932339679666061,0.84609825929695,0.80270860497403,1.0413517037500928,0.7484715370703793,0.9003353272006013,0.0427322353180278,8.247321416379362,3.290382119488141,3.4613110607602504,7.691802357245002,0.0427322353180278,0.5555190591343616,0.8119124710425287,0.0575577047140782
68,3.4250000000000003,0.7683715877411198,0.277024465304266,0.2849394500272449,0.0611089151091489,0.1018481918485814,1.158631994448392,0.9479716318214114,0.9585046499527604,1.011169740609506,0.9585046499527606,0.0829874155803256,6.721980662006373,3.6514462855343295,3.4439777465835157,8.672184928144018,0.0829874155803256,0.5809119090622797,0.7053930324327682,0.1117789679245202
69,3.475,0.7811280571502581,0.2979432439364654,0.3152431742295503,0.0879452838406969,0.1033357085128189,1.964562340564491,0.8901923105682858,0.8799602150445123,0.9618169792346996,0.8901923105682858,0.0806165101873055,7.57795195760672,4.111442019552577,4.071133764458924,6.892711621014624,0.0806165101873055,0.9673981222476654,0.7255485916857494,0.1085855035175951
70,3.5250000000000004,0.8146460836037912,0.3885588141076755,0.3960310989943613,0.091878226895963,0.0876048209938252,1.819731286366107,0.974500907452888,0.9645570206421442,0.9546131338314005,1.2230980777214815,0.1175186623087899,5.993451777748281,3.721424306445015,3.6430785315724874,6.346007764674647,0.0391728874362633,1.0576679607791095,0.7442848612890028,0.1846721836280984
71,3.575,0.8498510946449975,0.3977442385739923,0.4340679133296082,0.2326636436577889,0.1184091757901246,2.2332354065518065,1.1117838604045809,1.0537777459486892,1.3244729467428469,1.0151070029780953,0.0,5.6365537481381,3.846567084878026,3.998906375368243,5.369959989780216,0.0761696452451094,1.104459856054088,0.9902053881864236,0.2051916973949887
72,3.625,0.8987692664156738,0.5334613872709669,0.4751692489267886,0.3697412086828645,0.1050630756913058,2.642196476760421,1.109534463550638,1.0907287946768984,1.1283401324243778,1.147145801298117,0.0740829379874592,5.519178880065714,4.667225093209932,4.0745615893102585,4.4449762792475545,0.0370414689937296,0.6297049728934033,1.0742026008181589,0.29935554533708
73,3.675,0.9628949041951972,0.5740424838303751,0.6273218760421766,0.5111185415487752,0.0904286650432448,3.0648210179999453,1.1527386515462463,1.4546463936178824,1.3723079185074367,1.39060535742087,0.1081212299430102,4.216727967777399,4.3969300176824175,4.252768377758404,4.613172477568438,0.1441616399240136,0.9370506595060883,0.7568486096010714,0.3762177490874129
74,3.725,1.006861230394989,0.7009287961250444,0.7929361559982608,0.7041390303793745,0.0803636936846025,3.1611927309726195,1.2466675558765272,1.4336676892580054,1.415858152745484,1.3802390797204405,0.0701587802008434,3.893812301146813,3.648256570443862,4.139368031849766,4.244606202151031,0.0,1.1225404832134953,0.9822229228118085,0.602434832030712
75,3.775,1.009868122021391,0.8926048694530436,0.8779453004291796,1.0246890671226034,0.1415933983660326,3.364133029599445,1.404612244317294,1.3352486766966871,1.3265782307441114,1.517328041700781,0.2049378134245209,3.79134954835364,4.064599966253003,4.098756268490424,3.4839428282168594,0.0,0.9222201604103438,1.1613142760722848,0.5635789869174328
76,3.825,0.9987172658737338,1.0772578447757326,1.0756713089218652,1.5824029935270694,0.1215837162457725,3.7581373141524823,1.6637147210967167,1.5877074495745325,1.8664007784892116,1.4441381589215156,0.099807528261455,3.094033376105107,4.757492180462688,5.056914765247053,3.526532665238077,0.099807528261455,1.0313444587017029,1.2309595152246129,0.9858539526233516
77,3.875,0.9943244226705824,1.327891768592567,1.2305027331777456,2.0227688602406584,0.1113937396810851,3.900413031543929,1.588142858835397,1.8761480404894852,1.637515175690384,1.6292864562145524,0.1944970057923709,2.8202065839893797,3.727859277687111,4.635511971384842,2.5608772429328845,0.1944970057923709,1.166982034754226,1.3938952081786589,1.3317090906804177
78,3.925,1.0029575161241429,1.536858667499911,1.4615224583087385,2.828088917145047,0.1137439783860896,4.43528602899092,1.9168776870322424,1.9168776870322437,1.8687552346381269,1.87677564337048,0.0631910991033831,2.496048414583633,4.644545784098656,4.6129502345469655,2.1169018199633345,0.0947866486550747,1.2006308829642802,1.1374397838608974,1.7448481038138235
79,3.975,1.0138432519709362,1.7863746080583418,1.858358453284377,3.725249584326369,0.1545886160388028,4.8718033623967685,2.0800958176525515,1.9627971813187612,2.087915726741472,2.0644559994747125,0.1232228098860022,2.310427685362543,4.066352726238077,4.466826858367585,1.4478680161605268,0.0616114049430011,1.5402851235750283,1.293839503803024,2.116163153450425
80,4.025,1.0247846654802146,1.7809541079690103,1.8425639443669737,4.183917713942221,0.1704376977085746,5.239635538986943,2.158394261329409,1.937216050804487,2.2041552704035308,2.2880504537060875,0.0,1.6825259902000322,4.626946473050088,4.356540510339369,1.71257109716789,0.2403608557428618,1.1116689578107366,1.652480883232175,3.0756378887913134
81,4.075,1.0235792981736824,1.7598838647466792,1.7514968089972898,4.921274781503976,0.148693487550315,5.550854568741413,2.254569617062532,2.239687969425156,2.3140962076120366,2.0685490215953264,0.1758740175326307,1.377679804005607,4.572724455848398,4.426162774571208,1.3483674677501687,0.2931233625543845,1.494929149027361,1.1138687777066612,3.780394060535577
82,4.125,1.024819876027504,1.6083461958910616,1.5510514204649168,5.5891019606022585,0.1700759669753338,5.409844051867142,2.149414549466676,2.330952940468928,2.3527375473891983,2.2147683702274863,0.1430302474563206,1.1442419796505643,4.205089275215822,4.777210265041104,1.001211732194244,0.1716362969475847,1.2872722271068848,1.430302474563205,4.170937154904825
83,4.175,1.0275300484921928,1.221153165247283,1.146578926148212,5.491067630191494,0.225430793139623,6.011175369664876,2.6015346234280763,2.459761619426547,2.31089996522494,2.417229718226088,0.16754991381999,0.8098245834632856,4.049122917316425,3.993272946043093,0.6143496840066301,0.05584997127333,1.7592740951098973,1.5637991956532415,4.109247121085167
84,4.2250000000000005,1.028982229048815,0.846528234027819,1.0051710059961665,4.753548720415926,0.2201267868027401,5.897430016909585,2.5264811692159594,2.3672782462242687,2.56801236651814,2.644152894905469,0.2999475360713012,0.7362348612659212,3.899317968926913,4.281069378472206,0.5453591564932748,0.1090718312986549,1.7724172586031437,1.7178813429538164,4.095202074116332
85,4.275,1.038259295791657,0.7163427491814319,0.7188829716962597,3.6623962514359736,0.2222715694048803,5.807613034784786,2.542098371454109,2.50153297190963,2.765208068948753,2.58942467092267,0.2929723300434701,0.63921235645848,4.581021887952443,4.048344924237043,0.45277541915809,0.21307078548616,2.2106093994189093,1.7045662838892794,4.098623107036707
86,4.325,1.050326563612893,0.5708207151832415,0.5534479108080994,2.657042235521149,0.2412912286530957,5.997779346076541,2.609166125220523,2.642193544527113,2.595955157497888,2.7610922540308325,0.2602160309003974,0.494410458710755,4.319586112946599,4.0853916851362415,0.4683888556207153,0.1040864123601589,1.6914042008525818,1.6133393915824636,3.461138737537428
87,4.375,1.0652254570062518,0.4462784655394043,0.4753835828571917,1.77271812899693,0.2774206774643085,5.44187333911381,2.433672893055645,2.2335565543693723,2.4272175272915724,2.601512402921552,0.4068836602809853,0.3814534315134237,4.704592321998893,4.272278432950347,0.4068836602809854,0.2797325164431773,1.881836928799557,1.4749532685185716,2.9800076241497657
88,4.425,1.0779667407490163,0.42558100119579,0.4421774747800268,1.1457641043266489,0.3050851165366815,4.688558501196121,2.031919027436273,2.2149179460563118,2.2149179460563118,2.000367489743164,0.3231642345536701,0.4971757454671847,4.375146560111222,4.300570198291145,0.2983054472803109,0.2983054472803108,1.5661035982216327,1.6903975345884286,2.2852328014866683
89,4.4750000000000005,1.083291560276173,0.3859869221194514,0.4161240391618107,0.8644237136452614,0.3062605488528458,3.930343710278186,1.795494536406519,1.7461338618661344,1.974426981615418,1.801664620724068,0.3402894987253843,0.4132086770236809,4.083473984704609,4.569601840026585,0.3645958914914832,0.2187575348948899,2.0903497778845024,1.92020502852181,1.7188092027455624
90,4.525,1.0808801450282988,0.3945087247262102,0.3922414332047951,0.5627529983830779,0.3462097939361327,2.914655572891012,1.7077588553377971,1.629310568696838,1.7077588553377967,1.8344830106808845,0.3090387049492323,0.3090387049492323,4.754441614603579,3.803553291682862,0.2852664968762144,0.166405456511125,1.7591433974033233,2.0919543104255736,1.0886701003235129
