,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
60,3.0250000000000004,0.908518451840394,0.101029506989793,0.1136581953635172,0.0,0.1613363511621619,0.8335711476711692,0.9276840191824304,0.7394582761599081,0.8201264517409891,0.2648197683217303,11.757997713484826,2.065594192909497,1.9596662855808047,11.75799771348482,0.0,0.5296395366434608,0.9003872122938833,0.0
61,3.075,0.9442364036421504,0.1319905500964253,0.1417676278813457,0.0045225520235059,0.2341986170941702,0.8847503312446428,0.8847503312446424,0.832706194112605,0.8196951598295953,0.0512555895997342,11.224974122341798,2.255245942388304,2.306501531988038,11.5325076599402,0.0512555895997342,0.8713450231954812,0.7175782543962788,0.0
62,3.125,0.9582451043325696,0.1491008533664557,0.1514675335786217,0.0043789911947028,0.3023524997204025,0.7810772909443735,0.9448515616262584,0.7306852076576397,0.919655519982892,0.0,11.017541845872245,2.431799776791623,2.3821712099183245,11.66271321522512,0.0992571337465968,0.9925713374659684,1.290342738705759,0.0
63,3.1750000000000003,0.926323815473934,0.1925891158250251,0.1880036606863341,0.0,0.5491964346878461,0.7078531824865573,0.6956488172712718,1.110597234590978,0.7810793737782704,0.0961556047264915,10.96173893882004,2.596201327615271,3.653912979606677,11.057894543546531,0.0,0.6250114307221952,0.961556047264916,0.0
64,3.225,0.86476930105198,0.1622197063268347,0.1622197063268348,0.0,0.7097325823698821,0.875336851589521,0.9699678625721716,0.7097325823698822,1.0054544916906658,0.046598603892972,11.043869122634366,2.3765287985415764,2.609521818006436,12.395228635530556,0.0,1.304760909003218,0.9785706817524132,0.0156913666170212
65,3.2750000000000004,0.798500016294905,0.2672018918802149,0.2672018918802149,0.0039870560026977,1.0667521683525494,1.0093999012368209,0.974988540967384,0.9864589943905298,0.9520476341210924,0.0451866346972406,11.161098770218429,2.9823178900178826,2.80157135122892,9.76031309460397,0.0,0.994105963339294,0.9037326939448128,0.015215907602132
66,3.325,0.7543722331662918,0.3386666402225382,0.2696789912883174,0.0,1.4355220151655057,1.0237831425986552,0.8902462109553524,1.0015269873247714,0.9792708320508876,0.0876757632001483,9.86352336001668,2.9809759488050425,3.682382054406229,8.942927846415124,0.0438378816000741,0.9205955136015578,1.3151364480022254,0.0295234712816826
67,3.375,0.7376533398661955,0.3449390093703566,0.3145032144259134,0.0075085811413742,2.03055137389348,1.144885349110154,0.8424628040621891,0.9936740765861716,1.2636942060932836,0.0425486264677872,9.658538208187712,3.659181876229704,3.233695611551831,9.403246449380989,0.0850972529355745,0.9786184087591066,0.7658752764201704,0.0859655922512436
68,3.4250000000000003,0.7500778582171299,0.3467629517313089,0.3743463683462992,0.0036454782844869,2.47511150232271,1.1431659057337926,0.922922933069484,1.342433357191977,0.9858494966878578,0.0,8.015191588158526,4.048911214636784,3.470495326831529,7.849929905928455,0.1239462616725546,0.9502546728229192,1.40472429895562,0.0556493419754327
69,3.475,0.7807528649280665,0.4689190341978729,0.4612632132313771,0.0070826578994854,3.2398256511600305,1.2938926342683148,1.2225757174188796,1.2837045032898238,1.1716350625264274,0.0,7.625661671779379,4.294451573054701,3.7325607130288527,7.786201917501047,0.0802701228608355,1.003376535760445,1.3645920886342056,0.0405446028735853
70,3.5250000000000004,0.8065003621151727,0.578473878437528,0.5431330305587079,0.003441579894757,4.108981657424912,1.2475462381579256,1.6633949842105675,1.2673485593985274,1.3960636474624402,0.0390045721405797,7.098832129585504,3.822448069776813,3.393397776230436,7.76190985597536,0.1560182885623188,1.2481463084985505,1.28715088063913,0.1444761192554126
71,3.575,0.8326616590622707,0.5841067683548589,0.6889928134464431,0.0066919733729832,4.601297937826785,1.5979402880318938,1.3861650691361007,1.5209311175243327,1.3861650691361007,0.1137635473407154,6.825812840442929,4.133408886712663,3.905881792031231,6.825812840442929,0.1516847297876205,0.9480295611726288,1.3272413856416805,0.4980057327466014
72,3.625,0.8683553231447362,0.7492652307130998,0.7774066478290845,0.016271608158641,4.999539223094085,1.685237940368793,1.5073517133298646,1.488626847325766,1.5541638783401084,0.036882311826253,6.011816827679243,4.2414658600190975,4.02017198906158,5.2741705911541805,0.073764623652506,1.253998602092604,1.4015278493976162,0.4967821592923883
73,3.675,0.9094487013237644,0.939506623563815,0.9703101194183656,0.0,5.620505899163522,2.0405078142830297,1.5303808607122726,1.91297607589034,1.548599680482657,0.0,5.275176451697608,4.557465369833989,4.019182058436274,5.418718668070334,0.0,1.2201088391681532,1.794277704659048,0.4229368875267757
