,r ($\AA$),g_full(r),O (DOL),O (DOL),S (DPS),O (DPS),O (DPS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
73,3.675,0.8863900669656257,0.37285372732065,0.3004034769882012,0.403052026239707,2.940913513494809,2.8486897447789445,1.138162169012492,0.7054724188093958,0.7525039133966889,0.6302220274697264,0.752503913396689,0.2223307016853852,3.2608502913856507,2.075086549063596,2.4826928354868025,4.07606286423206,0.185275584737821,1.2969290931647472,0.7781574558988484,0.2994658430864373
74,3.725,0.906124943545386,0.4093504781795021,0.4127903981642038,0.1828538472314897,3.3977569431014985,3.3844584814846628,1.1261239592994996,0.6317280747289876,0.7965267029191585,0.7782157442313616,0.6134171160411909,0.4328044780751954,3.89524030267676,2.2722235098947743,2.9574972668471684,3.787039183157961,0.2164022390375977,1.0098771155087891,0.5770726374335938,0.4007857794420814
75,3.775,0.9144821034412388,0.5074342618144028,0.4555185452591339,0.13272235628997,3.81010276471451,3.70651458419551,1.274782046511958,0.873626857050153,0.9984306937716037,0.7666521398603383,0.8023103789236099,0.1755898135691401,3.265970532386003,2.774319054392412,2.1773136882573363,2.914790905247725,0.4565335152797645,1.0886568441286693,0.877949067845701,0.4966683298098538
76,3.825,0.9093538638661046,0.6671625572448193,0.4975173104148408,0.0725202446429399,4.3133780291974695,4.316531083312381,1.3111369180294472,0.8943516725631332,0.8943516725631331,0.7641062833549098,0.9290837763519928,0.2394410185444103,2.428616045236162,3.146939100869394,2.3602043256520444,3.5574094183740983,0.4104703175047033,1.1287933731379345,0.9919699339697,0.4837685884876858
77,3.875,0.9029861923002804,0.7152213899042839,0.6516461552461253,0.0430109548441508,4.712771766494814,4.62674985680651,1.6413169427670111,0.8883416442811155,0.8545000578323111,0.7698960917103,1.0660099731373385,0.1999730108338441,2.73296448139587,2.7662933165348447,2.3996761300061284,2.799622151673818,0.4332748568066623,1.099851559586143,1.2331669001420384,0.6060406552821606
78,3.925,0.9052121904856704,0.8349894529014831,0.8225962884799397,0.0239555021779552,4.871950255441659,4.509623285000085,1.57502819992714,0.9648078502171488,0.9400691873910682,0.7668985476085027,0.7998834313766103,0.3898213536230907,2.8586899265693337,3.118570828984727,2.5013536857481675,2.923660152173182,0.5522469176327118,0.9745533840577272,0.9745533840577272,0.7110261934706887
79,3.975,0.912827742193618,0.9711993889765126,0.8307304260296763,0.0321153885370131,5.264004139294074,4.969126480908772,1.8250973180761607,0.8763683157282012,0.844208010563864,0.9004885446014546,0.9567690786390451,0.3800763337603542,2.692207364135844,1.8687086409884093,2.7238803919492063,2.7872264475759327,0.7284796397073459,0.9185178065875228,0.7918256953340715,0.8532325859926327
80,4.025,0.9173035262728378,0.9928873146029168,0.9398547577398532,0.0256274646293576,5.262172737228104,5.0372205477037415,1.944708392865716,0.956671064232328,1.0429282913352431,0.956671064232328,1.0978192540370977,0.648711377385558,2.5948455095422336,2.7184095814251967,2.440390419688529,2.316826347805566,0.4633652695611128,1.204749700858893,1.0811856289759298,0.967393205634732
81,4.075,0.922396243351268,0.9715461630381174,0.9140582243968086,0.0222243874523942,5.306072504259119,5.278292019943627,2.2032915806650526,1.0710445183788448,1.0710445183788448,1.2317011961356716,1.147547698263048,0.3616513958162332,2.471284538077594,2.7123854686217483,2.8027983175758067,2.441146921759574,0.6027523263603887,0.6630275589964275,0.934266105858602,1.075728386535021
82,4.125,0.9331978724740114,0.8148925156354547,0.7223229699694651,0.0189777754869668,4.798666087418768,4.931510515827536,2.1726007633859776,0.7839281105000944,0.9855096246286904,0.9407137326001136,1.0303055166572672,0.4117602196566152,1.8529209884547675,2.3823269851561286,2.8234986490739304,2.323504096633755,0.3529373311342414,1.1764577704474724,0.9999891048803512,1.4063472225298073
83,4.175,0.9509712108230692,0.6900646905219446,0.6407743554846631,0.023819072518016,4.695003849662276,4.605020686816435,2.390539120816681,1.0057756057094571,1.2171342474889808,1.0859461250051383,1.2171342474889808,0.4593792841185052,1.5504050838999552,1.9523619575036475,3.0720989625425057,2.2107628048203067,0.746491336692571,1.234581826068482,0.7464913366925708,1.372864365675583
84,4.2250000000000005,0.9703552824225614,0.5280998209182775,0.4879909737599275,0.0232586499164064,4.271838701313313,4.121949624074248,2.405461260243455,0.932294157076605,1.1315631372151165,1.1102128893431324,1.174263632959082,0.1962497531667154,1.401783951190824,2.5512467911672982,3.055889013595998,2.1307116058100517,0.7289276546192287,1.2055341980241083,0.9532130868097602,1.6993054428721437
85,4.275,0.981851781949371,0.4231021586691626,0.4165728043687128,0.0151451838298707,3.867070271226989,3.874642863141926,2.565011633709716,0.924516388301876,1.126102668457924,1.2442739361356072,1.1678101746971064,0.6024417567881909,1.6156392568410556,2.7109879055468564,2.6562204731115666,1.8073252703645708,0.7667440540940609,1.3691858108822512,0.985813783835221,1.5952411825156696
86,4.325,0.9935229915236636,0.3393766792658547,0.371272983708134,0.0221955512923482,3.1764300071716223,3.2997386254624463,2.4720911794944387,0.9100555440995994,1.0730505669234085,1.10021640406071,1.2767943454531696,0.4280677367089932,1.0969235753167943,2.5684064202539583,2.595160653798269,1.1504320424054182,0.4548219702533053,1.2842032101269787,1.203940509494043,1.6306432342875092
87,4.375,1.0052363578352133,0.312961056728248,0.2643336415393967,0.0168708780385901,2.684879733569917,2.4920696988431748,2.2964416713011926,0.8893733640299416,0.9955671985409796,1.008841427854859,1.0022043131979197,0.4444855573283967,0.6798014406199007,2.8760830180072707,2.693059553224991,0.99355595167524,0.7059476498745124,1.2550180442213554,0.6798014406199007,1.875323518884333
88,4.425,1.0118691319662283,0.2754575548442475,0.2620503287235097,0.0164917733186524,1.799959259350067,1.75283990701106,2.3291820774284067,0.8434364068682255,0.8045085727050765,0.8953401857524237,0.9537319369971472,0.5111735799201371,0.6900843328921848,2.606985257592701,2.453633183616661,0.7923190488762122,1.0479058388362807,1.2779339498003424,1.0990231968282944,2.2376884263850907
89,4.4750000000000005,1.0210766047287654,0.2895963580928828,0.2895963580928827,0.0322506094351776,1.163325554626052,1.1448966349488083,1.8397023470110665,0.8437255591464544,0.8881321675225836,0.7612561435907861,0.8817883663259937,0.5248053717178909,0.649759031650722,2.649017590576023,2.9239156424282515,0.7497219595969872,0.549796103704457,1.149573671382047,0.8996663515163846,2.4824977131553294
90,4.525,1.0319736072994747,0.2774040459145696,0.2540927815520005,0.0180239049596621,0.6984263171869093,0.7885458419852204,1.5386869018640843,0.7941609816072688,0.8748179563017574,0.8127741296136893,0.8748179563017572,0.5621546721131003,0.4888301496635653,2.5663582857337177,2.615241300700075,0.6843622095289914,0.5865961795962786,1.4176074340243392,1.1731923591925562,2.8970668461693747
